"Sélectif N2 - Pau Course 1","Pau","Course 1","","2001-02-04","Nationale 2","58"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Matringe Gabriel","C1H","228.25","-","117.0",""
"Pierre Gelle","C1H","236.12","-","153.0",""
"Boris Parent","C1H","245.45","-","196.0",""
"Dumont Thierry","C1H","245.45","-","196.0",""
"Martins Alexandre","C1H","245.53","-","197.0",""
"Jeremy Heugas","C1H","250.6","-","220.0",""
"Bernard Santoro","C1H","255.59","-","243.0",""
"Lougarot Serge","C1H","256.4","-","247.0",""
"Simon Cayez","C1H","258.74","-","258.0",""
"Crampes Jbaptiste","C1H","265.54","-","289.0",""
"Clerc Herve- Clerc Pierrealain","C2H","253.27","-","131.0",""
"Guillaume Benoit- Pitman Arnaud","C2H","271.12","-","206.0",""
"Larenaudie Sebastien- Le Goff Ronan","C2H","278.53","-","237.0",""
"Ferreira Florence","K1D","245.14","-","97.0",""
"Barthelme Anne-France","K1D","257.32","-","148.0",""
"Stephanie Kaczmarek","K1D","259.76","-","158.0",""
"Carole Bouzidi","K1D","261.11","-","164.0",""
"Borg Julie","K1D","263.58","-","174.0",""
"Guindeo Mariepierre","K1D","266.14","-","185.0",""
"Poncelet Frederique","K1D","267.44","-","191.0",""
"Carrey Emilie","K1D","277.4","-","232.0",""
"Barroso Cyrielle","K1D","300.54","-","330.0",""
"Thome Celine","K1D","310.59","-","372.0",""
"Bervet Gaelle","K1D","320.96","-","416.0",""
"Sautie Laetitia","K1D","362.53","-","591.0",""
"Laetitia Thueux","K1D","367.85","-","613.0",""
"Morere Julia","K1D","369.76","-","621.0",""
"Gogois Virgile","K1H","215.69","-","109.0",""
"Fabrice Poueyto","K1H","217.95","-","120.0",""
"Laousse Yannick","K1H","218.36","-","122.0",""
"Lesquer David","K1H","222.82","-","143.0",""
"Denis Desmoineaux","K1H","224.13","-","150.0",""
"Damien Boudet","K1H","225.17","-","155.0",""
"Girard Adrien","K1H","226.65","-","162.0",""
"Regis Bonato","K1H","227.24","-","165.0",""
"Benjamin Boukpeti","K1H","227.63","-","167.0",""
"Canovas Cedric","K1H","228.12","-","169.0",""
"Bibron Florian","K1H","229.29","-","175.0",""
"Pala Mathieu","K1H","229.48","-","176.0",""
"Lismonde Alexandre","K1H","230.41","-","180.0",""
"Guillaume Picco","K1H","231.91","-","187.0",""
"Sebastien Halilou","K1H","232.06","-","188.0",""
"Mouyen Bie Sebastien","K1H","232.43","-","190.0",""
"Deslux Richard","K1H","234.82","-","201.0",""
"Muller Aurelien","K1H","234.87","-","202.0",""
"Braud Philippe","K1H","235.48","-","205.0",""
"Domingo Benoit","K1H","237.37","-","214.0",""
"Vivien Cedric","K1H","239.35","-","223.0",""
"Remi Dramard","K1H","240.25","-","228.0",""
"Commanay Richard","K1H","240.59","-","229.0",""
"Sejourne Alexis","K1H","240.64","-","230.0",""
"Serret Mathieu","K1H","242.94","-","241.0",""
"Manoussos Nicolas","K1H","243.36","-","243.0",""
"Nicolas Masson","K1H","243.44","-","243.0",""
"Louis Philippe Rigal","K1H","245.71","-","254.0",""
"Gregory Ponassie","K1H","245.91","-","255.0",""
"Tisseur Nicaise Florent","K1H","248.93","-","270.0",""
"Alain Minvielle","K1H","291.26","-","475.0",""
