"CHAMPIONNAT REGIONAL - Vibrac - 2001-04-08","Course 1","2001-04-08","Régional","77"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Gomet Jeremy","C1H","250.33","-","207",""
"Deguil Josselin","C1H","291.48","-","419",""
"Clement Praille","C1H","298.19","-","453",""
"Mathieu Villeger","C1H","322.76","-","579",""
"Maillard Bertrand","C1H","328.92","-","611",""
"Gottardo Yoann- Niquet Philippe","C2H","310.00","-","375",""
"Deguil Josselin- Deguil Alexandre","C2H","332.34","-","480",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","780.8","-","2584",""
"Lyphout Virginie- Cordonnier Raphael","C2M","500.36","-","1268",""
"Emilie Chamouleau","K1D","261.52","-","148",""
"Craig Hannah","K1D","263.09","-","155",""
"Durand Veronique","K1D","269.44","-","185",""
"Christelle Macaire","K1D","272.99","-","202",""
"Ancellin Marie","K1D","275.17","-","212",""
"Frederique Merle","K1D","275.78","-","215",""
"Lyphout Virginie","K1D","283.35","-","250",""
"Queriaud Melanie","K1D","308.36","-","368",""
"Ancellin Isabelle","K1D","308.45","-","368",""
"Queriaud Audrey","K1D","314.3","-","395",""
"Blanc Aline","K1D","363.62","-","627",""
"Faure Anaelle","K1D","373.84","-","675",""
"Quesada Maud","K1D","480.27","-","1174",""
"Quesada Barbara","K1D","480.99","-","1177",""
"Yoann Gottardo","K1H","230.28","-","163",""
"Clouzeau Gilles","K1H","231.41","-","169",""
"Thibaud Delaunay","K1H","231.47","-","170",""
"Menager Vincent","K1H","238.26","-","206",""
"Dardilhac Anthony","K1H","240.02","-","216",""
"Nicolas Labat","K1H","240.36","-","218",""
"Albert Rodrigue","K1H","244.03","-","237",""
"Olivier Mourasse","K1H","244.25","-","239",""
"Spitaels Nicolas","K1H","244.3","-","239",""
"Deguil Alexandre","K1H","246.3","-","250",""
"Chasseloup Christophe","K1H","247.95","-","259",""
"Philippe Niquet","K1H","252.09","-","281",""
"Cordonnier Raphael","K1H","252.69","-","284",""
"Mandon Benoit","K1H","253.69","-","290",""
"Clement Praille","K1H","259.7","-","322",""
"Chevallier Ludovic","K1H","267.83","-","366",""
"Jean-francois Souville","K1H","268.97","-","372",""
"Nicouleau Dorian","K1H","274.05","-","399",""
"Pons Aurelien","K1H","275.48","-","407",""
"Merzeau Michel","K1H","277.17","-","416",""
"Dargent Heindrick","K1H","279.99","-","431",""
"Genet Jeanthomas","K1H","280.27","-","433",""
"Blandin Francois","K1H","281.68","-","441",""
"Braud Sylvain","K1H","282.37","-","444",""
"Robineau Nicolas","K1H","284.29","-","455",""
"Proust Maxime","K1H","286.56","-","467",""
"Jean-noel Biteau","K1H","290.55","-","488",""
"Callegari David","K1H","293.26","-","503",""
"Xavier Flatreau","K1H","294.07","-","507",""
"Prouteau Benoit","K1H","294.22","-","508",""
"Etourneau Matthias","K1H","296.02","-","518",""
"Martineau Sebastien","K1H","296.3","-","519",""
"Beccaria Carlos","K1H","298.48","-","531",""
"Petit Julien","K1H","301.46","-","547",""
"Egreteau Thomas","K1H","311.34","-","601",""
"Daupeux Michel","K1H","314.72","-","619",""
"Clement Francois-Xavier","K1H","322.34","-","660",""
"Ducom Mathieu","K1H","323.27","-","665",""
"Dindinaud Romain","K1H","330.07","-","702",""
"Tillard Pierre Antoine","K1H","334.31","-","725",""
"Come Hebert","K1H","338.73","-","748",""
"Benoit Couturier","K1H","360.59","-","866",""
"Content Benjamin","K1H","363.47","-","882",""
"Larrovy Luc","K1H","372.77","-","932",""
"Picquot Antoine","K1H","379.32","-","967",""
"Rouet Jean Louis","K1H","393.2","-","1042",""
"Pintaud Benoit","K1H","394.17","-","1048",""
"Barbier Frederic","K1H","410.84","-","1137",""
"Fallou Etienne","K1H","412.75","-","1148",""
"Bourry Pierrick","K1H","460.08","-","1403",""
"Janin Mathieu","K1H","465.89","-","1434",""
"Jarreton Anthony","K1H","479.45","-","1508",""
"Paillat Pascal","K1H","613.58","-","2231",""
"Lopez Alexandre","K1H","987.54","-","4249",""
