"CHAMPIONNAT BOURGOGNE SLALOM - Armancon - 2001-04-22","Course 1","2001-04-22","Régional","51"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Cubizolles Sebastien","C1H","193.44","-","392",""
"Philippe Senechal","C1H","193.94","-","395",""
"Cam Drouhin Francois","C1H","196.16","-","411",""
"Coquille Alexis","C1H","215.68","-","550",""
"Garnier Daniel","C1H","266.69","-","914",""
"Malterre Loic","C1H","431.3","-","2088",""
"Mendes Steven","C1H","1526.04","-","9894",""
"Cam Drouhin Francois- Fayol Nicolas","C2H","229.08","-","504",""
"Chaussod Chloe","K1D","226.49","-","487",""
"Bertuccelli Sophie","K1D","261.06","-","712",""
"Cahagne Delphine","K1D","294.05","-","927",""
"Lise Cliquet","K1D","404.95","-","1649",""
"Berthoud Amandine","K1D","412.86","-","1700",""
"Bravais Severine","K1D","421.19","-","1754",""
"Millet Celine","K1D","455.21","-","1976",""
"Thierry Terangui","K1D","576.43","-","2765",""
"Capon Adelaide","K1D","621.92","-","3061",""
"Trioen Marianne","K1D","796.52","-","4198",""
"Guimonet Alexandre","K1H","175.64","-","327",""
"Lemaire Maxime","K1H","175.94","-","330",""
"Bouchard Vincent","K1H","182.66","-","380",""
"Machecourt Jerome","K1H","187.21","-","414",""
"Fayol Guillaume","K1H","188.36","-","423",""
"Martinet Loic","K1H","191.16","-","444",""
"Lemoule Pierre","K1H","191.32","-","445",""
"Nicolas Fayol","K1H","201.53","-","521",""
"Vinson Ludovic","K1H","203.92","-","539",""
"Lance Xavier","K1H","210.5","-","588",""
"Telbois Bruno","K1H","211.95","-","599",""
"Mathieu Romain","K1H","214.14","-","616",""
"Salmon Aurelien","K1H","226.4","-","707",""
"Hassan Florent","K1H","235.45","-","775",""
"Loustalot Anthony","K1H","242.13","-","825",""
"Charbonnier Rudy","K1H","247.07","-","862",""
"Arnaud Stevens","K1H","255.49","-","925",""
"Telbois Pascal","K1H","256.49","-","933",""
"Guillerault Christophe","K1H","263.98","-","989",""
"Roy Pierre Nicolas","K1H","270.97","-","1041",""
"Gaerel Fabrice","K1H","271.00","-","1041",""
"Knibbe Vivien","K1H","293.16","-","1207",""
"Levy Sebastien","K1H","301.52","-","1270",""
"Brun Thibault","K1H","324.37","-","1441",""
"Cusey Julien","K1H","331.49","-","1494",""
"Lesca Laurent","K1H","371.74","-","1796",""
"Bourdon Arnaud","K1H","438.04","-","2292",""
"Houellebec Loic","K1H","441.69","-","2319",""
"Febvret Damien","K1H","462.35","-","2474",""
"Mellion Sebastien","K1H","507.4","-","2811",""
"Lemaire Fabrice","K1H","539.61","-","3052",""
"Fleury Yann","K1H","761.97","-","4717",""
"Regitz Jeanphilippe","K1H","1086.43","-","7147",""
