"Sélectif N3 Nord Ouest - Condé Sur Vire Course 1","Condé Sur Vire","Course 1","","2001-04-22","Nationale 3","98"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Hamonic Matthieu","C1H","202.66","-","276.0",""
"Gegat Mathieu","C1H","203.05","-","279.0",""
"Lepage Clement","C1H","208.25","-","310.0",""
"Nedelec Ronan","C1H","212.84","-","339.0",""
"Brodiez Marc","C1H","214.68","-","350.0",""
"Yoann Bizot","C1H","217.34","-","366.0",""
"Prigent David","C1H","218.76","-","375.0",""
"Teddy Poulard","C1H","219.95","-","382.0",""
"Olivier Leboeuf","C1H","225.19","-","414.0",""
"Toupin Sebastien","C1H","227.86","-","430.0",""
"Denis Voisin","C1H","228.4","-","434.0",""
"Belhomme Arnaud","C1H","239.39","-","501.0",""
"Julien Rocaboy","C1H","248.48","-","557.0",""
"Le Bouder Emilien","C1H","273.71","-","711.0",""
"Samuel Bonvalet","C1H","276.62","-","729.0",""
"Henaff Mickael","C1H","336.27","-","1094.0",""
"David Gaillard-Eric Beaumont","C2H","241.04","-","383.0",""
"Bonvalet Samuel- Avril Gauthier","C2H","276.4","-","580.0",""
"Stephanie Le Mercier","K1D","224.25","-","289.0",""
"Veronique Vourch","K1D","225.93","-","298.0",""
"Zoungrana Annececile","K1D","234.47","-","346.0",""
"Clothilde Rocher","K1D","240.18","-","378.0",""
"Melina Letellier","K1D","251.19","-","440.0",""
"Bel Amandine","K1D","256.58","-","470.0",""
"Lamour Gwenhael","K1D","257.39","-","474.0",""
"Collet Aurore","K1D","258.95","-","483.0",""
"Nedelec Nolwenn","K1D","269.29","-","541.0",""
"Chevalier Yvane","K1D","279.28","-","597.0",""
"Renard Aude","K1D","286.3","-","636.0",""
"Thomas Masuy","K1H","188.64","-","248.0",""
"Mickael Louchard","K1H","189.89","-","256.0",""
"Melaine Pichard","K1H","190.77","-","262.0",""
"Sebastien Delaunay","K1H","191.04","-","264.0",""
"Richard Davy","K1H","191.18","-","265.0",""
"Jerome Dorizon","K1H","191.37","-","266.0",""
"Manuel Coquelin","K1H","194.17","-","284.0",""
"Bertrand Avril","K1H","194.22","-","284.0",""
"Minter Guenole","K1H","196.68","-","300.0",""
"Loic Froissard","K1H","197.67","-","306.0",""
"Jeanpierre Le Lann","K1H","200.44","-","324.0",""
"Gallerne Stephane","K1H","201.68","-","332.0",""
"Herfray Francois","K1H","201.92","-","334.0",""
"Olivier Clement","K1H","202.76","-","339.0",""
"L'haridon Olivier","K1H","203.31","-","342.0",""
"Raphael Reveche","K1H","203.56","-","344.0",""
"Pasco Laurent","K1H","205.37","-","356.0",""
"Bercon Aurelien","K1H","205.96","-","359.0",""
"Rabesoa Thierra","K1H","206.08","-","360.0",""
"Benjamin Buys","K1H","206.68","-","364.0",""
"Droullon Aurelien","K1H","208.66","-","377.0",""
"Yves Lecointe","K1H","210.04","-","386.0",""
"Louet Jeremie","K1H","210.54","-","389.0",""
"Le Troadec Brendan","K1H","212.37","-","401.0",""
"Fouquart Thierry","K1H","213.34","-","407.0",""
"Beaudoin Fabien","K1H","214.88","-","417.0",""
"Dieumegard Christophe","K1H","215.39","-","420.0",""
"Jeansebastien Simonklein","K1H","216.47","-","427.0",""
"Louet Steven","K1H","217.48","-","434.0",""
"Julien Brouzes","K1H","217.53","-","434.0",""
"Martin Fabien","K1H","219.1","-","444.0",""
"Denays Sylvain","K1H","219.66","-","448.0",""
"Prigent Mathieu","K1H","219.75","-","448.0",""
"Louet Gwenael","K1H","220.12","-","450.0",""
"Richeux Jeanjacques","K1H","220.87","-","455.0",""
"Lebret Matthieu","K1H","221.1","-","457.0",""
"Le Coq Sebastien","K1H","221.24","-","458.0",""
"Laurent Van Poucke","K1H","221.38","-","459.0",""
"Baudelot Luc","K1H","222.4","-","465.0",""
"Bardet Tony","K1H","225.71","-","486.0",""
"Barbier Julien","K1H","227.36","-","497.0",""
"Mathieu Godin","K1H","227.81","-","500.0",""
"Jeremy Bretteville","K1H","227.85","-","500.0",""
"Le Corvaisier Fabien","K1H","230.05","-","514.0",""
"Florent Regrettier","K1H","230.97","-","520.0",""
"Madec Christophe","K1H","231.42","-","523.0",""
"Teiti Arnaud","K1H","231.54","-","524.0",""
"Jeanmarie Le Guyader","K1H","234.55","-","543.0",""
"Erwan Cadio","K1H","234.83","-","545.0",""
"Lemardelee Bruno","K1H","235.63","-","550.0",""
"Maze Ronan","K1H","236.03","-","553.0",""
"Perret Herve","K1H","236.81","-","558.0",""
"Houwen Alexandre","K1H","237.64","-","563.0",""
"Chapel Mikael","K1H","238.7","-","570.0",""
"Neveu Mathieu","K1H","238.76","-","570.0",""
"Brard Simonpierre","K1H","241.1","-","585.0",""
"Vincent Richard","K1H","242.34","-","593.0",""
"Avril Gauthier","K1H","243.03","-","598.0",""
"Nado Julien","K1H","244.89","-","610.0",""
"Dubu Alain","K1H","245.06","-","611.0",""
"Kevin Gouabault","K1H","248.99","-","636.0",""
"Rocher Manuel","K1H","249.68","-","640.0",""
"Vaillant Tiphaine","K1H","250.89","-","648.0",""
"Rifflet Jerome","K1H","258.23","-","695.0",""
"Benard Fabien","K1H","264.74","-","737.0",""
"Eftekhari Boris","K1H","267.97","-","758.0",""
"Landa Thomas","K1H","280.91","-","841.0",""
"Josse Nicolas","K1H","293.13","-","920.0",""
"Helluin Jean Paul","K1H","353.03","-","1305.0",""
