"Sélectif N2 - Annemasse - 2001-04-29 Course 1","Annemasse","Course 1","","2001-04-29","Nationale 2","138"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lionel Schweitzer","C1H","220.76","-","131.0",""
"Pierre Gelle","C1H","221.31","-","133.0",""
"Collard Aurelien","C1H","228.86","-","166.0",""
"Dumont Thierry","C1H","232.19","176.0","180.0",""
"Stephane Abadie","C1H","232.31","-","181.0",""
"Pascal Buck","C1H","233.6","-","186.0",""
"Collin Ludovic","C1H","236.94","-","200.0",""
"Boris Parent","C1H","237.09","-","201.0",""
"Olivier Barriere","C1H","241.7","-","221.0",""
"Biselx Thomas","C1H","242.54","-","225.0",""
"Loic Marechal","C1H","246.59","-","242.0",""
"Rauturier Armand","C1H","250.62","-","259.0",""
"Elien Wilfried","C1H","250.65","-","259.0",""
"Gay Michel","C1H","256.59","-","285.0",""
"Nil Georgel","C1H","260.42","-","301.0",""
"Gauthier Gonseth","C1H","260.48","-","302.0",""
"Besseau Alexandre","C1H","262.88","-","312.0",""
"Philippe Thevenin","C1H","266.88","-","329.0",""
"Masson Gwenael","C1H","266.99","-","330.0",""
"Salembier Ludovic","C1H","268.38","-","336.0",""
"Philippe Senechal","C1H","268.87","-","338.0",""
"Herbertz Guillaume","C1H","271.51","-","349.0",""
"Molines Philippe","C1H","276.27","-","370.0",""
"Gosset Dominik","C1H","291.79","-","436.0",""
"Frederic Saguet","C1H","300.48","-","474.0",""
"Olivier Arette Hourquet","C1H","318.69","-","552.0",""
"Lamy Victor- Daille Jerome","C2H","232.12","-","93.0",""
"Daille Bertrand- Biau Eric","C2H","247.96","-","155.0",""
"Ganthier Damiens- Gauchotte David","C2H","248.37","-","157.0",""
"Guillaume Gonseth-Nicolas Detheve","C2H","251.96","-","171.0",""
"Guillaume Benoit- Pitman Arnaud","C2H","303.03","199.0","371.0",""
"Clerc Herve- Clerc Pierrealain","C2H","311.15","-","403.0",""
"Bouchard Vincent- Cliquet Kevine","C2H","369.42","-","632.0",""
"Gilles Schweitzer-Loic Sieber","C2H","378.45","-","667.0",""
"Dubois Philippe- Tamburini Florent","C2H","474.55","-","1045.0",""
"Carole Bouzidi","K1D","250.57","-","165.0",""
"Fanny Mino-vercellio","K1D","251.66","-","170.0",""
"Thome Celine","K1D","253.0","-","175.0",""
"Tanet Lucie","K1D","256.99","-","191.0",""
"Dejours Nelly","K1D","257.82","-","194.0",""
"Poix Sophie","K1D","257.98","-","194.0",""
"Julie Labarelle","K1D","258.5","-","196.0",""
"Aubert Laetitia","K1D","267.05","-","230.0",""
"Guindeo Mariepierre","K1D","268.18","-","234.0",""
"Leger Elodie","K1D","272.75","-","252.0",""
"Leleu Sophie","K1D","275.38","-","263.0",""
"Cornevin Maud","K1D","275.52","-","263.0",""
"Frotey Floriane","K1D","276.46","-","267.0",""
"Borg Julie","K1D","277.73","202.0","272.0",""
"Hugue Coraline","K1D","280.15","-","281.0",""
"Hubert Sandrine","K1D","281.56","-","287.0",""
"Schweitzer Pascale","K1D","288.41","-","314.0",""
"Sylvie Metz","K1D","292.41","-","330.0",""
"Ledoux Anne","K1D","298.73","-","354.0",""
"Marechal Brigitte","K1D","299.19","-","356.0",""
"Cornevin Angelique","K1D","301.58","-","366.0",""
"Laure Vierne","K1D","301.81","-","367.0",""
"Riesenmey Caroline","K1D","305.12","-","380.0",""
"Sohy Laurence","K1D","309.45","-","397.0",""
"Jihane Samlal","K1D","309.8","-","398.0",""
"Vanderkam Buisson Maelle","K1D","318.38","-","432.0",""
"Barroso Cyrielle","K1D","320.78","343.0","441.0",""
"Fleureau Domitille","K1D","323.03","-","450.0",""
"Clotilde Miclo","K1D","333.24","-","490.0",""
"Royle Kay","K1D","362.63","-","605.0",""
"Thomas Nadege","K1D","370.27","-","635.0",""
"Marie Ringeisen","K1D","373.68","-","649.0",""
"Morere Julia","K1D","388.17","-","706.0",""
"Audrey Metz","K1D","389.29","-","710.0",""
"Sarah Michel","K1D","392.26","-","722.0",""
"Mylene Renaud","K1D","418.5","-","825.0",""
"Lutinier Michelle","K1D","448.63","-","943.0",""
"Amini Leila","K1D","522.45","-","1233.0",""
"Guillaume Picco","K1H","205.83","-","111.0",""
"Jean Christophe Boivin","K1H","206.98","-","116.0",""
"Lesquer David","K1H","207.52","-","119.0",""
"Pierre Pans","K1H","207.63","-","119.0",""
"Basquin Jeanbaptiste","K1H","209.87","-","129.0",""
"Jean Charles Creusot Walter","K1H","210.32","-","131.0",""
"Nivel Cyril","K1H","210.59","349.0","132.0",""
"Johan De Mareuil","K1H","211.34","-","136.0",""
"Pierre Bourliaud","K1H","211.81","-","138.0",""
"Christophe Siffert","K1H","212.13","-","139.0",""
"Saint Girons Thomas","K1H","212.33","178.0","140.0",""
"Gregory Booth","K1H","212.4","-","141.0",""
"Colliex Olivier","K1H","212.48","-","141.0",""
"Sebastien Lepaulard","K1H","213.58","-","146.0",""
"Bernard Babi","K1H","216.12","-","157.0",""
"Charlot Thibaut","K1H","216.14","-","157.0",""
"Pala Mathieu","K1H","216.73","-","160.0",""
"Despax Cedric","K1H","217.06","-","162.0",""
"Gogois Virgile","K1H","217.36","-","163.0",""
"Bertrand Bercon","K1H","218.3","-","167.0",""
"Pascal Hunault","K1H","218.79","-","169.0",""
"Xavier Marie","K1H","218.99","-","170.0",""
"Guillaume Maraquin","K1H","219.32","-","172.0",""
"Michel Ragot","K1H","220.09","-","175.0",""
"Alexandre Schall","K1H","221.43","-","181.0",""
"Bazin Patryce","K1H","223.59","-","191.0",""
"Grandemange Jeanleonard","K1H","223.78","-","192.0",""
"Antoine Dufrene","K1H","225.13","-","198.0",""
"Jeanmaire Cyril","K1H","226.79","-","206.0",""
"Damien Boudet","K1H","227.15","279.0","207.0",""
"Michael Guyon","K1H","227.71","-","210.0",""
"Tisseur Nicaise Florent","K1H","228.75","396.0","214.0",""
"Maxime Faivre","K1H","228.93","-","215.0",""
"Muller Aurelien","K1H","229.12","195.0","216.0",""
"Mathieu Arnaud","K1H","230.1","-","220.0",""
"Piquard Charles","K1H","230.73","-","223.0",""
"Ysern Renaud","K1H","232.94","-","233.0",""
"Weber Nicolas","K1H","233.92","-","238.0",""
"Julien Beltrami","K1H","234.72","-","241.0",""
"Sebastien Thevenin","K1H","234.81","-","242.0",""
"Demange Marc","K1H","235.82","-","246.0",""
"Louis Philippe Rigal","K1H","236.99","-","252.0",""
"Texier Jeremy","K1H","237.36","-","253.0",""
"Manoussos Nicolas","K1H","238.0","-","256.0",""
"Ballini Yoann","K1H","240.05","-","265.0",""
"Christophe Gosselin","K1H","240.4","-","267.0",""
"Christophe Billaud","K1H","241.87","-","274.0",""
"Campioni Patrice","K1H","242.14","-","275.0",""
"Bruet Aurelien","K1H","243.18","-","280.0",""
"Girard Adrien","K1H","244.56","238.0","286.0",""
"Jerome Talbot","K1H","249.14","-","306.0",""
"Di Lauro Alexandre","K1H","252.51","-","322.0",""
"Patrick Gass","K1H","254.53","-","331.0",""
"Sylvain Herrbach","K1H","255.45","-","335.0",""
"Marinot Pascal","K1H","257.68","-","345.0",""
"Bruno Madier","K1H","259.8","-","355.0",""
"Laroque Jeanchristophe","K1H","261.96","-","364.0",""
"Gall Philippe","K1H","292.59","-","503.0",""
"Olivier Mittler","K1H","298.11","-","528.0",""
"Jean Guyot","K1H","300.33","-","538.0",""
"Philippe Chapatte","K1H","303.55","-","552.0",""
"Frotey Alain","K1H","307.58","-","570.0",""
"Renaud Guy","K1H","309.52","-","579.0",""
"Nizar Samlal","K1H","323.33","-","641.0",""
"Medjeberg Jeremy","K1H","397.73","181.0","977.0",""
