"Sélectif N3 Sud Est - Quillan - 2001-05-06","Course 1","2001-05-06","Nationale 3","79"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Abadie Fabien","C1H","250.31","333","285",""
"Thibault Florian","C1H","269.28","-","378",""
"Vignal Romain","C1H","294.79","-","502",""
"Saubes Nils","C1H","296.76","-","512",""
"Veith Geoffroy","C1H","303.43","-","544",""
"Royle David","C1H","306.31","596","558",""
"Merle Mathias","C1H","314.34","618","598",""
"Morin Lionel","C1H","345.09","401","748",""
"Baptiste Tappero","C1H","352.71","805","785",""
"Arribat Benoit","C1H","401.97","-","1026",""
"Francois Mouttou","C1H","425.19","-","1139",""
"Salame Sylvain","C1H","491.12","-","1461",""
"Corbiere Nicolas","C1H","609.5","-","2039",""
"Dumont Thierry- Pernot Christophe","C2H","296.17","-","383",""
"Wadel Aurelia","K1D","301.7","-","408",""
"Paviot Laetitia","K1D","315.94","2824","471",""
"Colin Katherine","K1D","317.13","340","477",""
"Amandola Maeva","K1D","318.16","-","481",""
"Roumet Marie","K1D","320.07","-","490",""
"Marie Borlet","K1D","322.69","480","501",""
"Boucly Julie","K1D","335.63","-","559",""
"Anais Bouchet","K1D","336.32","404","562",""
"Valette Emma","K1D","336.6","1027","563",""
"Peyraud Carole","K1D","345.22","-","602",""
"Camille Salgues","K1D","351.38","384","629",""
"Sicre Caroline","K1D","355.62","684","648",""
"Duboc Guenaelle","K1D","357.1","-","655",""
"Audrey Astier Perret","K1D","373.22","-","727",""
"Lyon Gaelle","K1D","373.94","529","730",""
"Barbaglia Remi","K1H","230.81","-","246",""
"Guillaume Dumora","K1H","233.29","-","259",""
"Bertrand Dubiez","K1H","233.56","276","260",""
"Bertrand Lamy","K1H","235.72","395","271",""
"Jeremy Wagner","K1H","235.74","-","271",""
"Nadal Benoit","K1H","237.34","331","280",""
"Benoit Molinier","K1H","237.68","-","281",""
"Jacquot Ludovic","K1H","246.5","359","327",""
"Verchere Thibault","K1H","247.75","358","333",""
"Renaud Doby","K1H","249.5","319","342",""
"Milhau Vincent","K1H","251.34","-","351",""
"Delfs Yann","K1H","265.69","-","425",""
"Mangeol Sebastien","K1H","265.96","372","426",""
"Wadel Florian","K1H","266.44","-","429",""
"Jeremy Moureaux","K1H","267.19","533","433",""
"Delphine Fabrice","K1H","267.64","-","435",""
"Voltaire Pierre","K1H","268.66","-","440",""
"Colin Molinier","K1H","269.65","-","445",""
"Chabannes Erwan","K1H","269.82","-","446",""
"Froissard Jonathan","K1H","270.99","-","452",""
"Barbaglia Sylvain","K1H","272.91","-","462",""
"El Bahri Selim","K1H","275.12","417","473",""
"Cathala Florian","K1H","275.56","485","476",""
"Beltrami Denis","K1H","275.72","505","476",""
"Lalauze Charly","K1H","276.94","-","483",""
"Prive Jeremy","K1H","278.51","506","491",""
"Balzeau Thomas","K1H","279.22","380","494",""
"Lebourgeois Alexis","K1H","281.22","-","505",""
"Sylvain Follenfant","K1H","283.82","-","518",""
"Tatilon Albin","K1H","283.84","-","518",""
"Amandola Alain","K1H","284.87","-","523",""
"Alain Ferry","K1H","286.31","628","531",""
"Jourdan Hadrien","K1H","286.78","-","533",""
"Luc Doye","K1H","287.93","394","539",""
"Bourdon Florian","K1H","289.18","-","545",""
"Cassin Nathanael","K1H","290.76","-","554",""
"Cartoux Alexandre","K1H","293.66","-","568",""
"Riou Sebastien","K1H","294.67","287","574",""
"Salame Nicolas","K1H","297.69","-","589",""
"Yann Gudefin","K1H","297.93","-","590",""
"Stephane Simonpietri","K1H","299.09","-","596",""
"Joufret Eric","K1H","302.81","287","615",""
"Bazzali Pierre Ange","K1H","310.09","-","653",""
"Cassin Emmanuel","K1H","310.17","-","653",""
"Mezghenna Arnaud","K1H","315.94","-","683",""
"Ouvrard Paul","K1H","316.84","-","687",""
"Benoit Fer","K1H","320.95","-","708",""
"Mouttou Ramane","K1H","361.34","-","915",""
"Chicane Guylain","K1H","378.31","-","1003",""
"Thomas Baudelet","K1H","388.74","-","1056",""
