"Coupe de France N1 - Epinal - 5ème Manche - 2001-05-19","Epinal","5ème Manche","","2001-05-19","Nationale 1","119"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Estanguet Patrice","C1H","174.92","23.0","21.0",""
"Lalliet Olivier","C1H","184.13","40.0","59.0",""
"Charly Chassigneux","C1H","184.42","66.0","61.0",""
"Christophe Despres","C1H","184.53","74.0","61.0",""
"Herve Delamarre","C1H","184.74","30.0","62.0",""
"Xavier Pocard","C1H","186.54","-","69.0",""
"Eric Labarelle","C1H","187.15","61.0","72.0",""
"Nicolas Peschier","C1H","188.82","69.0","79.0",""
"Pons Alexandre","C1H","189.11","87.0","80.0",""
"Pierre Labarelle","C1H","189.19","87.0","80.0",""
"Baptiste Delaplace","C1H","189.27","39.0","81.0",""
"Herve Chevrier","C1H","189.72","-","82.0",""
"Basille Yann","C1H","189.93","108.0","83.0",""
"Mathieu Voyemant","C1H","189.95","98.0","83.0",""
"Neime Claude","C1H","190.79","104.0","87.0",""
"Billaut Francois","C1H","191.99","93.0","92.0",""
"Jerome Le Gall","C1H","193.39","-","98.0",""
"Matringe Gabriel","C1H","193.53","142.0","98.0",""
"Champmartin Frank","C1H","195.81","102.0","108.0",""
"Pascal Buck","C1H","198.08","-","117.0",""
"Alain Schirmann","C1H","200.52","127.0","127.0",""
"Benoit Pacteau","C1H","201.32","115.0","130.0",""
"Grosse Julien","C1H","201.83","144.0","132.0",""
"Emeric Bertrand","C1H","205.33","187.0","147.0",""
"Lorrie Delattre","C1H","205.85","146.0","149.0",""
"Ronan Betrom","C1H","212.28","70.0","175.0",""
"Jeremy Heugas","C1H","263.19","191.0","385.0",""
"Pierre Luquet-Christophe Luquet","C2H","191.49","-","21.0",""
"Gombert Alexis- Abadie Stephane","C2H","206.09","88.0","76.0",""
"Gaspard Remi- Gaspard Julien","C2H","206.41","-","77.0",""
"Cedric Forgit-Martin Braud","C2H","208.26","-","84.0",""
"Maxime Vallin-Gauthier Gonseth","C2H","212.86","-","102.0",""
"Bouvard Laurent- Bouvard Sebastien","C2H","213.23","82.0","103.0",""
"Schweitzer Lionel- Jamain Olivier","C2H","213.3","74.0","103.0",""
"Brunel Christian- Brahic Guillaume","C2H","216.99","87.0","117.0",""
"Loic Brunel-Medhi Deguil","C2H","225.07","81.0","147.0",""
"Loury Nicolas- Besancon David","C2H","238.11","154.0","197.0",""
"Clement Nicolas- Vincent Thomas","C2H","240.53","-","206.0",""
"Darcillon Julien- Hemidy Francois","C2H","251.57","422.0","247.0",""
"Dickens Peggy","K1D","188.45","-","10.0",""
"Anneline Triomphe","K1D","191.13","35.0","20.0",""
"Bardet Annelise","K1D","193.3","-","28.0",""
"Marie Gaspard","K1D","194.48","-","32.0",""
"Samuelle Arnaud","K1D","202.82","57.0","64.0",""
"Ophelie Delaplace","K1D","203.51","77.0","66.0",""
"Mathilde Pichery","K1D","203.63","56.0","67.0",""
"Nagwa Lanchec El Desouki","K1D","205.33","173.0","73.0",""
"Sohy Stephanie","K1D","207.25","119.0","80.0",""
"Arribe Catherine","K1D","208.36","98.0","85.0",""
"Goncalves Caroline","K1D","209.92","128.0","90.0",""
"Bomboy Alice","K1D","211.71","86.0","97.0",""
"Nelly Tornare","K1D","211.76","112.0","97.0",""
"Chevrier Cecile","K1D","213.59","76.0","104.0",""
"Lesigne Agathe","K1D","214.87","84.0","109.0",""
"Emilie Fer","K1D","215.37","-","111.0",""
"Barthelme Anne-France","K1D","216.18","167.0","114.0",""
"Beauvais Angelique","K1D","217.01","123.0","117.0",""
"Aline Tornare","K1D","217.36","120.0","118.0",""
"Craig Hannah","K1D","220.02","167.0","128.0",""
"Carole Bouzidi","K1D","220.74","246.0","131.0",""
"Colin Maelle","K1D","220.8","122.0","131.0",""
"Emilie Chamouleau","K1D","222.15","103.0","136.0",""
"Octobre Valerie","K1D","226.11","-","151.0",""
"Thome Celine","K1D","227.62","415.0","157.0",""
"Vincent Marie","K1D","232.6","98.0","176.0",""
"Yvinec Camille","K1D","246.42","-","228.0",""
"Jihane Samlal","K1D","257.46","-","269.0",""
"Fourcaud Laetitia","K1D","292.57","133.0","401.0",""
"Burtz Laurent","K1H","167.6","-","26.0",""
"Brogniart Arnaud","K1H","170.59","42.0","39.0",""
"Thomas Monier","K1H","172.88","43.0","49.0",""
"Baillon Nicolas","K1H","173.95","47.0","53.0",""
"Romain Pallud","K1H","174.05","57.0","54.0",""
"Pallud Renaud","K1H","175.6","55.0","60.0",""
"Cheutin Jean-Yves","K1H","176.51","-","64.0",""
"Estanguet Aldric","K1H","176.54","62.0","65.0",""
"Julien Tous","K1H","176.96","67.0","66.0",""
"Ghidini Jerome","K1H","177.28","56.0","68.0",""
"Pierre Devaux","K1H","177.41","72.0","68.0",""
"Fletcher Cyril","K1H","177.51","68.0","69.0",""
"Patrice Fischer","K1H","178.89","73.0","75.0",""
"Riwal Le Berre","K1H","180.06","91.0","80.0",""
"Venceslas Viseur","K1H","180.1","83.0","80.0",""
"Yann Neime","K1H","180.15","110.0","80.0",""
"Julien Arribe","K1H","180.2","80.0","80.0",""
"Christophe Marechal","K1H","180.28","61.0","81.0",""
"Boulesteix Ludovic","K1H","180.59","34.0","82.0",""
"Thibaud Delaunay","K1H","181.31","99.0","85.0",""
"Alonso Remy","K1H","181.6","74.0","86.0",""
"Matthieu Le Gall","K1H","181.71","147.0","87.0",""
"Ragot Laurent","K1H","182.0","93.0","88.0",""
"Charles Edouard Dherment","K1H","182.05","106.0","88.0",""
"Damien Laborde","K1H","182.53","80.0","90.0",""
"Mathieu Doby","K1H","182.74","75.0","91.0",""
"Benoit Rouffet","K1H","183.16","82.0","93.0",""
"Radureau Lionel","K1H","183.31","129.0","94.0",""
"Christophe Augu","K1H","183.74","51.0","96.0",""
"Bernis Camille","K1H","183.82","96.0","96.0",""
"Aurelien Maynadier","K1H","184.56","104.0","99.0",""
"Nicolas Durand","K1H","184.62","-","99.0",""
"Frederic Walczak","K1H","185.79","80.0","105.0",""
"Le Calve Yann","K1H","186.2","-","106.0",""
"Thomas Jean Pascal","K1H","186.34","93.0","107.0",""
"Bourgeois Cedric","K1H","186.49","83.0","108.0",""
"Julien Dosse","K1H","187.09","74.0","110.0",""
"Jean Charles Creusot Walter","K1H","187.21","-","111.0",""
"Octobre Olivier","K1H","187.24","98.0","111.0",""
"Gregory Busson","K1H","187.96","115.0","114.0",""
"Fabien Hantz","K1H","188.19","107.0","115.0",""
"Bluy Alexandre","K1H","188.23","108.0","115.0",""
"Trzeciak Vincent","K1H","188.36","150.0","116.0",""
"Pierre Bourliaud","K1H","188.83","149.0","118.0",""
"Douillard Bertrand","K1H","189.6","104.0","121.0",""
"Guillaume Picco","K1H","190.48","138.0","125.0",""
"Benoit Lepage","K1H","191.51","234.0","129.0",""
"Bruno Madier","K1H","198.7","-","160.0",""
"Davy Egraz","K1H","209.11","85.0","205.0",""
"Mehdi Amini","K1H","249.86","171.0","382.0",""
"Yoann Gottardo","K1H","252.27","158.0","392.0",""
