"Finale N3 Sud Ouest - Angouleme - 2001-06-17","Course 1","2001-06-17","Nationale 3","76"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Labat Christian","C1H","236.53","-","338",""
"Deguil Josselin","C1H","249.24","983","409",""
"Jonathan Suc","C1H","253.34","-","432",""
"Moustrou Pierre","C1H","255.36","-","443",""
"Mathieu Villeger","C1H","257.72","628","456",""
"Aguiar Jimmy","C1H","266.06","493","503",""
"Simon Etienne","C1H","287.9","610","625",""
"Valette Sebastien- Mossion Regis","C2H","279.45","555","442",""
"Lyphout Virginie","K1D","248.65","321","285",""
"Leymonerie Agnes","K1D","255.01","378","317",""
"Elodie Janotto","K1D","264.08","491","364",""
"Dintilhac Carine","K1D","266.11","604","374",""
"Lapeze Maylis","K1D","268.04","-","384",""
"Queriaud Melanie","K1D","270.06","-","394",""
"Ancellin Isabelle","K1D","286.94","-","480",""
"Queriaud Audrey","K1D","288.25","455","487",""
"Dussutour Mylene","K1D","324.06","-","670",""
"Duval Deplanne Aline","K1D","354.59","-","825",""
"Nicolas Labat","K1H","203.95","226","213",""
"Boris Neveu","K1H","209.7","274","247",""
"Benoit Molinier","K1H","210.87","283","254",""
"Deguil Alexandre","K1H","212.04","-","260",""
"Olivier Mourasse","K1H","213.68","259","270",""
"Samuel Hernanz","K1H","214.49","241","275",""
"Chasseloup Christophe","K1H","214.72","290","276",""
"Philippe Niquet","K1H","215.48","-","281",""
"Cordonnier Raphael","K1H","216.27","324","285",""
"Spitaels Nicolas","K1H","217.34","273","292",""
"Fortier Arnaud","K1H","218.4","-","298",""
"Bastien Dantin","K1H","219.94","316","307",""
"Leymonerie Pierre","K1H","220.27","-","309",""
"Portelli Yoann","K1H","222.08","286","319",""
"Frederic Descot","K1H","224.17","303","332",""
"Azema Richard","K1H","226.12","230","343",""
"Boulet Cyril","K1H","226.24","471","344",""
"Molinier Vincent","K1H","226.78","-","347",""
"Boris Lesimple","K1H","227.06","404","349",""
"Faure Nicolas","K1H","227.46","-","351",""
"Pomies Raphael","K1H","228.07","492","355",""
"Yoan Dalla Longa","K1H","228.26","-","356",""
"Francois Giondini","K1H","228.63","-","358",""
"Perilhou Sebastien","K1H","229.12","-","361",""
"Yoan Minvielle","K1H","230.29","-","368",""
"Florent Boulet","K1H","231.76","480","376",""
"Colin Molinier","K1H","231.78","356","376",""
"Vynisale Loic","K1H","231.81","-","376",""
"Julien Lenaour","K1H","232.3","372","379",""
"Jean-francois Souville","K1H","232.46","361","380",""
"Calmette Philippe","K1H","232.5","-","380",""
"Manuel Legros","K1H","237.07","-","407",""
"Fillon Nicolas","K1H","237.99","-","413",""
"Aymeric Maynadier","K1H","238.17","449","414",""
"Xavier Flatreau","K1H","239.38","516","421",""
"Jerome Augustine","K1H","243.9","-","447",""
"Carrandier Yohan","K1H","244.33","361","450",""
"Olivier Cain","K1H","244.66","903","452",""
"Geffroy Stephen","K1H","245.43","462","456",""
"Etourneau Matthias","K1H","245.9","680","459",""
"Merzeau Michel","K1H","245.95","486","459",""
"Szymocha Damien","K1H","246.99","-","465",""
"Jean-noel Biteau","K1H","247.68","604","470",""
"Mathieu Pouchet","K1H","248.18","-","472",""
"Normand Geoffroy","K1H","250.3","-","485",""
"Rouleau Jean-Yves","K1H","255.33","470","514",""
"Martineau Sebastien","K1H","257.01","-","524",""
"Lay Matthieu","K1H","263.65","-","563",""
"Jean Luc Pessoni","K1H","266.02","983","577",""
"Heugas Alexandre","K1H","270.08","-","601",""
"Dindinaud Romain","K1H","272.14","-","613",""
"Roques Fabien","K1H","275.97","280","635",""
"Roso Emilien","K1H","276.53","-","639",""
"Lassoureille Remi","K1H","276.96","-","641",""
"Ducom Mathieu","K1H","277.16","-","642",""
"Sarraute Julien","K1H","278.74","-","652",""
"Lanusse Maxime","K1H","294.58","-","745",""
"Chicane Guylain","K1H","307.78","-","822",""
