"Finale N3 Nord Ouest - Cesson-Sévigné - 2001-06-17 Course 1","Cesson-Sévigné","Course 1","","2001-06-17","Nationale 3","136"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Hamonic Matthieu","C1H","189.91","441.0","268.0",""
"Gegat Mathieu","C1H","191.69","-","279.0",""
"Le Bouder Emilien","C1H","192.38","505.0","283.0",""
"Bremond Mathieu","C1H","192.72","-","285.0",""
"Lepage Clement","C1H","196.26","364.0","308.0",""
"Navarre Emmanuel","C1H","199.87","-","331.0",""
"Henaff Mickael","C1H","200.0","748.0","331.0",""
"Olivier Leboeuf","C1H","201.54","418.0","341.0",""
"Teddy Poulard","C1H","205.36","424.0","365.0",""
"Rialland Samuel","C1H","208.47","-","385.0",""
"Prigent David","C1H","208.47","-","385.0",""
"Brodiez Marc","C1H","208.62","387.0","386.0",""
"Sebastien Fouille","C1H","208.91","644.0","388.0",""
"Nedelec Ronan","C1H","209.9","375.0","394.0",""
"Yoann Bizot","C1H","210.6","395.0","398.0",""
"Denis Voisin","C1H","212.4","-","410.0",""
"Julien Rocaboy","C1H","213.91","602.0","419.0",""
"Avril Jose","C1H","217.36","-","441.0",""
"Toupin Sebastien","C1H","219.09","422.0","452.0",""
"Marc Anthoine Marchand","C1H","223.26","-","478.0",""
"Andre Francois","C1H","225.22","1066.0","490.0",""
"Friquet Arnaud","C1H","229.22","-","516.0",""
"Bulois Stephane","C1H","231.93","-","533.0",""
"Darcillon Julien- Hemidy Francois","C2H","196.23","291.0","200.0",""
"David Gaillard-Eric Beaumont","C2H","217.52","-","323.0",""
"Bonvalet Samuel- Avril Gauthier","C2H","276.82","-","664.0",""
"Mainguy Xavier- Stephant Gilles","C2H","291.65","-","750.0",""
"Veronique Vourch","K1D","204.54","321.0","248.0",""
"Fanny Kerambrun","K1D","217.95","-","325.0",""
"Cassier Cecile","K1D","221.2","-","344.0",""
"Le Gall Lisa","K1D","221.53","-","346.0",""
"Clothilde Rocher","K1D","223.28","437.0","356.0",""
"Zoungrana Annececile","K1D","224.18","444.0","361.0",""
"Lamour Gwenhael","K1D","225.03","-","366.0",""
"Nathalie Gil","K1D","225.16","-","367.0",""
"Yaouanc Gaelle","K1D","230.06","-","395.0",""
"Stephanie Le Mercier","K1D","238.4","374.0","443.0",""
"Croizer Gwennina","K1D","238.73","476.0","445.0",""
"Hyacinthe Carole","K1D","249.84","-","509.0",""
"Renard Aude","K1D","254.96","1070.0","538.0",""
"Nedelec Nolwenn","K1D","257.41","618.0","552.0",""
"Bel Amandine","K1D","269.17","651.0","620.0",""
"Collet Aurore","K1D","285.67","490.0","715.0",""
"Melina Letellier","K1D","289.63","362.0","738.0",""
"Chevalier Yvane","K1D","296.15","662.0","775.0",""
"Le Bouec Pauline","K1D","311.66","-","865.0",""
"Thomas Masuy","K1H","179.53","236.0","259.0",""
"Duliscouet Richard","K1H","180.95","-","268.0",""
"Minter Guenole","K1H","182.08","-","276.0",""
"L'haridon Olivier","K1H","182.55","374.0","279.0",""
"Richard Davy","K1H","183.0","267.0","282.0",""
"Tanguy Anthony","K1H","184.4","468.0","291.0",""
"Manuel Coquelin","K1H","185.57","266.0","299.0",""
"Oasquillon Cedric","K1H","186.67","-","306.0",""
"Bertrand Avril","K1H","186.83","279.0","307.0",""
"Sebastien Delaunay","K1H","187.31","290.0","310.0",""
"Raphael Reveche","K1H","189.45","406.0","325.0",""
"Josselin Bertrand","K1H","189.68","367.0","326.0",""
"Bercon Aurelien","K1H","191.06","344.0","335.0",""
"Jeanpierre Le Lann","K1H","191.76","-","340.0",""
"Benjamin Buys","K1H","191.96","261.0","341.0",""
"Loic Froissard","K1H","192.22","296.0","343.0",""
"Olivier Clement","K1H","193.8","370.0","353.0",""
"Vincent Salmon","K1H","193.89","-","354.0",""
"Ronan Marie","K1H","194.62","-","359.0",""
"Oouchet Jeremy","K1H","195.07","-","362.0",""
"Laurent Van Poucke","K1H","195.6","458.0","365.0",""
"Grosvalet Pierre","K1H","196.3","-","370.0",""
"Herfray Francois","K1H","196.66","469.0","372.0",""
"Reveillere Pierrick","K1H","197.13","465.0","375.0",""
"Erwan Desbordes","K1H","197.81","348.0","380.0",""
"Melaine Pichard","K1H","198.36","276.0","384.0",""
"Gallerne Stephane","K1H","198.49","469.0","384.0",""
"Cotteaux Julien","K1H","198.77","-","386.0",""
"Yves Lecointe","K1H","199.08","407.0","388.0",""
"Erwan Cadio","K1H","200.12","466.0","395.0",""
"Jean Alexandre","K1H","200.21","-","396.0",""
"Bouchet Mickael","K1H","201.41","-","404.0",""
"Denis Siegfried","K1H","202.19","505.0","409.0",""
"Le Troadec Brendan","K1H","202.45","554.0","411.0",""
"Pasquier Marc","K1H","202.72","-","412.0",""
"Louet Jeremie","K1H","203.36","524.0","417.0",""
"David Ravache","K1H","203.42","-","417.0",""
"David Breton","K1H","203.77","371.0","419.0",""
"Martin Fabien","K1H","203.92","-","420.0",""
"Mathieu Godin","K1H","204.57","495.0","425.0",""
"Droullon Aurelien","K1H","205.34","-","430.0",""
"Beaudoin Fabien","K1H","205.49","401.0","431.0",""
"Teiti Arnaud","K1H","206.01","457.0","434.0",""
"Prigent Mathieu","K1H","208.36","587.0","450.0",""
"David Despierres","K1H","208.91","-","453.0",""
"Le Mercier David","K1H","208.98","581.0","454.0",""
"Jeremy Bretteville","K1H","209.13","-","455.0",""
"Jeansebastien Simonklein","K1H","209.32","461.0","456.0",""
"Barbier Julien","K1H","209.9","627.0","460.0",""
"Fabien Tournadre","K1H","210.07","-","461.0",""
"Denays Sylvain","K1H","210.81","507.0","466.0",""
"Kevin Lemenaheze","K1H","211.65","-","472.0",""
"Guillaume Coroller","K1H","211.72","591.0","472.0",""
"Marrec Cedric","K1H","213.48","692.0","484.0",""
"Brustiec Jerom","K1H","213.82","359.0","486.0",""
"Le Coq Sebastien","K1H","214.49","439.0","490.0",""
"Landa Thomas","K1H","214.55","657.0","491.0",""
"Bardet Tony","K1H","215.82","457.0","499.0",""
"Vincent Richard","K1H","216.1","533.0","501.0",""
"Pierre Emanuel Marchand","K1H","219.11","-","521.0",""
"Rifflet Jerome","K1H","219.81","534.0","526.0",""
"Louet Gwenael","K1H","220.06","491.0","527.0",""
"Aurelien Leroy","K1H","220.26","590.0","529.0",""
"Pasco Laurent","K1H","220.54","379.0","531.0",""
"Pluviaud Maxime","K1H","220.77","-","532.0",""
"Vinot Mikael","K1H","221.21","-","535.0",""
"Le Parc Sebastien","K1H","222.59","-","544.0",""
"Chapel Mikael","K1H","227.01","636.0","573.0",""
"Dieumegard Christophe","K1H","227.58","449.0","577.0",""
"Florent Regrettier","K1H","228.45","639.0","583.0",""
"Benard Fabien","K1H","228.72","-","585.0",""
"Dubu Alain","K1H","230.23","524.0","595.0",""
"Jeanmarie Le Guyader","K1H","233.07","587.0","613.0",""
"Deffay Axel","K1H","233.13","720.0","614.0",""
"Rocher Manuel","K1H","233.33","570.0","615.0",""
"Madec Christophe","K1H","235.01","562.0","626.0",""
"Yann Lardic","K1H","235.48","605.0","629.0",""
"Pierreyves Hellard","K1H","236.72","-","638.0",""
"Le Dean Yannn","K1H","238.53","-","650.0",""
"Maze Ronan","K1H","238.64","672.0","650.0",""
"Troley Yann","K1H","239.43","-","656.0",""
"Le Bris Pierrick","K1H","239.48","-","656.0",""
"Gac Ronan","K1H","249.72","364.0","724.0",""
"Le Guen Vincent","K1H","250.02","-","726.0",""
"Dugast Jeanfrancois","K1H","252.85","-","744.0",""
"Helluin Jean Paul","K1H","264.64","-","823.0",""
"Vaillant Tiphaine","K1H","267.95","742.0","844.0",""
"Julien Brouzes","K1H","268.79","433.0","850.0",""
"Hoel Carnot","K1H","271.95","920.0","871.0",""
"Kevin Gouabault","K1H","273.83","581.0","883.0",""
