"CHAMPIONNAT DE LIGUE - Iles Mortes Champs/Marne Course 1","Iles Mortes Champs/Marne","Course 1","","2001-06-24","Régional","90"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lalliet Olivier","C1H","207.18","40.0","108.0",""
"Mathieu Voyemant","C1H","212.51","90.0","140.0",""
"Lorrie Delattre","C1H","214.47","137.0","151.0",""
"Damien Troquenet","C1H","215.41","228.0","157.0",""
"Mirand Guillaume","C1H","216.19","-","161.0",""
"Antoine Lebellec","C1H","218.66","329.0","176.0",""
"Remi Debailleul","C1H","224.85","-","212.0",""
"Sebastien Andrieu","C1H","228.47","-","234.0",""
"Olivier Gesbert","C1H","231.32","333.0","250.0",""
"Jean-guillaume Desmoulin","C1H","232.6","661.0","258.0",""
"Marceau Gregory","C1H","236.37","-","280.0",""
"Bozec Florian","C1H","245.22","456.0","332.0",""
"Lodolo Clement","C1H","249.87","462.0","359.0",""
"Perruchet Fabien","C1H","250.82","-","365.0",""
"Heilles Fabien","C1H","263.33","876.0","439.0",""
"Levert Michel","C1H","264.18","-","444.0",""
"Denoyer Sebastien","C1H","265.15","-","449.0",""
"Monvoisin Benoit","C1H","276.21","-","514.0",""
"Dubois Maxime","C1H","283.24","-","556.0",""
"Guerinet Cedric","C1H","312.98","-","731.0",""
"Andrieu Sebastien- Mirand Guillaume","C2H","227.46","143.0","111.0",""
"Mathieu Voyemant-Damien Troquenet","C2H","227.96","-","114.0",""
"Buchheit Fabien- Briois Mathieu","C2H","244.83","345.0","205.0",""
"Senechault Jean-Michel- Lalliet Olivier","C2H","245.66","-","209.0",""
"Lebellec Antoine- Delattre Lorrie","C2H","251.25","-","239.0",""
"Seyfried Fabien- Morel Julien","C2H","280.24","408.0","395.0",""
"Ferrer William- Marceau Gregory","C2H","285.02","-","420.0",""
"Lodolo Clement- Gombert Michel","C2H","286.66","-","429.0",""
"Planchais Alban- Fougeron Julien","C2H","356.74","-","806.0",""
"Lesigne Clemence","K1D","236.63","-","161.0",""
"Apert Maia","K1D","242.82","274.0","194.0",""
"Stern Fanny","K1D","242.93","-","194.0",""
"Petrescu Luana","K1D","255.66","530.0","263.0",""
"Besch Eulalie","K1D","278.82","529.0","387.0",""
"Serot Delphine","K1D","297.62","-","488.0",""
"Humblot Melanie","K1D","307.45","-","541.0",""
"Cochard Isabelle","K1D","474.87","-","1440.0",""
"Jennepin Alexandra","K1D","526.99","-","1720.0",""
"Sylvie Bourdon","K1D","610.15","-","2166.0",""
"Boulesteix Ludovic","K1H","194.9","34.0","94.0",""
"Benoit Chantry","K1H","199.76","-","124.0",""
"Moratelli Loic","K1H","207.62","200.0","172.0",""
"Gregory Busson","K1H","208.22","113.0","176.0",""
"Trzeciak Vincent","K1H","209.24","102.0","182.0",""
"Philippe Daumont","K1H","210.16","271.0","188.0",""
"Massias Aurelien","K1H","210.79","-","192.0",""
"Stern Guillaume","K1H","212.65","-","203.0",""
"Antoine Lebastard","K1H","213.15","247.0","206.0",""
"Xavier Jourdain","K1H","213.24","294.0","207.0",""
"Gallais Jules","K1H","214.83","366.0","217.0",""
"Ferrer William","K1H","216.94","-","230.0",""
"Yves Debailleul","K1H","219.08","331.0","243.0",""
"Florian Perenchio","K1H","219.14","-","243.0",""
"Sassier Guillaume","K1H","222.49","675.0","264.0",""
"Cheval Romain","K1H","223.41","-","270.0",""
"Michel Gombert","K1H","223.87","288.0","272.0",""
"Epiard Dominique","K1H","224.69","-","277.0",""
"Julien Darees","K1H","224.76","345.0","278.0",""
"Peureux Romain","K1H","226.66","346.0","290.0",""
"Hachimi Ahmed","K1H","229.06","516.0","304.0",""
"Alexandre Guerinet","K1H","229.29","-","306.0",""
"Chantry Xavier","K1H","230.82","-","315.0",""
"Louis Antoine","K1H","231.53","421.0","320.0",""
"Behar Vincent","K1H","231.78","-","321.0",""
"Julien Fougeron","K1H","232.17","433.0","324.0",""
"Coiffe Florion","K1H","233.54","476.0","332.0",""
"Philippe Valeri","K1H","236.79","395.0","352.0",""
"Aurel Sebastien","K1H","238.19","666.0","361.0",""
"Macarty Sebastien","K1H","247.42","733.0","418.0",""
"Blondeau Julien","K1H","248.72","-","426.0",""
"Jodar Sebastien","K1H","249.2","1769.0","429.0",""
"Alban Planchais","K1H","251.21","639.0","441.0",""
"Viratelle Vincent","K1H","256.06","689.0","471.0",""
"Bechade Olivier","K1H","259.93","-","495.0",""
"Fauconnet Sylvain","K1H","261.27","-","503.0",""
"Malderez Sebastien","K1H","263.6","632.0","518.0",""
"Feltin Johan","K1H","267.91","-","544.0",""
"Gilles Lucas","K1H","268.06","-","545.0",""
"Eric Marmet","K1H","270.07","-","558.0",""
"Lantenois Mickael","K1H","279.62","-","617.0",""
"Loic Monbel","K1H","282.17","-","632.0",""
"Remy Guerinet","K1H","282.51","-","634.0",""
"Claude Pierre Abel","K1H","290.49","-","684.0",""
"Meynier Patrick","K1H","298.43","-","733.0",""
"Laurent Ernou","K1H","298.55","-","734.0",""
"Lacourcelle Maurice","K1H","302.41","-","757.0",""
"Sury Quentin","K1H","312.39","-","819.0",""
"Le Bastard Mathieu","K1H","312.55","-","820.0",""
"Ospitalier Vincent","K1H","338.37","-","979.0",""
"Hachimi Amine","K1H","488.0","-","1903.0",""
