"CHAMPIONNAT DE FRANCE CADETS ET J/V -  - Championnats de France Cadets - 2001-07-10","Championnat de france cadets et j/v","Championnats de France Cadets","","2001-07-10","Championnats de France","160"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pascal Buck","C1H","242.14","140.0","140.0",""
"Paul Gautier","C1H","245.6","401.0","158.0",""
"Biselx Thomas","C1H","246.62","224.0","163.0",""
"Corrotte Valentin","C1H","250.28","320.0","181.0",""
"Besseau Alexandre","C1H","260.27","261.0","231.0",""
"Prevot Hugues","C1H","260.35","348.0","232.0",""
"Lang Paul","C1H","261.46","310.0","237.0",""
"Lepage Clement","C1H","270.46","336.0","282.0",""
"Herbertz Guillaume","C1H","277.28","281.0","316.0",""
"Brodiez Marc","C1H","277.74","377.0","319.0",""
"Bozec Florian","C1H","278.06","388.0","320.0",""
"Yoann Bizot","C1H","279.09","388.0","326.0",""
"Prigent David","C1H","289.54","404.0","378.0",""
"Saubes Nils","C1H","290.34","555.0","382.0",""
"Merle Mathias","C1H","297.51","508.0","418.0",""
"Girardin Marc","C1H","298.8","459.0","424.0",""
"Lodolo Clement","C1H","302.03","419.0","441.0",""
"Cubizolles Sebastien","C1H","333.96","378.0","601.0",""
"Poiret Enguerrand","C1H","342.34","513.0","643.0",""
"Coquille Alexis","C1H","386.54","482.0","864.0",""
"Aguiar Jimmy","C1H","390.57","491.0","884.0",""
"Georgel Alexandre","C1H","474.52","558.0","1305.0",""
"Julien Rocaboy","C1H","812.07","515.0","2997.0",""
"Darcillon Julien- Hemidy Francois","C2H","291.75","247.0","262.0",""
"Fauste Thibaut- Fardelli Florent","C2H","353.36","346.0","544.0",""
"Mathieu Fougere-Thomas Fougere","C2H","357.49","435.0","563.0",""
"Philippot Alexandre- Mathieu Julien","C2H","358.86","719.0","569.0",""
"Montiel-Maimae Joan- Rudant Yann","C2H","424.12","522.0","868.0",""
"Seyfried Fabien- Morel Julien","C2H","433.11","388.0","909.0",""
"Carole Bouzidi","K1D","261.39","120.0","123.0",""
"Clotilde Miclo","K1D","272.5","394.0","174.0",""
"Guindeo Mariepierre","K1D","274.51","222.0","183.0",""
"Yvinec Camille","K1D","276.76","212.0","193.0",""
"Carrey Emilie","K1D","284.03","216.0","227.0",""
"Tanet Lucie","K1D","287.14","-","241.0",""
"Frotey Floriane","K1D","293.8","319.0","271.0",""
"Thiebaut Charline","K1D","303.99","334.0","318.0",""
"Charlotte Le Borgne","K1D","306.45","407.0","329.0",""
"Mylene Renaud","K1D","315.06","469.0","369.0",""
"Maubert Marie","K1D","315.65","645.0","371.0",""
"Amandola Maeva","K1D","322.42","420.0","402.0",""
"Harmony Thery","K1D","328.8","365.0","431.0",""
"Boucly Julie","K1D","335.97","485.0","464.0",""
"Demol Brindille","K1D","338.97","333.0","478.0",""
"Camille Salgues","K1D","347.15","384.0","515.0",""
"Carole Pocard","K1D","347.19","287.0","516.0",""
"Lamour Gwenhael","K1D","347.91","399.0","519.0",""
"Sarah Michel","K1D","349.81","-","528.0",""
"Stern Fanny","K1D","352.57","352.0","540.0",""
"Anais Bouchet","K1D","352.75","404.0","541.0",""
"Wadel Aurelia","K1D","355.75","396.0","555.0",""
"Cornevin Maud","K1D","362.58","265.0","586.0",""
"Vanderkam Buisson Maelle","K1D","382.86","398.0","679.0",""
"Elodie Janotto","K1D","383.54","427.0","682.0",""
"Perrine Beguery","K1D","396.84","540.0","743.0",""
"Colin Katherine","K1D","422.64","340.0","861.0",""
"Jeanson Aude","K1D","423.93","310.0","867.0",""
"Barriga-Prat Anne-Claire","K1D","447.91","424.0","976.0",""
"Leonard Julie","K1D","480.83","323.0","1127.0",""
"Laetitia Thueux","K1D","490.66","587.0","1172.0",""
"Lyphout Virginie","K1D","532.81","293.0","1365.0",""
"Morere Julia","K1D","605.02","636.0","1695.0",""
"Stephanie Le Mercier","K1D","640.65","349.0","1858.0",""
"Zoungrana Annececile","K1D","676.94","389.0","2024.0",""
"Pierre Bourliaud","K1H","228.9","129.0","131.0",""
"Louis Philippe Rigal","K1H","232.01","228.0","148.0",""
"Palix Lorin","K1H","236.89","275.0","173.0",""
"Sullivan Porcher","K1H","237.59","247.0","177.0",""
"Samuel Hernanz","K1H","237.85","241.0","178.0",""
"Lambert Guillaume","K1H","237.86","266.0","179.0",""
"Guillaume Provost","K1H","237.92","326.0","179.0",""
"Benjamin Buys","K1H","238.09","261.0","180.0",""
"Michael Guyon","K1H","238.21","-","180.0",""
"Sebastien Thevenin","K1H","240.64","244.0","193.0",""
"Deguil Alexandre","K1H","241.54","271.0","198.0",""
"Bigand Baptiste","K1H","241.67","292.0","199.0",""
"Benoit Fer","K1H","242.21","279.0","201.0",""
"Raphael Reveche","K1H","243.57","307.0","209.0",""
"Dardilhac Anthony","K1H","244.98","210.0","216.0",""
"Jonathan Chapatte","K1H","247.31","264.0","228.0",""
"Douillet Guilhem","K1H","249.12","317.0","238.0",""
"Benoit Molinier","K1H","249.49","264.0","240.0",""
"Yoan Minvielle","K1H","250.49","349.0","245.0",""
"Nicolas Ciemniewski","K1H","251.35","-","250.0",""
"Luc Doye","K1H","251.81","260.0","252.0",""
"Michel Gombert","K1H","252.71","278.0","257.0",""
"Jeremy Wagner","K1H","253.6","255.0","261.0",""
"Bertrand Lamy","K1H","253.63","311.0","262.0",""
"Juguant Ludovic","K1H","254.84","-","268.0",""
"Reveillere Pierrick","K1H","254.94","363.0","268.0",""
"Vernotte Vincent","K1H","255.76","322.0","273.0",""
"Portelli Yoann","K1H","255.78","286.0","273.0",""
"Gallais Jules","K1H","256.27","311.0","275.0",""
"Cordonnier Raphael","K1H","256.51","291.0","277.0",""
"Beaudoin Fabien","K1H","257.88","392.0","284.0",""
"Pomies Raphael","K1H","260.56","349.0","298.0",""
"Spitaels Nicolas","K1H","260.58","268.0","298.0",""
"Erwan Cadio","K1H","265.09","416.0","322.0",""
"Olivier Clement","K1H","265.55","345.0","324.0",""
"Minter Guenole","K1H","265.98","267.0","327.0",""
"Louis Antoine","K1H","266.24","370.0","328.0",""
"Boehler Jean","K1H","266.77","399.0","331.0",""
"Colin Molinier","K1H","267.58","354.0","335.0",""
"Brustiec Jerom","K1H","268.1","359.0","338.0",""
"Beltrami Denis","K1H","268.15","400.0","338.0",""
"Yves Debailleul","K1H","270.3","287.0","349.0",""
"Viellard Amaury","K1H","270.32","402.0","349.0",""
"Ledoux Thomas","K1H","271.26","437.0","354.0",""
"Jeanluc Nitard","K1H","271.35","365.0","355.0",""
"Jeremy Moureaux","K1H","272.36","385.0","360.0",""
"Fayol Guillaume","K1H","272.96","363.0","363.0",""
"Pouillard Quentin","K1H","273.95","424.0","368.0",""
"Perilhou Sebastien","K1H","275.59","365.0","377.0",""
"Melaine Pichard","K1H","277.89","276.0","389.0",""
"Wadel Florian","K1H","278.46","377.0","392.0",""
"Hachimi Ahmed","K1H","279.32","375.0","397.0",""
"Sarazin Emmanuel","K1H","279.73","408.0","399.0",""
"Jean-francois Souville","K1H","279.87","361.0","400.0",""
"Florent Boulet","K1H","280.95","401.0","405.0",""
"Dugua Benoit","K1H","281.63","436.0","409.0",""
"Vynisale Loic","K1H","281.8","400.0","410.0",""
"Kudla Romain","K1H","282.54","409.0","414.0",""
"Julien Brouzes","K1H","284.16","433.0","422.0",""
"Lebeau Yves","K1H","284.91","-","426.0",""
"Aurelien Leroy","K1H","285.02","472.0","427.0",""
"Le Coq Sebastien","K1H","288.92","433.0","447.0",""
"Crozet Julien","K1H","289.84","432.0","452.0",""
"Verchere Thibault","K1H","292.36","338.0","465.0",""
"Barbaglia Sylvain","K1H","293.75","425.0","473.0",""
"Aymeric Maynadier","K1H","295.48","430.0","482.0",""
"Florian Perenchio","K1H","296.55","338.0","487.0",""
"Boris Neveu","K1H","297.23","254.0","491.0",""
"Dufosse Gregoire","K1H","299.23","491.0","501.0",""
"Pierson Cyril","K1H","300.24","466.0","507.0",""
"Mathieu Godin","K1H","302.48","428.0","519.0",""
"Sylvain Follenfant","K1H","304.97","419.0","532.0",""
"Lombard Julien","K1H","305.68","605.0","535.0",""
"Hugue Fabien","K1H","306.51","-","540.0",""
"Fillon Nicolas","K1H","308.16","-","548.0",""
"Dieumegard Christophe","K1H","310.78","449.0","562.0",""
"Di Lauro Maxime","K1H","314.02","380.0","579.0",""
"Bruet Guillaume","K1H","314.21","391.0","580.0",""
"Julien Lenaour","K1H","319.89","369.0","610.0",""
"Remi Wolf","K1H","322.71","315.0","625.0",""
"Cathala Florian","K1H","328.48","391.0","655.0",""
"Rouleau Jean-Yves","K1H","332.53","470.0","677.0",""
"Nicolas Leclerc","K1H","347.98","-","758.0",""
"Julien Fougeron","K1H","348.67","351.0","762.0",""
"Mangeol Sebastien","K1H","373.17","372.0","891.0",""
"David Breton","K1H","379.18","370.0","922.0",""
"Delphine Fabrice","K1H","386.96","452.0","963.0",""
"Amouriq Yoann","K1H","388.76","341.0","973.0",""
"Sassier Guillaume","K1H","391.26","436.0","986.0",""
"Teiti Arnaud","K1H","400.38","434.0","1034.0",""
"Cheval Romain","K1H","403.61","376.0","1051.0",""
"Boissy Maxime","K1H","455.49","530.0","1324.0",""
"Le Troadec Brendan","K1H","488.62","405.0","1498.0",""
"Vinot Mikael","K1H","512.32","-","1623.0",""
"Tuypens Vincent","K1H","682.31","452.0","2517.0",""
"Joder Morgan","K1H","897.26","-","3648.0",""
