"CHAMPIONNAT DE FRANCE CADETS ET J sur V -  - Championnats de France Juniors - 2001-07-12","Championnats de France Juniors","2001-07-12","Championnats de France","84"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Herve Chevrier","C1H","232.13","79","80",""
"Matringe Gabriel","C1H","246.46","114","142",""
"Alain Schirmann","C1H","256.66","119","185",""
"Jeremy Heugas","C1H","266.4","184","227",""
"Abadie Fabien","C1H","268.96","288","238",""
"Collin Ludovic","C1H","276.75","220","271",""
"Damien Troquenet","C1H","278.43","192","278",""
"Nicolas Peschier","C1H","283.81","69","301",""
"Gosset Dominik","C1H","284.75","-","305",""
"Gourmel Loic","C1H","296.37","269","355",""
"Mathieu Voyemant","C1H","306.22","90","397",""
"Loic Marechal","C1H","325.32","-","478",""
"Gegat Mathieu","C1H","338.81","287","536",""
"Emeric Bertrand","C1H","364.26","155","644",""
"Remi Debailleul","C1H","383.4","479","726",""
"Guillaume Izydorczyk","C1H","392.09","180","763",""
"Collard Aurelien","C1H","402.18","-","806",""
"Guillaume Sellier","C1H","476.56","251","1124",""
"Mion Guillaume","C1H","497.56","413","1213",""
"Moustrou Pierre","C1H","640.98","523","1826",""
"Gaspard Remi- Gaspard Julien","C2H","305.19","45","279",""
"Brunel Christian- Brahic Guillaume","C2H","337.11","87","403",""
"Clement Nicolas- Vincent Thomas","C2H","425.25","202","747",""
"Despax Stephane- Despax Ghislain","C2H","446.55","-","830",""
"Hugues Julien- Duchatel Pascal","C2H","544.04","296","1210",""
"Thome Celine","K1D","267.4","159","132",""
"Emilie Fer","K1D","271.36","85","147",""
"Barthelme Anne-France","K1D","290.94","119","223",""
"Lebreton Marie","K1D","293.42","222","233",""
"Craig Hannah","K1D","299.33","138","256",""
"Jihane Samlal","K1D","304.15","201","275",""
"Beauvais Angelique","K1D","313.14","98","310",""
"Fourcaud Laetitia","K1D","323.07","133","349",""
"Lesigne Clemence","K1D","327.01","307","364",""
"Aubert Laetitia","K1D","331.95","210","383",""
"Sohy Laurence","K1D","366.9","283","519",""
"Leger Elodie","K1D","370.51","191","534",""
"Ben Brahim Wassila","K1D","382.84","401","582",""
"Zoe Anxionnaz","K1D","401.95","432","656",""
"Goncalves Valerie","K1D","410.73","364","690",""
"Ancellin Marie","K1D","423.55","376","740",""
"Barroso Cyrielle","K1D","464.73","322","901",""
"Audrey Metz","K1D","475.37","-","942",""
"Emilie Chamouleau","K1D","508.15","103","1070",""
"Thomas Jean Pascal","K1H","218.61","86","69",""
"Yann Neime","K1H","219.67","81","74",""
"Bernis Camille","K1H","223.41","90","91",""
"Johan De Mareuil","K1H","225.77","187","101",""
"Tirel Paul","K1H","228.2","178","112",""
"Lismonde Alexandre","K1H","229.84","-","120",""
"Le Roux Benoit","K1H","232.54","-","132",""
"Leproult Jonathan","K1H","237.53","219","154",""
"Grandemange Jeanleonard","K1H","237.75","167","155",""
"Alexandre Schall","K1H","237.87","162","156",""
"Sejourne Alexis","K1H","238.06","-","157",""
"Thomas Masuy","K1H","240.01","236","165",""
"Yoann Rebours","K1H","244.71","226","186",""
"Bazin Patryce","K1H","245.44","174","190",""
"Jean Charles Creusot Walter","K1H","248.45","122","203",""
"Sylvain Herrbach","K1H","250.76","-","213",""
"Matthieu Le Gall","K1H","251.29","108","216",""
"Yoann Gottardo","K1H","252.68","135","222",""
"Thibault Bellembois","K1H","254.63","236","231",""
"Jeanmaire Cyril","K1H","254.68","265","231",""
"Bruet Aurelien","K1H","255.26","253","234",""
"Julien Beltrami","K1H","257.83","238","245",""
"Girard Adrien","K1H","257.88","188","245",""
"Zorin Fabien","K1H","262.63","250","267",""
"Gregory Ponassie","K1H","262.91","464","268",""
"Frederic Leclerc","K1H","275.59","198","325",""
"Gregory Booth","K1H","276.04","168","327",""
"Stern Guillaume","K1H","276.59","206","329",""
"Medjeberg Jeremy","K1H","277.37","174","333",""
"Bruno Madier","K1H","278.48","132","338",""
"Nicolas Labat","K1H","284.79","219","366",""
"Antoine Lebastard","K1H","285.51","213","369",""
"Bercon Mathieu","K1H","291.02","209","394",""
"Besnard Thomas","K1H","301.68","333","442",""
"Nicolas Carduner","K1H","320.84","215","528",""
"Sebastien Halilou","K1H","321.6","187","531",""
"Romain Bove","K1H","334.1","294","587",""
"Zoungrana Sebastien","K1H","344.75","181","635",""
"Riou Sebastien","K1H","357.31","265","691",""
"Tisseur Nicaise Florent","K1H","374.98","245","770",""
