"CHALLENGE B. BEGARD - Montreuil Sur Mer - 2001-09-23 Course 1","Montreuil Sur Mer","Course 1","","2001-09-23","Régional","75"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Guillaume Izydorczyk","C1H","234.26","180.0","295.0",""
"Gosselin Pierrick","C1H","235.4","-","301.0",""
"Fatras Guillaume","C1H","239.17","374.0","322.0",""
"Xavier Gensse","C1H","243.36","297.0","346.0",""
"Teddy Poulard","C1H","247.2","369.0","367.0",""
"Guillaume Doutreix","C1H","252.65","372.0","398.0",""
"Jeremy Bretteville","C1H","253.7","-","404.0",""
"Poiret Enguerrand","C1H","257.98","513.0","428.0",""
"Douville Paul","C1H","269.99","569.0","495.0",""
"Gremont Baudouin","C1H","281.87","-","561.0",""
"Kaczmarek Thomas","C1H","292.64","-","621.0",""
"Pierin Patrice","C1H","293.19","-","624.0",""
"Debliquy Stephane- Delattre Arnaud","C2H","267.62","274.0","351.0",""
"Bluy Alexandre- Gremont Baudouin","C2H","278.27","-","406.0",""
"Racault Sebastien- Cespedes Thomas","C2H","284.71","-","439.0",""
"Gall Philippe- Macrel Loic","C2H","286.39","-","447.0",""
"Gosset Willy- Boulanger Stephane","C2H","340.48","-","723.0",""
"Bove Romain- Sagnier Stephane","C2H","357.64","-","811.0",""
"Daret Aurelien- Andrian Julien","C2H","468.73","-","1378.0",""
"Castryck Nicolas- Genereux Corinne","C2M","326.03","-","650.0",""
"Celine Denizon","K1D","251.06","-","267.0",""
"Ben Brahim Wassila","K1D","261.85","401.0","322.0",""
"Lahousse Perrine","K1D","269.75","-","362.0",""
"Bel Charlene","K1D","286.39","-","447.0",""
"Genereux Corinne","K1D","287.04","-","451.0",""
"Bel Amandine","K1D","289.43","515.0","463.0",""
"Loir Fanny","K1D","289.74","651.0","464.0",""
"Dubus Aurelie","K1D","290.15","-","466.0",""
"Renard Aude","K1D","298.5","549.0","509.0",""
"Saget Annesophie","K1D","319.64","-","617.0",""
"Dufour Adelaide","K1D","350.95","-","777.0",""
"Bluy Alexandre","K1H","205.8","104.0","193.0",""
"Macrel Loic","K1H","214.02","255.0","242.0",""
"Soete Arnaud","K1H","215.24","259.0","249.0",""
"Franck Dessaint","K1H","217.9","238.0","264.0",""
"Mikael Maupin","K1H","218.49","-","268.0",""
"Valadon Louis","K1H","220.11","-","277.0",""
"Thibault Bellembois","K1H","220.65","232.0","281.0",""
"Romain Bove","K1H","221.03","294.0","283.0",""
"Christophe Gosselin","K1H","221.19","240.0","284.0",""
"Sebastien Racault","K1H","223.39","329.0","297.0",""
"Gall Philippe","K1H","224.19","235.0","301.0",""
"Florian Gosselin","K1H","227.38","-","320.0",""
"Castryck Nicolas","K1H","227.54","-","321.0",""
"Viellard Amaury","K1H","230.52","380.0","339.0",""
"Philippe Gendraux","K1H","231.89","-","347.0",""
"Sarazin Emmanuel","K1H","231.92","402.0","347.0",""
"Gremont Baudouin","K1H","232.43","-","350.0",""
"Yves Lecointe","K1H","233.83","390.0","358.0",""
"Laroque Jeanchristophe","K1H","238.65","291.0","386.0",""
"Vaillant Tiphaine","K1H","238.77","638.0","387.0",""
"Cespedes Thomas","K1H","238.96","-","388.0",""
"Lacour Jerome","K1H","240.14","478.0","395.0",""
"Landa Thomas","K1H","240.87","540.0","399.0",""
"Vincent Richard","K1H","247.06","502.0","436.0",""
"Sergent Sylvain","K1H","249.81","-","452.0",""
"Ansel Ludovic","K1H","250.38","-","455.0",""
"Stephane Sagnier","K1H","251.7","538.0","463.0",""
"Boulanger Stephane","K1H","253.39","-","473.0",""
"Chevalier Benjamin","K1H","257.0","743.0","494.0",""
"Auberger Florent","K1H","257.3","-","496.0",""
"Esnault Nicolas","K1H","259.8","-","510.0",""
"Bove Serge","K1H","261.43","669.0","520.0",""
"Levasseur Nicolas","K1H","268.92","-","564.0",""
"Johann Beldame","K1H","287.21","-","671.0",""
"Accart Mathieu","K1H","289.8","-","687.0",""
"Gosset Willy","K1H","293.3","-","707.0",""
"Gueret Julien","K1H","297.48","-","732.0",""
"Phalippou Jules","K1H","327.09","-","905.0",""
"Vermersch Philippe","K1H","329.96","-","922.0",""
"Richard Carpentier","K1H","333.5","-","943.0",""
"Chevalier Herve","K1H","340.78","-","986.0",""
"Averlant Etienne","K1H","344.73","-","1009.0",""
"Carlu Jimmy","K1H","442.79","-","1585.0",""
"Brancourt Thibaut","K1H","1153.23","-","5755.0",""
