"SELECTIF DE CERGY - Cergy - 2001-10-14 Course 1","Cergy","Course 1","","2001-10-14","Régional","127"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Mathieu Voyemant","C1H","244.48","90.0","97.0",""
"Damien Troquenet","C1H","252.62","175.0","136.0",""
"Remi Debailleul","C1H","265.89","320.0","198.0",""
"Collard Aurelien","C1H","272.38","405.0","229.0",""
"Sebastien Andrieu","C1H","273.18","-","233.0",""
"Magnaval Willy","C1H","273.57","-","235.0",""
"Olivier Gesbert","C1H","274.23","286.0","238.0",""
"Marceau Gregory","C1H","278.68","345.0","259.0",""
"Bozec Florian","C1H","279.09","343.0","261.0",""
"Poret Gregory","C1H","280.05","-","265.0",""
"Cam Drouhin Francois","C1H","280.77","354.0","269.0",""
"Mirand Guillaume","C1H","283.02","280.0","279.0",""
"Cubizolles Sebastien","C1H","285.78","378.0","292.0",""
"Maxime Cousin","C1H","286.65","248.0","296.0",""
"Loic Marechal","C1H","287.95","331.0","303.0",""
"Guillonet Jerome","C1H","288.42","542.0","305.0",""
"Lodolo Clement","C1H","292.37","371.0","323.0",""
"Philippe Senechal","C1H","292.49","287.0","324.0",""
"Coquille Alexis","C1H","296.31","450.0","342.0",""
"Jean-guillaume Desmoulin","C1H","302.94","341.0","373.0",""
"Perruchet Fabien","C1H","302.95","449.0","373.0",""
"William Ozanne","C1H","303.94","495.0","378.0",""
"Heilles Fabien","C1H","310.69","495.0","410.0",""
"Denoyer Sebastien","C1H","320.99","567.0","458.0",""
"Allemandou Fabien","C1H","326.18","-","483.0",""
"Levert Michel","C1H","327.53","-","489.0",""
"Jacques Nardeau","C1H","331.29","-","507.0",""
"Mateos Ruiz Bastien","C1H","333.97","-","520.0",""
"Monvoisin Benoit","C1H","335.39","-","526.0",""
"Mateos Ruiz Gautier","C1H","345.37","-","574.0",""
"Guerinet Cedric","C1H","358.53","-","636.0",""
"Dubois Maxime","C1H","371.85","-","699.0",""
"Siouville Vincent","C1H","376.03","-","718.0",""
"Guillonet Pierre","C1H","392.96","-","798.0",""
"Mathieu Voyemant-Damien Troquenet","C2H","271.38","-","113.0",""
"Andrieu Sebastien- Mirand Guillaume","C2H","275.99","109.0","133.0",""
"Castryck Frederic- Bethune Fabrice","C2H","282.34","130.0","160.0",""
"Dos Santos Thomas- Vilas Bertrand","C2H","293.95","-","210.0",""
"Buchheit Fabien- Briois Mathieu","C2H","325.76","251.0","347.0",""
"Pailler Gregory- Arnoult Jb","C2H","341.71","-","416.0",""
"Jacques Nardeau-Christine Nardeau","C2M","481.45","-","1018.0",""
"Tanet Lucie","K1D","283.14","210.0","164.0",""
"Hubert Sandrine","K1D","292.69","-","205.0",""
"Lesigne Clemence","K1D","293.53","212.0","208.0",""
"Jarrot Julie","K1D","295.83","398.0","218.0",""
"Besch Eulalie","K1D","305.13","382.0","258.0",""
"Caroline Bourry","K1D","316.19","442.0","306.0",""
"Olivreau Marion","K1D","371.6","-","545.0",""
"Maryse Viseur","K1D","372.21","-","547.0",""
"Vissac Fanny","K1D","373.47","-","553.0",""
"Bordier Berangere","K1D","390.9","-","628.0",""
"Cochard Isabelle","K1D","398.15","-","659.0",""
"Clementine Vuillermot-panthou","K1D","495.43","-","1078.0",""
"Rodot Delphine","K1D","533.4","-","1242.0",""
"Jennepin Alexandra","K1D","537.79","-","1261.0",""
"Sylvie Bourdon","K1D","615.33","-","1595.0",""
"Boulesteix Ludovic","K1H","232.47","34.0","96.0",""
"Estanguet Aldric","K1H","236.99","56.0","118.0",""
"Jean Philippe Winiarski","K1H","239.28","94.0","129.0",""
"Benjamin Thouvignon","K1H","247.23","142.0","169.0",""
"Stern Guillaume","K1H","249.73","199.0","181.0",""
"Michel Gombert","K1H","251.85","248.0","192.0",""
"Frederic Castryck","K1H","254.18","-","203.0",""
"Antoine Lebastard","K1H","254.68","213.0","206.0",""
"Philippe Daumont","K1H","255.83","220.0","211.0",""
"Xavier Jourdain","K1H","259.0","237.0","227.0",""
"Julien Darees","K1H","262.01","285.0","242.0",""
"Duru Jerome","K1H","262.43","294.0","244.0",""
"Ciaran Heurteau","K1H","267.19","-","268.0",""
"Sebastien Serot","K1H","269.2","-","278.0",""
"Coiffe Florion","K1H","270.15","370.0","282.0",""
"Alexandre Guerinet","K1H","270.94","368.0","286.0",""
"Philippe Valeri","K1H","271.95","362.0","291.0",""
"Louvet Renaud","K1H","273.71","-","300.0",""
"Nicolas Arnoult","K1H","273.84","-","301.0",""
"Fayol Guillaume","K1H","273.9","354.0","301.0",""
"Gallais Jules","K1H","278.15","278.0","322.0",""
"Vincent Reiter","K1H","278.48","-","324.0",""
"Nicolas Leclerc","K1H","281.95","517.0","341.0",""
"Quentin Vallee","K1H","281.99","-","341.0",""
"Lemoule Pierre","K1H","282.73","384.0","345.0",""
"Boullet Stephane","K1H","283.37","711.0","348.0",""
"Arnoult Jeanmichel","K1H","287.69","-","369.0",""
"Pailler Gregory","K1H","289.55","-","378.0",""
"Aurel Sebastien","K1H","290.75","427.0","384.0",""
"Alban Planchais","K1H","292.14","517.0","391.0",""
"Bastien Pailler","K1H","293.45","-","398.0",""
"Facchini Thomas","K1H","295.85","-","410.0",""
"Arnoult Jb","K1H","297.22","-","416.0",""
"Debruyere Benjamin","K1H","301.54","-","438.0",""
"Remy Guerinet","K1H","302.37","-","442.0",""
"Bastien Darcillon","K1H","305.14","-","456.0",""
"Noble Aurelien","K1H","306.41","-","462.0",""
"Besch Frederic","K1H","307.29","-","466.0",""
"Hetier Louis","K1H","307.3","-","466.0",""
"Eric Marmet","K1H","308.51","-","472.0",""
"Ureta Stephane","K1H","308.56","-","473.0",""
"Loic Monbel","K1H","315.28","-","506.0",""
"Ronan Lucas","K1H","316.27","-","511.0",""
"Lantenois Mickael","K1H","317.29","-","516.0",""
"Jodar Sebastien","K1H","319.47","509.0","527.0",""
"Balgros Arnault","K1H","320.34","-","531.0",""
"Clouzeau Hugo","K1H","322.81","-","543.0",""
"Macarty Sebastien","K1H","323.53","540.0","547.0",""
"Pascal Sallot","K1H","328.26","-","570.0",""
"Serra Thibault","K1H","333.16","-","595.0",""
"Ospitalier Vincent","K1H","339.16","-","624.0",""
"Geoffroy Schwentzel","K1H","342.46","-","641.0",""
"Lejeune Olivier","K1H","345.71","-","657.0",""
"Feltin Johan","K1H","347.1","-","664.0",""
"Bouletier Julien","K1H","353.25","-","694.0",""
"Blondeau Julien","K1H","354.75","-","702.0",""
"Bechade Olivier","K1H","364.5","-","750.0",""
"Viratelle Vincent","K1H","364.72","525.0","751.0",""
"Gilles Lucas","K1H","366.46","-","760.0",""
"Meunier Logan","K1H","372.98","-","792.0",""
"Knibbe Vivien","K1H","381.99","821.0","837.0",""
"Cluet Mathieu","K1H","387.14","-","862.0",""
"Dagorn Erwan","K1H","401.74","-","934.0",""
"Le Bastard Mathieu","K1H","412.95","-","990.0",""
"Gilbert Steven","K1H","415.3","-","1002.0",""
"Bigeon Thibault","K1H","423.81","-","1044.0",""
"Dreux Damien","K1H","429.03","-","1070.0",""
"Fluteaux Thibaut","K1H","434.03","-","1094.0",""
"Piovan Vincent","K1H","439.05","-","1119.0",""
"Ursot Olivier","K1H","487.81","-","1361.0",""
"Matusiak Aurelien","K1H","695.29","-","2389.0",""
