"SELECTIF REGIONAL QUIMPERLE -  - 2001-10-14","Course 1","2001-10-14","Régional","60"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Gourmel Loic","C1H","223.3","269","296",""
"Jerome Fouille","C1H","234.32","210","361",""
"Julien Darcillon","C1H","243.9","-","417",""
"Sebastien Fouille","C1H","252.2","454","465",""
"Piton Romain","C1H","252.2","-","465",""
"Andre Francois","C1H","259.37","718","507",""
"Le Guen Vincent","C1H","276.08","-","605",""
"Dherve Lionel","C1H","328.14","-","909",""
"Leclerc Jerome","C1H","328.83","-","913",""
"Lallemand Felix","C1H","331.6","-","929",""
"Vourc'h Yoann","C1H","366.4","-","1133",""
"Darcillon Julien- Hemidy Francois","C2H","247.48","236","312",""
"Tanguy Anthony- Coroller Guillaume","C2H","261.45","-","387",""
"Fouille Sebastien- Andre Francois","C2H","292.13","-","550",""
"Fouille Aline- Tanguy Sandrine","C2H","404.5","-","1150",""
"Barriga-Prat Anne-Claire","K1D","249.66","424","324",""
"Fouille Aline","K1D","291.00","-","544",""
"Reveillere Fleur Anne","K1D","293.5","-","558",""
"Magre Sabrine","K1D","314.55","-","670",""
"Tanguy Sandrine","K1D","317.00","-","683",""
"Kerros Stephanie","K1D","319.6","-","697",""
"Pattein Marieannabelle","K1D","321.00","-","704",""
"Ansquer Audrey","K1D","322.45","-","712",""
"Colin Laetitia","K1D","403.3","-","1144",""
"Laot Severine","K1D","474.00","-","1521",""
"Rosnarho Tanguy","K1H","213.58","307","302",""
"Tanguy Anthony","K1H","214.69","319","309",""
"Vincent Salmon","K1H","219.52","344","339",""
"Madec Christophe","K1H","225.5","562","375",""
"Gac Ronan","K1H","226.81","364","383",""
"Reveillere Pierrick","K1H","229.23","328","398",""
"Piton Romain","K1H","229.73","202","401",""
"Hery Jerome","K1H","231.65","-","413",""
"Guillaume Coroller","K1H","233.49","441","424",""
"Didier Rouet","K1H","236.54","-","443",""
"Kerbiriou Malween","K1H","239.26","-","460",""
"Marrec Cedric","K1H","241.15","461","471",""
"Simier Alan","K1H","242.3","-","478",""
"Hemidy Francois","K1H","243.47","-","485",""
"Colombert Yann","K1H","244.56","-","492",""
"Leclerc Jerome","K1H","244.62","-","493",""
"Le Vourch Alexandre","K1H","246.7","-","505",""
"Marmier Jerome","K1H","246.97","-","507",""
"Marrec Pierre-Yves","K1H","249.00","-","519",""
"Yann Lardic","K1H","249.2","584","521",""
"Beyou Franck","K1H","254.00","-","550",""
"Maze Ronan","K1H","254.05","632","550",""
"Hoel Carnot","K1H","257.8","785","573",""
"Bachaou Nordine","K1H","269.09","-","643",""
"Mordant Ludovic","K1H","269.57","-","646",""
"Sinquin Gwenael","K1H","275.5","-","682",""
"Paugam Laurent","K1H","276.41","-","688",""
"Boucher Vincent","K1H","292.00","-","783",""
"Christien Alexandre","K1H","299.9","-","832",""
"Passiller David","K1H","300.8","-","837",""
"Lucas Benjamin","K1H","310.3","-","896",""
"Kerisit Yohann","K1H","316.7","-","935",""
"Calvez Martin","K1H","351.7","-","1150",""
"Guastella Simon","K1H","428.9","-","1623",""
"L'hostis Anthony","K1H","492.3","-","2012",""
