"SELECTIF REGIONAL REALS -  - 2001-11-18","Course 1","2001-11-18","Régional","56"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Baptiste Delaplace","C1H","172.63","35","62",""
"Duchemin Damien","C1H","180.22","60","116",""
"Lauvergne Alexandre","C1H","189.85","-","184",""
"Boris Parent","C1H","193.89","145","212",""
"Arnaud Pitman","C1H","202.56","-","274",""
"Veith Geoffroy","C1H","204.06","414","284",""
"Morin Lionel","C1H","220.03","401","397",""
"Robin Clement","C1H","235.13","424","504",""
"Francois Mouttou","C1H","241.78","915","551",""
"Anthony Colin","C1H","246.9","-","587",""
"Clement Nicolas- Vincent Thomas","C2H","218.37","202","251",""
"Olry Tiefaine- Seiler Benjamin","C2H","245.96","599","429",""
"Mathilde Pichery","K1D","191.71","46","79",""
"Pedrono Annaig","K1D","194.84","32","99",""
"Octobre Valerie","K1D","199.03","-","126",""
"Ophelie Delaplace","K1D","200.16","61","134",""
"Barroso Cyrielle","K1D","211.06","322","204",""
"Piechaczyk Laure","K1D","217.37","349","245",""
"Roumet Marie","K1D","220.25","530","263",""
"Camille Salgues","K1D","222.03","276","275",""
"Dast Karine","K1D","225.72","-","299",""
"Lyon Gaelle","K1D","230.26","437","328",""
"Roumet Alix","K1D","237.31","-","374",""
"Carmier Sarah","K1D","251.81","-","467",""
"Lyon Solen","K1D","254.09","-","482",""
"Serret Mathieu","K1H","177.44","193","159",""
"Pascal Laurent","K1H","181.6","-","190",""
"Lesquer David","K1H","182.47","126","196",""
"Vivien Cedric","K1H","182.62","174","197",""
"Barbaglia Remi","K1H","186.48","246","226",""
"Riou Sebastien","K1H","187.87","265","236",""
"Benoit Molinier","K1H","190.07","250","253",""
"Larenaudie Sebastien","K1H","192.32","-","269",""
"Lucas De Araujo","K1H","193.07","-","275",""
"Verchere Thibault","K1H","193.79","338","280",""
"Taraud Samuel","K1H","195.31","-","292",""
"Colin Molinier","K1H","199.25","331","321",""
"Jeremy Moureaux","K1H","200.22","360","328",""
"Castel Cedric","K1H","200.32","250","329",""
"Molinier Vincent","K1H","201.37","316","337",""
"Cathala Florian","K1H","203.34","391","351",""
"Benoit Guillaume","K1H","204.13","-","357",""
"Jose Pereira","K1H","204.19","-","358",""
"Barbaglia Sylvain","K1H","204.69","425","361",""
"Salame Nicolas","K1H","204.94","566","363",""
"Theate Cyril","K1H","211.85","-","414",""
"Yannick Besse","K1H","214.19","-","432",""
"Chicane Guylain","K1H","224.47","819","508",""
"Biglione Guilhem","K1H","236.59","-","598",""
"Patte Arnaud","K1H","252.24","-","714",""
"Duval Yohan","K1H","267.00","-","824",""
"Romain Chabrol","K1H","272.09","-","862",""
"Alexandre Germinal","K1H","276.66","-","896",""
"Hemery Gaetan","K1H","313.21","-","1167",""
"Brun David","K1H","356.37","-","1488",""
"Guastella Denis","K1H","415.12","-","1924",""
