"CHAMPIONNAT REGIONAL CH'TI 2001 - St Laurent Blangy - 2001-11-18","Course 1","2001-11-18","Régional","111"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Collard Aurelien","C1H","199.87","212","218",""
"Xavier Gensse","C1H","219.67","297","337",""
"Olivier Gesbert","C1H","220.64","258","343",""
"Olivier Leboeuf","C1H","225.38","377","371",""
"Bozec Florian","C1H","228.8","304","392",""
"Falcetta Thomas","C1H","229.6","419","397",""
"Poiret Enguerrand","C1H","229.76","473","397",""
"Guillaume Doutreix","C1H","233.46","360","420",""
"Dubois Maxime","C1H","250.92","577","524",""
"Louvet Renaud","C1H","250.92","-","524",""
"William Ozanne","C1H","252.53","440","534",""
"Douville Paul","C1H","283.01","513","717",""
"Guillonet Jerome","C1H","290.29","348","761",""
"Poret Gregory","C1H","312.97","-","897",""
"Olivier Arette Hourquet","C1H","317.3","279","923",""
"Souaille Damien","C1H","323.59","-","961",""
"Monvoisin Benoit","C1H","335.05","555","1029",""
"Fellag David","C1H","423.54","-","1561",""
"Lecluse Arnaud","C1H","486.31","-","1937",""
"Debliquy Stephane- Delattre Arnaud","C2H","229.52","261","276",""
"Dos Santos Thomas- Vilas Bertrand","C2H","271.66","-","507",""
"Nicolas Leclerc-William Ozanne","C2H","314.78","-","744",""
"Tharaud Anais","K1D","210.92","181","174",""
"Gerbet Chantal","K1D","216.99","-","208",""
"Tanet Lucie","K1D","217.8","185","212",""
"Hubert Sandrine","K1D","223.82","240","245",""
"Demol Brindille","K1D","248.00","330","378",""
"Lahousse Perrine","K1D","248.39","447","380",""
"Celine Denizon","K1D","298.68","418","655",""
"Jarrot Julie","K1D","319.66","320","770",""
"Paoletti Camille","K1D","354.94","-","964",""
"Thenom Audrey","K1D","425.08","-","1348",""
"Castelli Melissa","K1D","465.48","-","1569",""
"Heckmann Steffi","K1D","479.94","-","1649",""
"Cochard Isabelle","K1D","511.11","914","1820",""
"Estanguet Aldric","K1H","172.57","56","106",""
"Gosselin Pierrick","K1H","176.15","89","129",""
"Bluy Alexandre","K1H","180.14","93","154",""
"Xavier Jourdain","K1H","186.25","226","192",""
"Soete Arnaud","K1H","188.23","251","205",""
"Franck Dessaint","K1H","188.35","238","205",""
"Romain Bove","K1H","189.33","268","212",""
"Benoit Chantry","K1H","189.77","167","214",""
