"Sélectif N3 Nord Ouest - Veigné - 2002-03-17","Course 1","2002-03-17","Nationale 3","150"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Guillaume Wattez","C1H","193.49","-","256",""
"Emmanuel Bisson","C1H","213.16","319","375",""
"Jeremie Gouello","C1H","224.25","497","441",""
"Florian Helen","C1H","236.89","413","518",""
"Nicolet Walig","C1H","238.75","415","529",""
"Prigent David","C1H","242.14","378","549",""
"Nedelec Ronan","C1H","242.89","353","553",""
"Andre Francois","C1H","243.36","434","556",""
"Henaff Mickael","C1H","246.64","353","576",""
"Avril Jose","C1H","252.61","436","612",""
"Kerambrun Guillaume","C1H","255.90","321","632",""
"Piton Romain","C1H","256.27","424","634",""
"Le Bouder Emilien","C1H","261.23","322","664",""
"Pierre Chassigneux","C1H","262.21","694","670",""
"Edern Le Ruyet","C1H","268.85","508","710",""
"Teddy Poulard","C1H","283.22","331","796",""
"Julien Rocaboy","C1H","291.22","427","844",""
"Navarre Emmanuel","C1H","316.15","320","996",""
"Bulois Stephane","C1H","319.65","500","1016",""
"De Boysson Thomas","C1H","342.20","-","1152",""
"Jeremy Bretteville","C1H","343.26","375","1158",""
"Samuel Bonvalet","C1H","344.03","593","1163",""
"Olivier Gerbeaux","C1H","416.88","732","1603",""
"Georgin Nicolas- Sevaux Adrien","C2H","301.35","457","748",""
"Bonvalet Samuel- Avril Gauthier","C2H","322.02","567","862",""
"Bernhard Cecile","K1D","254.14","325","489",""
"Cassier Cecile","K1D","254.34","334","490",""
"Nathalie Gil","K1D","255.41","364","495",""
"Tifenn Van Delft","K1D","268.77","590","569",""
"Renard Aude","K1D","270.65","440","579",""
"Collet Aurore","K1D","271.13","384","581",""
"Anne Sophie Le Bailly","K1D","279.29","454","627",""
"Chevalier Yvane","K1D","279.42","373","627",""
"Melina Letellier","K1D","288.89","331","680",""
"Bel Amandine","K1D","297.19","452","725",""
"Geraldine Leclerc","K1D","308.43","386","787",""
"Fouille Aline","K1D","312.66","452","810",""
"Rocher Laura","K1D","341.08","600","966",""
"Guelou Typhaine","K1D","359.15","382","1066",""
"Le Maux Aurore","K1D","381.23","857","1188",""
"Magre Sabrine","K1D","389.90","701","1235",""
"Bel Charlene","K1D","390.45","448","1239",""
"Melaine Pichard","K1H","185.41","252","263",""
"Jacques Despierres","K1H","186.26","283","268",""
"Barbier Julien","K1H","188.61","368","283",""
"Aradan Simon","K1H","191.10","-","299",""
"Gac Ronan","K1H","192.07","313","305",""
"Bousseton Nicolas","K1H","192.96","-","311",""
"Le Coq Sebastien","K1H","195.99","308","330",""
"Lebosse Gabriel","K1H","196.35","-","332",""
"Mathieu Godin","K1H","196.80","322","335",""
"L'haridon Olivier","K1H","197.72","273","341",""
"Bouchet Mickael","K1H","198.03","306","343",""
"Gaillard Simon","K1H","198.21","315","344",""
"Jerome Talbot","K1H","200.06","274","356",""
"Erwan Cadio","K1H","200.77","326","360",""
"Le Pesquer Yann","K1H","200.89","327","361",""
"Vinot Mikael","K1H","201.15","448","363",""
"Richard Davy","K1H","201.73","267","367",""
"Loic Froissard","K1H","202.22","252","369",""
"Pierre Marie Roussel","K1H","202.66","333","372",""
"Decurey Franck","K1H","204.40","383","383",""
"Olivier Clement","K1H","206.23","267","395",""
"Bertrand Avril","K1H","206.30","275","395",""
"Fabien Tournadre","K1H","206.46","327","397",""
"Patrick Jegou","K1H","206.70","340","398",""
"Le Troadec Brendan","K1H","206.76","302","399",""
"Nicolas Arnoult","K1H","207.72","369","404",""
"Fouquart Thierry","K1H","208.45","387","409",""
"Michel Alexandre","K1H","209.54","755","416",""
"Julien Brouzes","K1H","209.59","397","416",""
"Brustiec Jerom","K1H","210.10","322","420",""
"Morin Mathieu","K1H","210.25","303","420",""
"Le Coz Gregory","K1H","210.83","456","424",""
"Bellois Jeremie","K1H","211.72","-","430",""
"Beaudoin Fabien","K1H","213.08","302","439",""
"Thevenet Nicolas","K1H","214.13","329","445",""
"Neveu Mathieu","K1H","214.62","474","448",""
"Childeric Thoreau","K1H","215.86","1032","456",""
"Jerome Augustine","K1H","216.35","424","459",""
"Froissard Arnaud","K1H","216.40","-","460",""
"Brosseau Benoit","K1H","216.64","412","460",""
"Richeux Jeanjacques","K1H","217.58","458","467",""
"Nicolas Veillard","K1H","217.93","439","469",""
"Denis Siegfried","K1H","218.49","381","472",""
"Yves Lecointe","K1H","219.23","351","477",""
"Deffay Axel","K1H","220.93","482","488",""
"Le Dean Yannn","K1H","221.49","480","491",""
"Yann Lardic","K1H","222.10","470","495",""
"Nicolas Dupres","K1H","223.74","404","506",""
"Normand Geoffroy","K1H","224.73","404","512",""
