"Coupe de France N1 - Pau - 3ème Manche - 2002-04-20","Pau","3ème Manche","","2002-04-20","Nationale 1","135"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Tony Estanguet","C1H","198.45","16.0","24.0",""
"Brugvin Emmanuel","C1H","202.27","110.0","38.0",""
"Estanguet Patrice","C1H","202.5","17.0","38.0",""
"Lalliet Olivier","C1H","206.21","41.0","51.0",""
"Eric Deguil","C1H","206.6","50.0","52.0",""
"Charly Chassigneux","C1H","207.27","57.0","55.0",""
"Herve Chevrier","C1H","208.43","52.0","59.0",""
"Nicolas Peschier","C1H","208.67","55.0","60.0",""
"Mathieu Voyemant","C1H","211.34","75.0","69.0",""
"Herve Delamarre","C1H","211.83","31.0","70.0",""
"Lepretre Nicolas","C1H","212.28","62.0","72.0",""
"Duchemin Damien","C1H","213.01","63.0","75.0",""
"Baptiste Delaplace","C1H","214.67","35.0","80.0",""
"Xavier Pocard","C1H","216.12","60.0","86.0",""
"Christophe Despres","C1H","217.13","72.0","89.0",""
"Matringe Gabriel","C1H","218.03","91.0","92.0",""
"Basille Yann","C1H","218.57","79.0","94.0",""
"Champmartin Frank","C1H","219.92","106.0","99.0",""
"Pierre Labarelle","C1H","220.28","82.0","100.0",""
"Lang Paul","C1H","221.36","190.0","104.0",""
"Pierre Gelle","C1H","221.59","126.0","105.0",""
"Biselx Thomas","C1H","225.77","167.0","119.0",""
"Billaut Francois","C1H","228.35","85.0","129.0",""
"Pascal Buck","C1H","229.97","120.0","134.0",""
"Alain Schirmann","C1H","230.66","114.0","137.0",""
"Jeremy Heugas","C1H","232.98","186.0","145.0",""
"Vigne Florian","C1H","233.27","181.0","145.0",""
"Ronan Betrom","C1H","233.6","62.0","147.0",""
"Emeric Bertrand","C1H","245.06","155.0","187.0",""
"Pons Alexandre","C1H","266.04","86.0","260.0",""
"Paul Gautier","C1H","299.66","192.0","378.0",""
"Benoit Pacteau","C1H","328.72","109.0","479.0",""
"Neime Claude","C1H","358.59","89.0","584.0",""
"Cedric Forgit-Martin Braud","C2H","221.8","25.0","38.0",""
"Pierre Luquet-Christophe Luquet","C2H","225.58","6.0","50.0",""
"Lamy Victor- Daille Jerome","C2H","230.17","60.0","65.0",""
"Maxime Vallin-Gauthier Gonseth","C2H","231.21","71.0","68.0",""
"Gaspard Remi- Gaspard Julien","C2H","232.69","38.0","73.0",""
"Brunel Christian- Brahic Guillaume","C2H","233.61","80.0","76.0",""
"Gerbet Cedric- Mongrand Stephan","C2H","238.0","37.0","90.0",""
"Ganthier Gregory- Reby Jeancharles","C2H","239.73","70.0","95.0",""
"Loic Brunel-Medhi Deguil","C2H","241.19","75.0","100.0",""
"Colin Anthony- Sabelle Mickael","C2H","245.72","76.0","115.0",""
"Darcillon Julien- Hemidy Francois","C2H","268.07","202.0","186.0",""
"Mathieu Fougere-Thomas Fougere","C2H","271.02","249.0","195.0",""
"Bouvard Laurent- Bouvard Sebastien","C2H","279.72","52.0","223.0",""
"Clement Nicolas- Vincent Thomas","C2H","280.64","216.0","226.0",""
"Schweitzer Lionel- Jamain Olivier","C2H","281.69","70.0","229.0",""
"Fauste Thibaut- Fardelli Florent","C2H","288.06","316.0","249.0",""
"Hugues Julien- Duchatel Pascal","C2H","315.38","217.0","337.0",""
"Clement Berger-Mathieu Villeger","C2H","429.25","323.0","700.0",""
"Dickens Peggy","K1D","214.22","5.0","14.0",""
"Marie Gaspard","K1D","214.71","26.0","15.0",""
"Bardet Annelise","K1D","219.06","7.0","29.0",""
"Mathilde Pichery","K1D","220.23","41.0","33.0",""
