"Sélectif N2 - Huningue - 2002-06-01","Course 1","2002-06-01","Nationale 2","95"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Rauturier Armand","C1H","223.28","136","106",""
"Stephane Abadie","C1H","232.00","128","142",""
"Lang Paul","C1H","236.09","134","158",""
"Damien Troquenet","C1H","236.81","134","161",""
"Biselx Thomas","C1H","237.93","147","166",""
"Olivier Barriere","C1H","241.57","200","181",""
"Corrotte Valentin","C1H","242.08","202","182",""
"Antoine Lebellec","C1H","243.69","162","189",""
"Paradis Virgile","C1H","245.65","226","197",""
"Maxime Cousin","C1H","253.14","223","227",""
"Jean Marc Trenchant","C1H","260.15","284","256",""
"Elien Wilfried","C1H","261.66","282","262",""
"Herbertz Guillaume","C1H","273.07","289","308",""
"Marceau Gregory","C1H","274.12","287","313",""
"Xavier Gensse","C1H","274.43","320","314",""
"Royle David","C1H","283.77","348","352",""
"Lorrie Delattre","C1H","289.95","164","377",""
"Frederic Saguet","C1H","292.12","302","386",""
"Collin Ludovic","C1H","325.89","226","522",""
"Olivier Arette Hourquet","C1H","336.61","279","566",""
"Andrieu Sebastien- Mirand Guillaume","C2H","242.24","119","98",""
"Gilles Schweitzer-Loic Sieber","C2H","257.32","152","154",""
"Mathieu Fougere-Thomas Fougere","C2H","271.99","189","208",""
"Fauste Thibaut- Fardelli Florent","C2H","275.51","247","221",""
"Jerome Talbot-Emmanuel Bisson","C2H","287.56","286","266",""
"Dubois Philippe- Tamburini Florent","C2H","288.26","258","268",""
"Bouchard Vincent- Cliquet Kevine","C2H","288.59","334","270",""
"Buchheit Fabien- Briois Mathieu","C2H","399.15","251","679",""
"Guindeo Mariepierre","K1D","246.95","142","115",""
"Julie Labarelle","K1D","250.15","116","127",""
"Clotilde Miclo","K1D","252.77","139","137",""
"Tharaud Anais","K1D","257.37","183","154",""
"Schweitzer Pascale","K1D","261.06","245","167",""
"Aubert Laetitia","K1D","261.14","154","168",""
"Jihane Samlal","K1D","262.24","227","172",""
"Audrey Metz","K1D","268.34","229","194",""
"Sylvie Metz","K1D","268.88","204","197",""
"Sohy Laurence","K1D","273.84","218","215",""
"Carole Pocard","K1D","275.07","239","219",""
"Bruet Amelie","K1D","280.69","255","240",""
"Harmony Thery","K1D","281.77","250","244",""
"Thiebaut Charline","K1D","282.08","236","246",""
"Mylene Renaud","K1D","282.21","231","246",""
"Marie Ringeisen","K1D","282.46","282","246",""
"Leleu Sophie","K1D","282.58","243","247",""
"Fanny Mino-vercellio","K1D","282.82","199","248",""
"Frotey Floriane","K1D","285.90","197","259",""
"Celine Denizon","K1D","291.04","270","278",""
"Marechal Brigitte","K1D","293.79","230","289",""
"Leger Elodie","K1D","298.88","175","308",""
"Vanderkam Buisson Maelle","K1D","336.70","277","448",""
"Pierre Bourliaud","K1H","214.22","107","113",""
"Gregory Busson","K1H","221.50","103","144",""
"Alexandre Schall","K1H","222.31","150","147",""
"Grandemange Jeanleonard","K1H","223.26","142","151",""
"Piquard Charles","K1H","223.69","95","154",""
"Jean Charles Creusot Walter","K1H","224.44","152","157",""
"Michael Guyon","K1H","224.91","171","158",""
"Douillet Guilhem","K1H","225.28","169","160",""
"Trzeciak Vincent","K1H","226.43","162","165",""
"Michel Ragot","K1H","226.80","166","166",""
"Lambert Guillaume","K1H","227.96","168","171",""
"Benjamin Buys","K1H","228.13","178","172",""
"Serre Eric","K1H","228.87","178","175",""
"Fabien Hantz","K1H","229.20","175","177",""
"Christophe Siffert","K1H","229.28","176","177",""
"Olivier Hardonniere","K1H","229.59","197","178",""
"Maubourguet Mathias","K1H","230.65","171","183",""
"Michel Gombert","K1H","230.72","201","183",""
"Sylvain Herrbach","K1H","231.96","186","189",""
"Gregory Booth","K1H","232.24","188","190",""
"Bazin Patryce","K1H","232.63","144","191",""
"Raphael Reveche","K1H","232.94","221","193",""
"Philippe Daumont","K1H","234.08","200","198",""
"Stern Guillaume","K1H","234.68","177","200",""
"Bertrand Dubiez","K1H","234.87","200","201",""
"Jeanmaire Cyril","K1H","235.12","218","202",""
"Saint Girons Thomas","K1H","235.28","174","202",""
"Jonathan Chapatte","K1H","235.82","190","205",""
"Guillaume Maraquin","K1H","235.96","198","206",""
"Benoit Chantry","K1H","236.24","167","206",""
"Antoine Lebastard","K1H","236.78","222","209",""
"Sebastien Lepaulard","K1H","236.87","159","210",""
"Weber Nicolas","K1H","239.36","213","220",""
"Julien Beltrami","K1H","239.48","200","221",""
"Boris Lutinier","K1H","240.24","232","224",""
"Dalla-Zuana Christophe","K1H","241.17","214","228",""
"Maxime Faivre","K1H","246.47","221","250",""
"Christophe Billaud","K1H","247.64","225","255",""
"Patrick Gass","K1H","263.67","291","324",""
"Jean Guyot","K1H","264.20","390","326",""
"Johan De Mareuil","K1H","278.77","127","388",""
"Jeanpierre Patard","K1H","282.17","391","402",""
"Philippe Valeri","K1H","295.50","334","459",""
"Mehdi Amini","K1H","300.25","170","479",""
