"Coupe de France N1 - L'Argentière La Bessée - 6ème Manche - 2002-06-09","6ème Manche","2002-06-09","Nationale 1","84"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Brugvin Emmanuel","C1H","239.82","24","61",""
"Eric Labarelle","C1H","243.18","43","70",""
"Lalliet Olivier","C1H","246.11","40","78",""
"Pierre Labarelle","C1H","247.88","90","83",""
"Pierre Gelle","C1H","247.97","101","83",""
"Duchemin Damien","C1H","250.96","70","91",""
"Mathieu Voyemant","C1H","251.06","67","91",""
"Herve Delamarre","C1H","251.35","42","92",""
"Pons Alexandre","C1H","257.10","108","107",""
"Billaut Francois","C1H","258.05","125","110",""
"Champmartin Frank","C1H","260.85","90","117",""
"Benoit Pacteau","C1H","269.14","124","140",""
"Alain Schirmann","C1H","271.06","113","144",""
"Vigne Florian","C1H","306.33","164","239",""
"Nicolas Peschier","C1H","312.60","56","256",""
"Charly Chassigneux","C1H","325.81","53","291",""
"Jerome Le Gall","C1H","357.08","57","375",""
"Lepretre Nicolas","C1H","389.25","60","461",""
"Pascal Buck","C1H","470.21","106","677",""
"Pierre Luquet-Christophe Luquet","C2H","242.43","3","12",""
"Colin Anthony- Sabelle Mickael","C2H","262.63","64","61",""
"Lamy Victor- Daille Jerome","C2H","264.38","43","66",""
"Brunel Christian- Brahic Guillaume","C2H","266.70","69","71",""
"Guillaume Gonseth-Nicolas Detheve","C2H","274.63","97","90",""
"Loic Brunel-Medhi Deguil","C2H","275.19","70","92",""
"Schweitzer Lionel- Jamain Olivier","C2H","279.81","79","103",""
"Bouvard Laurent- Bouvard Sebastien","C2H","284.92","67","115",""
"Maxime Vallin-Gauthier Gonseth","C2H","319.49","62","200",""
"Bardet Annelise","K1D","250.90","2","32",""
"Mathilde Pichery","K1D","253.76","34","39",""
"Anneline Triomphe","K1D","254.95","26","42",""
"Marie Gaspard","K1D","260.90","12","57",""
"Aline Tornare","K1D","261.13","36","57",""
"Nelly Tornare","K1D","271.36","53","82",""
"Claire Landrin","K1D","275.28","86","92",""
"Ophelie Delaplace","K1D","275.74","79","93",""
"Bomboy Alice","K1D","281.88","76","108",""
"Samuelle Arnaud","K1D","282.60","60","110",""
"Emilie Fer","K1D","284.31","78","114",""
"Ferreira Florence","K1D","284.86","91","115",""
"Dejours Nelly","K1D","285.56","101","117",""
"Chevrier Cecile","K1D","287.17","76","121",""
"Sohy Stephanie","K1D","287.72","108","122",""
"Poix Sophie","K1D","303.35","81","161",""
"Vincent Marie","K1D","307.44","85","171",""
"Romain Pallud","K1H","221.20","34","41",""
"Baillon Nicolas","K1H","222.85","61","46",""
"Christophe Marechal","K1H","225.32","54","53",""
"Estanguet Aldric","K1H","225.75","54","54",""
"Frederic Walczak","K1H","225.90","55","54",""
"Mathieu Doby","K1H","226.70","60","56",""
"Cheutin Jean-Yves","K1H","226.79","24","57",""
"Julien Dekarczyk","K1H","227.26","47","58",""
"Christophe Augu","K1H","227.84","47","60",""
"Julien Tous","K1H","228.33","77","61",""
"Loris Minvielle","K1H","229.88","65","66",""
"Alonso Remy","K1H","230.83","72","68",""
"Patrice Fischer","K1H","231.42","81","70",""
"Pierre Pans","K1H","231.94","77","71",""
"Benoit Rouffet","K1H","232.36","65","72",""
"Boulesteix Ludovic","K1H","232.61","37","73",""
"Venceslas Viseur","K1H","232.73","71","73",""
"Pierre Devaux","K1H","232.97","54","74",""
"Millet Francois","K1H","235.10","90","80",""
"Arnaud Lapeze","K1H","236.44","74","84",""
"Matthieu Le Gall","K1H","236.54","82","84",""
"Davy Egraz","K1H","236.62","74","84",""
"Thibaud Delaunay","K1H","236.84","90","85",""
"Piquard Gregoire","K1H","236.90","82","85",""
"Jean Christophe Boivin","K1H","237.34","94","86",""
"Gosselin Pierrick","K1H","238.37","103","89",""
"Bluy Alexandre","K1H","242.80","90","101",""
"Ragot Laurent","K1H","243.08","111","102",""
"Julien Arribe","K1H","243.86","88","104",""
"Octobre Olivier","K1H","245.45","66","109",""
"Junquet Fabien","K1H","252.41","125","129",""
"Charles Edouard Dherment","K1H","254.46","119","135",""
"Guillaume Picco","K1H","271.85","121","183",""
"Julien Billaut","K1H","275.79","30","194",""
"Julien Dosse","K1H","291.67","85","239",""
"Le Calve Yann","K1H","295.24","77","249",""
"Thomas Monier","K1H","333.85","37","357",""
"Ghidini Jerome","K1H","393.47","49","524",""
"Roger Jeremie","K1H","462.78","87","719",""
