"Finale N3 Nord Ouest - Sablé Sur Sarthe - 2002-06-15","Course 1","2002-06-15","Nationale 3","163"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Guillaume Wattez","C1H","216.30","253","216",""
"Denis Voisin","C1H","238.81","353","337",""
"Piton Romain","C1H","239.30","376","339",""
"Navarre Emmanuel","C1H","239.41","301","340",""
"Jeremy Bretteville","C1H","241.21","364","350",""
"Olivier Leboeuf","C1H","242.47","360","356",""
"Edern Le Ruyet","C1H","242.50","378","356",""
"Florian Helen","C1H","242.56","323","357",""
"Teddy Poulard","C1H","246.16","331","376",""
"Avril Jose","C1H","247.37","389","383",""
"Jeremie Gouello","C1H","249.83","376","396",""
"Julien Rocaboy","C1H","250.98","400","402",""
"Nedelec Ronan","C1H","251.02","357","402",""
"Sebastien Fouille","C1H","253.21","451","414",""
"Henaff Mickael","C1H","253.38","353","415",""
"Teiti Arnaud","C1H","255.26","406","425",""
"Bardet Tony","C1H","255.42","612","426",""
"Nicolet Walig","C1H","256.53","403","431",""
"Bulois Stephane","C1H","258.82","490","444",""
"Marc Anthoine Marchand","C1H","260.34","398","452",""
"Pierre Chassigneux","C1H","280.70","647","561",""
"Olivier Gerbeaux","C1H","303.60","575","683",""
"Picart Pierre","C1H","304.82","732","690",""
"Georgin Nicolas- Sevaux Adrien","C2H","265.60","396","356",""
"Le Strat Philippe- Le Breton Arnaud","C2H","316.05","610","603",""
"Bonvalet Samuel- Avril Gauthier","C2H","365.27","553","843",""
"Anne Boixel","K1D","218.61","-","0",""
"Melina Letellier","K1D","251.67","283","289",""
"Geraldine Leclerc","K1D","254.64","371","303",""
"Cassier Cecile","K1D","256.60","335","313",""
"Guelou Typhaine","K1D","262.49","382","341",""
"Anne Sophie Le Bailly","K1D","263.05","424","344",""
"Valerie Sibioude","K1D","263.93","295","349",""
"Nathalie Courant","K1D","264.46","499","351",""
"Fouille Aline","K1D","265.52","445","356",""
"Bernhard Cecile","K1D","265.96","325","358",""
"Nathalie Gil","K1D","265.98","355","358",""
"Renard Aude","K1D","269.33","416","375",""
"Maury Tylhaine","K1D","273.58","397","396",""
"Tifenn Van Delft","K1D","278.14","452","417",""
"Bel Amandine","K1D","281.45","433","434",""
"Bel Charlene","K1D","283.25","432","443",""
"Rocher Laura","K1D","286.53","527","459",""
"Vincent Marie","K1D","288.33","85","467",""
"Reveillere Fleur Anne","K1D","288.82","540","470",""
