"Championnats de France Cadets, Juniors, Vétérans, et Finale N2 Sénior - Foix - Championnats de France Juniors, Vétérans, Finale N2 Sénior Championnats de France Juniors, Vétérans, Finale N2 Sénior","Foix","Championnats de France Juniors, Vétérans, Finale N2 Sénior","","2002-07-12","Championnats de France","294"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Nicolas Peschier","C1H","211.33","56.0","109.0",""
"Lorrie Delattre","C1H","215.91","175.0","130.0",""
"Matringe Gabriel","C1H","216.07","84.0","131.0",""
"Antoine Lebellec","C1H","218.35","162.0","141.0",""
"Morgan Vourch","C1H","219.67","127.0","147.0",""
"Stephane Abadie","C1H","220.59","128.0","151.0",""
"Prevot Hugues","C1H","221.12","192.0","153.0",""
"Benoit Guiraud","C1H","221.49","-","155.0",""
"Damien Troquenet","C1H","221.87","134.0","156.0",""
"Cyril Duquet","C1H","222.16","147.0","157.0",""
"Ludovic Roye","C1H","224.69","191.0","169.0",""
"Emeric Bertrand","C1H","225.26","189.0","171.0",""
"Del Rey Emmanuel","C1H","228.17","156.0","184.0",""
"Biselx Thomas","C1H","228.34","148.0","185.0",""
"Collard Aurelien","C1H","228.61","202.0","186.0",""
"Jeremy Heugas","C1H","229.48","149.0","190.0",""
"Remi Debailleul","C1H","230.11","235.0","193.0",""
"Besseau Alexandre","C1H","230.51","230.0","194.0",""
"Loic Marechal","C1H","233.9","234.0","209.0",""
"Jonathan Durand","C1H","234.04","206.0","210.0",""
"Hamonic Matthieu","C1H","234.22","197.0","211.0",""
"Cam Drouhin Francois","C1H","234.3","278.0","212.0",""
"Corrotte Valentin","C1H","235.69","203.0","217.0",""
"Guillaume Sellier","C1H","236.19","256.0","220.0",""
"Paradis Virgile","C1H","236.92","215.0","223.0",""
"Olivier Barriere","C1H","237.12","188.0","224.0",""
"Brodiez Marc","C1H","237.88","266.0","227.0",""
"Saidi Thierry","C1H","238.54","276.0","230.0",""
"Guillaume Wattez","C1H","238.86","235.0","231.0",""
"Maxime Cousin","C1H","242.11","228.0","245.0",""
"Gegat Mathieu","C1H","242.78","258.0","249.0",""
"Collin Ludovic","C1H","244.8","232.0","258.0",""
"Gay Michel","C1H","245.89","209.0","263.0",""
"Lepeltier Thierry","C1H","245.93","231.0","263.0",""
"Gourmel Loic","C1H","247.11","242.0","267.0",""
"Frederic Saguet","C1H","248.87","334.0","276.0",""
"Lessous Ivan","C1H","249.36","266.0","277.0",""
"Paskal Cloarec","C1H","249.8","285.0","280.0",""
"Didier Botrel","C1H","254.74","208.0","301.0",""
"Arnaud Pitman","C1H","257.65","247.0","314.0",""
"Pierre Matthieu","C1H","261.61","263.0","332.0",""
"Yoann Bizot","C1H","265.78","243.0","350.0",""
"Karl Berson","C1H","265.95","321.0","351.0",""
"Boris Parent","C1H","269.46","135.0","366.0",""
"Philippe Thevenin","C1H","272.66","299.0","380.0",""
"Xavier Gensse","C1H","276.74","313.0","398.0",""
"Veith Geoffroy","C1H","292.78","285.0","469.0",""
"Guillaume Izydorczyk","C1H","294.88","237.0","478.0",""
"Thomas Levert","C1H","297.08","225.0","488.0",""
"Pascal Buck","C1H","297.1","106.0","488.0",""
"Benard Olivier","C1H","300.19","266.0","502.0",""
"Gelgon Laurent","C1H","316.13","260.0","572.0",""
"Jean Marc Trenchant","C1H","320.26","267.0","591.0",""
"Olivier Arette Hourquet","C1H","320.71","253.0","593.0",""
"Bozec Florian","C1H","324.17","338.0","608.0",""
"Simon Cayez","C1H","331.93","289.0","642.0",""
"Philippe Senechal","C1H","338.56","289.0","672.0",""
"Rauturier Armand","C1H","352.77","122.0","734.0",""
"Avril Jose","C1H","357.39","377.0","755.0",""
"Antonelli Jeanfrancois","C1H","363.46","336.0","781.0",""
"Paul Gautier","C1H","383.58","185.0","870.0",""
"Cubizolles Sebastien","C1H","411.43","304.0","993.0",""
"Julien Rocaboy","C1H","525.29","395.0","1495.0",""
"Christian Boob-Frederic Boob","C2H","236.02","177.0","128.0",""
"Perrin Jeanjerome- Perrin Alexandre","C2H","243.75","210.0","160.0",""
"Claude Menissier-Gerard Menissier","C2H","244.54","147.0","162.0",""
"Gilles Schweitzer-Loic Sieber","C2H","247.04","150.0","173.0",""
"Clement Nicolas- Vincent Thomas","C2H","254.36","223.0","202.0",""
"Hugues Julien- Duchatel Pascal","C2H","260.93","193.0","229.0",""
"Jerome Talbot-Emmanuel Bisson","C2H","265.68","274.0","248.0",""
"Bouchard Vincent- Cliquet Kevine","C2H","270.99","295.0","269.0",""
"Clerc Herve- Clerc Pierrealain","C2H","271.76","135.0","272.0",""
"Dumont Thierry- Pernot Christophe","C2H","288.19","316.0","338.0",""
"Andrieu Sebastien- Mirand Guillaume","C2H","294.12","115.0","362.0",""
"Loury Nicolas- Besancon David","C2H","299.91","191.0","386.0",""
"Duchiron Stephane- Argenson Thomas","C2H","301.8","409.0","393.0",""
"Darcillon Julien- Hemidy Francois","C2H","314.76","198.0","445.0",""
"Buchheit Fabien- Briois Mathieu","C2H","332.01","277.0","515.0",""
"Debliquy Stephane- Delattre Arnaud","C2H","332.15","283.0","515.0",""
"Olry Tiefaine- Seiler Benjamin","C2H","374.87","440.0","688.0",""
"David Gaillard-Eric Beaumont","C2H","403.13","259.0","802.0",""
"Montiel-Maimae Joan- Rudant Yann","C2H","412.15","308.0","838.0",""
"Despax Stephane- Despax Ghislain","C2H","469.29","379.0","1068.0",""
"Frederic Descot-Yoan Dalla Longa","C2H","550.58","475.0","1396.0",""
"Clotilde Miclo","K1D","226.93","126.0","91.0",""
"Thome Celine","K1D","230.27","146.0","105.0",""
"Julie Labarelle","K1D","232.19","121.0","113.0",""
"Fanny Mino-vercellio","K1D","239.95","199.0","144.0",""
"Guindeo Mariepierre","K1D","239.98","129.0","144.0",""
"Marie-francoise Prigent","K1D","240.0","157.0","144.0",""
"Borg Julie","K1D","240.33","219.0","146.0",""
"Carole Bouzidi","K1D","241.86","118.0","151.0",""
"Carrey Emilie","K1D","243.32","179.0","157.0",""
"Barthelme Anne-France","K1D","244.33","171.0","161.0",""
"Colin Maelle","K1D","245.06","179.0","165.0",""
"Aubert Laetitia","K1D","246.57","152.0","170.0",""
"Tanet Lucie","K1D","247.13","188.0","173.0",""
"Sylvie Metz","K1D","247.88","201.0","176.0",""
"Stephanie Kaczmarek","K1D","249.17","164.0","181.0",""
"Fourcaud Laetitia","K1D","249.49","143.0","183.0",""
"Verguin Isabelle","K1D","249.81","177.0","184.0",""
"Gerbet Chantal","K1D","250.64","245.0","187.0",""
"Jihane Samlal","K1D","257.5","206.0","215.0",""
"Tharaud Anais","K1D","261.96","167.0","233.0",""
"Lebreton Marie","K1D","268.5","193.0","259.0",""
