"SBELECTIF RBEGIONAL SAUT DE SABO - Saut De Sabo Course 1","Saut De Sabo","Course 1","","2002-11-10","Régional","90"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pierre Gelle","C1H","188.56","68.0","138.0",""
"Simon Cayez","C1H","199.84","223.0","201.0",""
"Jeremy Heugas","C1H","200.86","149.0","207.0",""
"Bernard Santoro","C1H","204.53","266.0","226.0",""
"Benoit Pacteau","C1H","211.02","124.0","263.0",""
"Bibron Florian","C1H","222.91","287.0","329.0",""
"Norbert Neveu","C1H","235.14","-","397.0",""
"Neveu Boris","C1H","252.87","-","495.0",""
"Hugo Laberine","C1H","261.56","350.0","544.0",""
"Alexandre Heugas","C1H","276.52","678.0","627.0",""
"Descombes Fabrice","C1H","348.18","-","1025.0",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","217.28","241.0","242.0",""
"Clerc Herve- Clerc Pierrealain","C2H","268.26","136.0","513.0",""
"Hugo Biso-Pierre Picco","C2H","350.75","-","951.0",""
"Carole Bouzidi","K1D","211.3","118.0","211.0",""
"Ferreira Florence","K1D","212.3","91.0","216.0",""
"Fourcaud Laetitia","K1D","222.27","143.0","269.0",""
"Barthelme Anne-France","K1D","249.31","167.0","413.0",""
"Marie-zelia Lafont","K1D","250.83","192.0","421.0",""
"Roumet Marie","K1D","269.43","274.0","520.0",""
"Elodie Janotto","K1D","270.13","305.0","523.0",""
"Laetitia Thueux","K1D","282.1","382.0","586.0",""
"Roumet Alix","K1D","301.5","368.0","690.0",""
"Perrine Beguery","K1D","306.9","302.0","718.0",""
"Dintilhac Carine","K1D","323.61","346.0","806.0",""
"Jonot Katia","K1D","445.21","1048.0","1452.0",""
"Chevalier Audrey","K1D","903.13","-","3881.0",""
"Blaise Anne-Laure","K1D","1042.09","-","4617.0",""
"Julien Dekarczyk","K1H","169.87","40.0","82.0",""
"Loris Minvielle","K1H","175.53","39.0","115.0",""
"Brogniart Arnaud","K1H","175.75","128.0","116.0",""
"Thibaud Delaunay","K1H","177.25","85.0","124.0",""
"Boris Neveu","K1H","177.29","141.0","125.0",""
"Damien Laborde","K1H","179.02","75.0","134.0",""
"Samuel Hernanz","K1H","180.79","125.0","145.0",""
"Benoit Rouffet","K1H","181.48","64.0","149.0",""
"Pierre Bourliaud","K1H","182.84","100.0","157.0",""
"Pierre Pans","K1H","182.85","72.0","157.0",""
"Radureau Lionel","K1H","183.15","111.0","159.0",""
"Guillaume Picco","K1H","183.29","116.0","160.0",""
"Bibron Florian","K1H","184.82","168.0","168.0",""
"Sebastien Halilou","K1H","185.58","139.0","173.0",""
"Arnaud Lapeze","K1H","187.98","70.0","187.0",""
"Chabannes Erwan","K1H","190.9","244.0","204.0",""
"Benoit Molinier","K1H","192.41","167.0","213.0",""
"Colin Molinier","K1H","194.05","274.0","223.0",""
"Benjamin Reig","K1H","194.85","255.0","227.0",""
"Yoan Minvielle","K1H","195.03","211.0","228.0",""
"Sejourne Alexis","K1H","199.01","-","252.0",""
"Francois Giondini","K1H","204.0","322.0","281.0",""
"Jose Pereira","K1H","205.23","269.0","288.0",""
"Molinier Vincent","K1H","205.62","281.0","290.0",""
"Barthes Julien","K1H","206.18","319.0","293.0",""
"Roques Fabien","K1H","207.81","217.0","303.0",""
"Bastien Dantin","K1H","208.89","235.0","309.0",""
"Debons Frederic","K1H","212.78","-","332.0",""
"Portelli Yoann","K1H","213.47","168.0","335.0",""
"Aurelien Leroy","K1H","214.17","246.0","340.0",""
"Jeremy Moureaux","K1H","214.61","259.0","342.0",""
"Frederic Lascourreges","K1H","215.0","265.0","345.0",""
"Josselin Bertrand","K1H","216.32","315.0","352.0",""
"Marc Laborde","K1H","216.78","310.0","355.0",""
"Veronel Patrice","K1H","218.16","236.0","363.0",""
"Manuel Legros","K1H","218.38","357.0","365.0",""
"Florian Berail","K1H","218.5","213.0","366.0",""
"Florent Boulet","K1H","221.69","263.0","383.0",""
"Louis Georges Lafont","K1H","228.03","-","421.0",""
"Jonathan Delagnes","K1H","228.11","400.0","421.0",""
"Gregoire Cayez","K1H","229.98","328.0","432.0",""
"Eric Vidou","K1H","230.39","402.0","434.0",""
"Aguiar Jimmy","K1H","230.78","367.0","437.0",""
"Hugo Biso","K1H","234.72","-","460.0",""
"Picco Pierre","K1H","238.21","-","480.0",""
"Salomon Patrice","K1H","239.66","420.0","489.0",""
"Valerian Boulet","K1H","244.65","479.0","518.0",""
"Chicane Guylain","K1H","245.94","457.0","525.0",""
"Jonot Anthony","K1H","247.47","458.0","534.0",""
"Geffroy Stephen","K1H","251.45","411.0","557.0",""
"Alain Minvielle","K1H","264.07","389.0","631.0",""
"Pourtau Stephane","K1H","273.45","480.0","686.0",""
"Faugeres Jonathan","K1H","283.6","377.0","745.0",""
"Boutonnet Bastien","K1H","289.38","-","779.0",""
"Payrastre Guillaume","K1H","307.29","1078.0","883.0",""
"Doat Francois","K1H","317.78","-","944.0",""
"Desumeur Stephane","K1H","322.51","-","972.0",""
"Marion Renaud","K1H","332.31","-","1029.0",""
"Eftekhari Boris","K1H","348.93","-","1126.0",""
"Peyregne Fabien","K1H","433.07","4087.0","1617.0",""
"Barbe Erwan","K1H","551.25","-","2306.0",""
"Le Flanc Julien","K1H","660.37","-","2944.0",""
