"slalom de Saumur Rimaudan - Saumur - 2003-02-02 Course 1","Saumur","Course 1","","2003-02-02","Régional","62"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Yoann Bizot","C1H","208.07","240.0","331.0",""
"Olivier Leboeuf","C1H","208.84","321.0","337.0",""
"Goubrievsky Sebastien","C1H","223.76","345.0","432.0",""
"Leclerc Frederic","C1H","227.7","-","457.0",""
"Bardet Tony","C1H","229.74","441.0","471.0",""
"Marc Anthoine Marchand","C1H","231.96","397.0","485.0",""
"Jeanfrancois Dugast","C1H","287.07","941.0","840.0",""
"Ludovic Gloaguen","C1H","372.23","-","1389.0",""
"Valerie Sibioude","K1D","222.1","328.0","356.0",""
"Tifenn Van Delft","K1D","223.98","344.0","368.0",""
"Oriane Rebours","K1D","240.64","-","471.0",""
"Rocher Laura","K1D","268.11","527.0","639.0",""
"Martin Audrey","K1D","275.31","-","684.0",""
"Coutard Claire","K1D","332.97","1601.0","1038.0",""
"Navarrot Lucie","K1D","336.52","-","1060.0",""
"Piberne Berenice","K1D","459.98","-","1820.0",""
"Bercon Mathieu","K1H","176.92","147.0","187.0",""
"Herve Busson","K1H","177.87","192.0","194.0",""
"Yoann Rebours","K1H","189.0","229.0","269.0",""
"Frederic Leclerc","K1H","191.14","162.0","284.0",""
"David Despierres","K1H","195.47","362.0","313.0",""
"Loic Froissard","K1H","196.79","259.0","322.0",""
"Kevin Gouabault","K1H","198.84","306.0","336.0",""
"Julien Brouzes","K1H","199.48","306.0","340.0",""
"Pasquier Marc","K1H","201.47","309.0","353.0",""
"Jacques Despierres","K1H","203.29","260.0","366.0",""
"Pierre Emanuel Marchand","K1H","204.86","382.0","376.0",""
"Froissard Arnaud","K1H","204.95","304.0","377.0",""
"Florian Ordonneau","K1H","205.1","346.0","378.0",""
"Yoann Hautecloche","K1H","205.31","379.0","379.0",""
"Sibioude Remy","K1H","206.17","-","385.0",""
"Simon Bercon","K1H","218.01","-","466.0",""
"Fournier Valentin","K1H","219.1","457.0","473.0",""
"Ludovic Gloaguen","K1H","219.3","-","474.0",""
"Dubost Antoine","K1H","220.2","454.0","480.0",""
"Leboeuf Olivier","K1H","222.0","-","493.0",""
"Romain Richard","K1H","223.02","541.0","500.0",""
"Le Picard Yoann","K1H","224.27","-","508.0",""
"Aubert Fabien","K1H","227.25","520.0","528.0",""
"Mouroux Jeff","K1H","227.97","546.0","533.0",""
"Chemineau Frederic","K1H","228.35","621.0","535.0",""
"Ludovic Garnier","K1H","228.5","1084.0","536.0",""
"Sinoir Mael","K1H","232.35","582.0","562.0",""
"Dugast Jeanfrancois","K1H","235.87","-","586.0",""
"Despont Tristan","K1H","235.95","-","587.0",""
"Faucher Antoine","K1H","237.24","-","595.0",""
"Villers Ludovic","K1H","237.51","-","598.0",""
"Guillaume Fletcher","K1H","238.67","209.0","605.0",""
"Gibon Thomas","K1H","251.46","-","692.0",""
"Moriceau Christian","K1H","252.72","-","700.0",""
"Dupin Lenaic","K1H","259.18","-","744.0",""
"Brasseur Stephane","K1H","262.49","-","766.0",""
"Kevin Lemenaheze","K1H","268.72","347.0","809.0",""
"Le Bouter Renaud","K1H","269.78","-","816.0",""
"Pohardy Sebastien","K1H","269.94","-","817.0",""
"Cressol Matthieu","K1H","275.26","-","853.0",""
"Gaborit Pierre","K1H","282.22","-","900.0",""
"Edern Congard","K1H","358.78","-","1418.0",""
"Buffet Clement","K1H","369.9","-","1494.0",""
"Petit Jean-Philippe","K1H","375.94","-","1534.0",""
"Bichon Julien","K1H","419.96","-","1831.0",""
"Rouy Samuel","K1H","426.14","-","1874.0",""
