"Coupe de France N1 - Les Roches du Diable - 1ère Manche - 2003-03-01","1ère Manche","2003-03-01","Nationale 1","92"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Tony Estanguet","C1H","204.31","13","4",""
"Brugvin Emmanuel","C1H","207.89","27","13",""
"Eric Deguil","C1H","213.68","50","29",""
"Charly Chassigneux","C1H","221.85","50","49",""
"Herve Delamarre","C1H","221.92","39","49",""
"Baptiste Delaplace","C1H","221.94","71","49",""
"Jerome Le Gall","C1H","223.28","62","53",""
"Lepretre Nicolas","C1H","223.51","45","53",""
"Estanguet Patrice","C1H","223.91","20","54",""
"Nicolas Peschier","C1H","223.94","59","54",""
"Pierre Labarelle","C1H","226.38","60","61",""
"Herve Chevrier","C1H","226.58","35","61",""
"Pons Alexandre","C1H","227.80","99","64",""
"Ronan Betrom","C1H","229.06","71","68",""
"Xavier Pocard","C1H","231.12","72","73",""
"Matringe Gabriel","C1H","233.23","84","78",""
"Morgan Vourch","C1H","235.54","121","85",""
"Duchemin Damien","C1H","239.54","75","94",""
"Alain Schirmann","C1H","240.84","114","98",""
"Rauturier Armand","C1H","240.93","124","98",""
"Eric Labarelle","C1H","247.53","49","115",""
"Champmartin Frank","C1H","248.76","90","118",""
"Lang Paul","C1H","254.02","126","132",""
"Benoit Pacteau","C1H","256.50","124","138",""
"Pascal Buck","C1H","276.45","96","189",""
"Philippe Quemerais-Yann Le Pennec","C2H","219.41","40","18",""
"Cedric Forgit-Martin Braud","C2H","225.20","30","32",""
"Gaspard Remi- Gaspard Julien","C2H","235.66","36","57",""
"Brunel Christian- Brahic Guillaume","C2H","235.78","73","58",""
"Andrieu Sebastien- Mirand Guillaume","C2H","261.41","118","120",""
"Loic Brunel-Medhi Deguil","C2H","282.40","71","172",""
"Anneline Triomphe","K1D","233.65","36","52",""
"Mathilde Pichery","K1D","237.97","35","63",""
"Marie Gaspard","K1D","239.91","12","67",""
"Nelly Tornare","K1D","242.87","53","75",""
"Bomboy Alice","K1D","245.88","76","82",""
"Nagwa Lanchec El Desouki","K1D","246.95","62","85",""
"Samuelle Arnaud","K1D","248.50","62","89",""
"Emilie Fer","K1D","253.19","78","100",""
"Chevrier Cecile","K1D","256.60","90","108",""
"Julie Labarelle","K1D","266.65","117","133",""
"Bardet Annelise","K1D","280.28","10","167",""
"Aline Tornare","K1D","280.92","42","168",""
"Clotilde Miclo","K1D","285.02","111","178",""
"Ophelie Delaplace","K1D","302.82","69","222",""
"Claire Landrin","K1D","313.83","80","249",""
"Poix Sophie","K1D","318.95","82","261",""
"Ferreira Florence","K1D","320.15","91","264",""
"Dejours Nelly","K1D","402.70","107","465",""
"Carole Bouzidi","K1D","425.34","118","521",""
"Christophe Marechal","K1H","203.42","39","28",""
"Cheutin Jean-Yves","K1H","205.40","15","34",""
"Frederic Walczak","K1H","206.91","48","37",""
"Julien Dekarczyk","K1H","208.80","40","43",""
"Fabien Lefevre","K1H","208.86","12","43",""
"Loris Minvielle","K1H","209.23","39","44",""
"Pierre Devaux","K1H","209.59","60","45",""
"Romain Pallud","K1H","209.64","27","45",""
"Baillon Nicolas","K1H","209.80","48","45",""
"Estanguet Aldric","K1H","211.29","44","49",""
"Thibaud Delaunay","K1H","214.89","85","59",""
"Boulesteix Ludovic","K1H","215.75","43","61",""
"Pallud Renaud","K1H","217.52","47","66",""
"Mathieu Doby","K1H","219.27","60","71",""
"Piquard Gregoire","K1H","219.71","90","72",""
"Venceslas Viseur","K1H","219.76","75","72",""
"Alonso Remy","K1H","221.08","47","76",""
"Thomas Jean Pascal","K1H","221.82","90","78",""
"Matthieu Le Gall","K1H","222.33","68","79",""
"Lesquer David","K1H","222.71","97","80",""
"Arnaud Lapeze","K1H","224.39","70","85",""
"Julien Arribe","K1H","224.91","66","86",""
"Roger Jeremie","K1H","226.14","84","89",""
"Davy Egraz","K1H","227.12","68","92",""
"Julien Tous","K1H","227.48","57","93",""
"Riwal Le Berre","K1H","228.46","102","95",""
"Benoit Rouffet","K1H","229.45","64","98",""
"Pierre Bourliaud","K1H","230.07","100","100",""
"Radureau Lionel","K1H","231.28","120","103",""
"Bernard Babi","K1H","232.38","114","106",""
"Benoit Peschier","K1H","234.53","17","112",""
"Junquet Fabien","K1H","238.75","112","123",""
"Bluy Alexandre","K1H","240.25","99","127",""
"Julien Billaut","K1H","251.49","25","157",""
"Thomas Monier","K1H","257.96","25","175",""
"Aurelien Maynadier","K1H","276.01","98","223",""
"Bernis Camille","K1H","282.90","72","242",""
"Damien Laborde","K1H","284.47","75","246",""
"Benoit Lepage","K1H","330.00","59","368",""
"Julien Dosse","K1H","334.87","85","382",""
"Jean Christophe Boivin","K1H","441.82","90","669",""
"Benjamin Boukpeti","K1H","472.37","91","751",""
