"Sélectif N3 Sud Est - Lavancia - 2003-03-29 Course 1","Lavancia","Course 1","","2003-03-29","Nationale 3","77"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Robin Clement","C1H","193.91","321.0","303.0",""
"Denis Gargaud","C1H","194.86","317.0","309.0",""
"Baptiste Tappero","C1H","203.22","350.0","365.0",""
"Bouvard Sebastien","C1H","204.3","-","372.0",""
"Merle Mathias","C1H","206.56","332.0","387.0",""
"Pascal Benoit","C1H","218.06","450.0","465.0",""
"Antonelli Jeanfrancois","C1H","220.84","353.0","483.0",""
"Reffet Elie","C1H","224.57","565.0","508.0",""
"Vergez Leo","C1H","240.27","642.0","614.0",""
"Barbecot Alexandre","C1H","241.97","676.0","625.0",""
"Eloi Seemann","C1H","271.05","598.0","821.0",""
"Joel Davias","C1H","298.03","507.0","1002.0",""
"Brahic Julien- Dupre Paul","C2H","223.02","426.0","430.0",""
"Vincent Jean-Marc- Penet Richard","C2H","229.34","649.0","470.0",""
"Lecluse Benoit- Mary Laurent","C2H","253.4","442.0","625.0",""
"Cassin Nathanael- Cassin Emmanuel","C2H","357.98","673.0","1294.0",""
"Peyret Hugues- Peyret Blandine","C2M","268.35","610.0","721.0",""
"Elise Escourrou","K1D","205.1","416.0","315.0",""
"Boucharinc Celine","K1D","209.51","350.0","343.0",""
"Audrey Astier Perret","K1D","217.41","374.0","394.0",""
"Doby Julie","K1D","219.11","360.0","405.0",""
"Roumet Alix","K1D","220.15","369.0","412.0",""
"Amaglio Laura","K1D","224.27","517.0","438.0",""
"Magali Blanc","K1D","225.65","544.0","447.0",""
"Melanie Konig","K1D","227.64","470.0","460.0",""
"Michaela Daille","K1D","231.8","451.0","486.0",""
"Vadeboin Laurianne","K1D","235.32","575.0","509.0",""
"Valla Camille","K1D","241.85","416.0","551.0",""
"Valla Justine","K1D","245.82","649.0","576.0",""
"Antonelli Lolita","K1D","248.0","595.0","590.0",""
"Sicre Caroline","K1D","248.18","467.0","591.0",""
"Lutinier Michelle","K1D","249.11","509.0","597.0",""
"Bonhomme Delphine","K1D","281.98","562.0","808.0",""
"Pascal Ferry","K1H","184.66","290.0","302.0",""
"Alain Ferry","K1H","186.12","300.0","313.0",""
"Sylvain Follenfant","K1H","186.91","324.0","318.0",""
"Delfs Yann","K1H","187.14","279.0","320.0",""
"Daumas Jeremy","K1H","187.16","315.0","320.0",""
"Lalauze Charly","K1H","189.11","326.0","334.0",""
"Ballini Yoann","K1H","190.22","302.0","342.0",""
"Hugo Hager","K1H","190.78","326.0","346.0",""
"Lebourgeois Alexis","K1H","192.15","273.0","355.0",""
"Romain Chabrol","K1H","192.96","449.0","361.0",""
"Jeremiah Mosch","K1H","193.14","378.0","362.0",""
"Martelet Romain","K1H","193.61","346.0","366.0",""
"Kevin Schultz","K1H","194.7","292.0","373.0",""
"Yann Gudefin","K1H","194.92","272.0","375.0",""
"Mathieu Cataldo","K1H","195.91","384.0","382.0",""
"Bersinger Sylvain","K1H","197.29","341.0","391.0",""
"Coulon Jerome","K1H","198.02","403.0","397.0",""
"Delisse Thomas","K1H","198.64","607.0","401.0",""
"Vadeboin Mathias","K1H","198.65","577.0","401.0",""
"Benjamin Wagner","K1H","199.0","471.0","404.0",""
"Yannick Besse","K1H","199.15","331.0","405.0",""
"Berthiaud Gregory","K1H","199.4","270.0","406.0",""
"Nicolas Abbal","K1H","200.18","480.0","412.0",""
"Froissard Jonathan","K1H","200.42","391.0","414.0",""
"Ploix Kevin","K1H","201.26","394.0","419.0",""
"Sicre Thomas","K1H","202.03","419.0","425.0",""
"Stephane Simonpietri","K1H","202.44","443.0","428.0",""
"Del Negro Alexis","K1H","202.71","473.0","430.0",""
"Thomas Burnoud","K1H","203.22","567.0","433.0",""
"Hager Yoan","K1H","204.78","373.0","444.0",""
"Descharrieres Bruno","K1H","205.08","399.0","446.0",""
"Demay Romain","K1H","205.68","495.0","451.0",""
"Bornet Timothee","K1H","205.81","502.0","452.0",""
"Aupee Eric","K1H","206.57","354.0","457.0",""
"Chabod Etienne","K1H","207.1","392.0","461.0",""
"Baude Francois","K1H","214.26","490.0","511.0",""
"Gueriot Pierre","K1H","221.55","600.0","563.0",""
"Faivre-Pierret Nicolas","K1H","222.24","550.0","567.0",""
"Defayet Steve","K1H","222.31","618.0","568.0",""
"Rety Simon","K1H","223.06","732.0","573.0",""
"Friboulet Mickael","K1H","233.19","687.0","645.0",""
"Clement Adrien","K1H","234.45","693.0","654.0",""
"Rech Thomas","K1H","241.16","587.0","701.0",""
"Philippe Jules","K1H","436.28","739.0","2076.0",""
