"Sélectif N2 - Tournon St Martin - 2003-04-13","Course 1","2003-04-13","Nationale 2","69"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emeric Bertrand","C1H","175.04","156","130",""
"Martin Braud","C1H","180.16","147","162",""
"Guillaume Wattez","C1H","182.96","202","179",""
"Paul Gautier","C1H","186.79","142","202",""
"Frederic Boob","C1H","192.05","232","234",""
"Jamain Olivier","C1H","192.81","230","239",""
"Florian Helen","C1H","193.44","259","242",""
"Jeremie Gouello","C1H","194.75","269","251",""
"Navarre Emmanuel","C1H","195.80","294","257",""
"Christophe Marechal","C1H","196.51","261","261",""
"Edern Le Ruyet","C1H","197.48","259","267",""
"Christian Boob","C1H","200.43","266","285",""
"Simon Cayez","C1H","203.55","202","304",""
"Teiti Arnaud","C1H","256.94","299","628",""
"Yoann Bizot","C1H","262.97","216","664",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","198.36","267","218",""
"Clement Berger-Mathieu Villeger","C2H","208.26","247","275",""
"Jerome Talbot-Emmanuel Bisson","C2H","225.42","271","375",""
"Emilie Chamouleau","K1D","197.87","143","215",""
"Fourcaud Laetitia","K1D","199.02","153","222",""
"Yvinec Camille","K1D","200.98","219","233",""
"Stephanie Le Mercier","K1D","206.24","266","264",""
"Lyphout Virginie","K1D","207.77","256","272",""
"Frederique Merle","K1D","208.92","271","279",""
"Tifenn Van Delft","K1D","211.34","318","293",""
"Tanet Lucie","K1D","211.52","260","294",""
"Durand Veronique","K1D","215.01","278","314",""
"Valerie Sibioude","K1D","217.24","325","327",""
"Elodie Janotto","K1D","218.47","353","335",""
"Perrine Beguery","K1D","219.05","257","337",""
"Cassier Cecile","K1D","224.42","346","369",""
"Lebreton Marie","K1D","248.16","185","506",""
"Christelle Macaire","K1D","290.05","330","749",""
"Mathieu Le Gal","K1H","162.73","110","105",""
"Nicolas Coudert","K1H","163.03","110","107",""
"Cordonnier Raphael","K1H","163.72","164","112",""
"Leproult Jonathan","K1H","164.33","116","116",""
"Zoungrana Sebastien","K1H","164.46","128","116",""
"Benjamin Thouvignon","K1H","165.07","128","120",""
"Sebastien Halilou","K1H","165.17","119","121",""
"Bercon Mathieu","K1H","167.58","140","136",""
"Tirel Paul","K1H","168.22","148","141",""
"Dardilhac Anthony","K1H","168.63","135","144",""
"Fontaine Damien","K1H","168.76","151","144",""
"Raphael Reveche","K1H","169.93","131","152",""
"Herve Busson","K1H","171.34","185","160",""
"Guillaume Picco","K1H","171.41","115","161",""
"David Riffaud","K1H","172.66","193","169",""
"Adrien Ferec","K1H","173.87","213","177",""
"Le Pesquer Yann","K1H","174.08","230","178",""
"Betrom Ronan","K1H","174.32","231","180",""
"Delaunay Johann","K1H","174.49","164","181",""
"Yoann Rebours","K1H","174.74","214","182",""
"Berthe Christophe","K1H","174.85","178","183",""
"Michael Guyon","K1H","175.35","154","186",""
"Alain Droniou","K1H","176.38","191","193",""
"Erwan Cadio","K1H","176.86","213","196",""
"Mickael Louchard","K1H","177.56","239","200",""
"Nicolas Masson","K1H","179.14","204","211",""
"Le Mercier David","K1H","179.27","267","211",""
"Aurelien Leroy","K1H","180.34","201","218",""
"Le Coq Sebastien","K1H","182.19","230","229",""
"Florent Boulet","K1H","182.42","235","231",""
"Pascal Poitiers","K1H","182.60","205","232",""
"Manuel Coquelin","K1H","182.88","188","234",""
"Gwenael Marquer","K1H","184.21","226","242",""
"Julien Coudert","K1H","186.97","295","260",""
"Benjamin Reig","K1H","192.72","242","296",""
"Frederic Leclerc","K1H","215.44","130","442",""
