"Sélectif N3 Nord Est - Chappes - 2003-04-27","Course 1","2003-04-27","Nationale 3","146"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Cubizolles Sebastien","C1H","182.41","317","292",""
"Mathieu Julien","C1H","185.80","316","315",""
"Coquille Alexis","C1H","189.29","334","338",""
"Philippe Senechal","C1H","191.96","334","356",""
"Poiret Enguerrand","C1H","192.27","360","358",""
"Parmentelat Cyril","C1H","193.33","409","365",""
"Pierre Berthelot Kleck","C1H","196.84","402","388",""
"Thomas Burgi","C1H","198.74","443","401",""
"Allemandou Fabien","C1H","200.46","419","412",""
"Monvoisin Benoit","C1H","213.77","407","501",""
"Parmentelat Edouard","C1H","215.77","531","515",""
"Pierrick Maujean","C1H","219.96","474","543",""
"Heilles Fabien","C1H","221.81","449","555",""
"Jose Zouaoui","C1H","225.96","683","583",""
"Geoffroy Schwentzel","C1H","227.76","649","595",""
"Garreau Guillaume","C1H","242.08","662","690",""
"Henrion Nicolas","C1H","244.39","-","706",""
"Gilles Lionel","C1H","250.94","698","750",""
"Guillonet Jerome","C1H","262.44","326","827",""
"Loic Bourgeois","C1H","262.88","139","829",""
"Boisdanghien Clement","C1H","266.25","668","853",""
"Douville Paul","C1H","267.52","352","861",""
"Jolivet Pierre","C1H","279.36","610","940",""
"Guillonet Pierre","C1H","301.37","446","1087",""
"Guillaume Doutreix","C1H","307.99","379","1131",""
"Antoine Harlaut","C1H","424.57","467","1910",""
"Guerinet Cedric","C1H","424.83","764","1912",""
"Yoan Del Rey-Arthur Grandemange","C2H","213.85","412","437",""
"Anais Dieterling","K1D","205.49","414","384",""
"Burgart Valerie","K1D","206.86","409","393",""
"Marlene Devillez","K1D","207.40","356","396",""
"Defoix Angelique","K1D","213.89","463","437",""
"De Berchen Emilie","K1D","227.20","507","523",""
"Sylvaine Louis","K1D","227.35","483","524",""
"Anne Fischer","K1D","251.45","569","676",""
"Marion Fischer","K1D","252.24","427","682",""
"L'orphelin Lucille","K1D","262.51","511","748",""
"Heckmann Steffi","K1D","277.69","687","844",""
"Falcetta Charlotte","K1D","298.44","681","977",""
"Dardanne Sophie","K1D","313.47","756","1072",""
"Pauline Pillion","K1D","318.41","659","1104",""
"Arthur Georges","K1H","169.58","286","263",""
"Oswald Besch","K1H","170.81","290","272",""
"Kevin Schultz","K1H","172.93","274","286",""
"Jerome Olhagaray","K1H","173.78","283","293",""
"Kudla Romain","K1H","174.12","287","295",""
"Alexandre Guerinet","K1H","174.74","292","299",""
"Nicolas Leclerc","K1H","175.60","454","305",""
"Thomas Michel","K1H","175.94","305","308",""
"Quentin Bove","K1H","176.60","298","312",""
"Jules Bevalot","K1H","176.74","287","313",""
"Pierson Cyril","K1H","177.95","328","322",""
"Florent Tamburini","K1H","178.16","359","323",""
"Viellard Amaury","K1H","178.22","305","323",""
"Falcetta Thomas","K1H","178.32","305","324",""
"Sebastien Serot","K1H","178.72","315","327",""
"Perrin Alexandre","K1H","178.79","335","327",""
"Lacour Jerome","K1H","179.33","307","332",""
"Guerin Alexandre","K1H","181.30","352","345",""
"Olivier Urbain","K1H","181.64","277","348",""
"Nicolas Pinot","K1H","182.21","327","351",""
"Fatah Samy","K1H","182.52","321","354",""
"Savart Matthieu","K1H","182.74","403","355",""
"Mathieu Bandelier","K1H","183.19","315","359",""
"Revelle Yohann","K1H","183.61","348","361",""
"Ricci Miege Raphael","K1H","183.82","399","363",""
"Lemoule Pierre","K1H","184.69","318","369",""
"Thevenin Yohann","K1H","184.92","-","371",""
"Patrick Gass","K1H","185.83","309","377",""
"Noble Aurelien","K1H","185.87","385","377",""
"Stephane Ferrignio","K1H","186.37","305","381",""
"Yves Moreno","K1H","186.40","485","381",""
"Creuza Jeremy","K1H","186.68","382","383",""
"Yann Le Guedard","K1H","187.49","359","388",""
"Labouille Yannick","K1H","188.12","336","393",""
"Hayot Sylvain","K1H","189.33","362","401",""
"Pascal Garnier","K1H","189.75","395","404",""
"Aurel Sebastien","K1H","189.82","333","405",""
"Julien Daumont","K1H","191.10","377","414",""
"Vieillard Alexis","K1H","191.67","360","418",""
"Guillaume Huppert","K1H","191.76","431","419",""
"Dallazuana Anthony","K1H","193.79","338","433",""
"Ehlinger Robin","K1H","194.24","451","436",""
"Viratelle Vincent","K1H","195.05","414","442",""
"Ladouce Romain","K1H","195.99","457","449",""
"Bastien Darcillon","K1H","196.16","407","449",""
"Sergent Sylvain","K1H","196.27","392","450",""
"Jean Guyot","K1H","196.30","343","450",""
"Ringeisen Gautier","K1H","197.00","443","455",""
"Ciemniewski Olivier","K1H","198.87","565","468",""
"Thenon Gregori","K1H","199.07","411","470",""
"Jeanpierre Patard","K1H","199.33","400","472",""
"Senechal Alexis","K1H","200.29","550","478",""
"Drosseau Simon","K1H","200.53","484","480",""
"Philippe Valeri","K1H","200.74","354","482",""
"Nathan Barbier","K1H","201.01","492","484",""
"Renoux Franck","K1H","201.06","602","484",""
"Leroy Anthony","K1H","201.27","474","486",""
"Dameron Antoine","K1H","202.85","498","497",""
"Pecheur Mathieu","K1H","203.15","434","499",""
"William Boutet","K1H","205.11","444","512",""
"Biton Jonas","K1H","205.26","577","513",""
"Beghoura Yoni","K1H","205.87","481","517",""
"Faivre-Pierret Nicolas","K1H","206.68","544","524",""
"Antoine Decambon","K1H","206.78","495","524",""
"Miler Thomas","K1H","207.23","474","527",""
"Thomas Rollot","K1H","207.40","497","528",""
"Collinet Matthieu","K1H","208.51","486","536",""
"Clouzeau Hugo","K1H","208.72","573","537",""
"Ronan Lucas","K1H","209.21","350","541",""
"Romain Viry","K1H","210.88","553","552",""
"Eric Marmet","K1H","211.68","457","558",""
"Poix Stanislas","K1H","211.94","595","560",""
"Lemaire Alexandre","K1H","216.04","523","588",""
"Macarty Sebastien","K1H","217.65","519","601",""
"Tachet Xavier","K1H","220.54","668","621",""
"Averlant Etienne","K1H","221.02","583","624",""
"Piermay Vincent","K1H","221.17","717","625",""
"Bigeon Thibault","K1H","221.57","646","627",""
"Emmanuel Colajanni","K1H","223.82","528","643",""
"Fontaine Vincent","K1H","225.80","556","657",""
"Di Majo Romain","K1H","229.43","603","683",""
"Saillard Julien","K1H","230.56","716","690",""
"Levasseur Nicolas","K1H","231.17","441","695",""
"Hamann Damien","K1H","231.18","528","695",""
"Eric Louis","K1H","231.69","561","699",""
"Benjamin Defrocourt","K1H","235.42","548","725",""
"Quentin Vallee","K1H","237.19","368","738",""
"Richard Carpentier","K1H","241.03","760","765",""
"Jodar Sebastien","K1H","245.06","360","792",""
"Bouletier Julien","K1H","245.15","626","793",""
"Stock Marc-Antoine","K1H","245.97","543","799",""
"Barnavon Guillaume","K1H","250.41","760","830",""
"Ursot Olivier","K1H","252.54","690","845",""
"Granger Terence","K1H","255.51","717","866",""
"Douillot Nicolas","K1H","262.15","422","913",""
"Laurent Guyot","K1H","276.80","-","1015",""
"Courtier Jeremy","K1H","284.04","622","1066",""
"Meunier Logan","K1H","284.19","721","1067",""
"Gilles Lucas","K1H","288.40","502","1096",""
"Sassatelli Nicolas","K1H","302.34","752","1195",""
"Pascal Sallot","K1H","306.65","638","1224",""
"Maignan Adrien","K1H","318.31","507","1307",""
"Carisey Pierre","K1H","409.48","729","1946",""
"Serra Thibault","K1H","920.76","635","5532",""
"Duparcq Romain","K1H","991.27","651","6027",""
