"Sélectif N2 - Millau - 2003-05-17","Course 1","2003-05-17","Nationale 2","114"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lorrie Delattre","C1H","212.09","140","157",""
"Boris Parent","C1H","212.56","146","159",""
"Anthony Colin","C1H","216.73","179","180",""
"Lepeltier Thierry","C1H","217.35","208","182",""
"Corrotte Valentin","C1H","217.63","155","184",""
"Sennellier Jean","C1H","220.85","210","200",""
"Jeremy Heugas","C1H","220.93","166","200",""
"Bernard Santoro","C1H","224.90","238","219",""
"Dumont Thierry","C1H","225.47","196","223",""
"Saubes Nils","C1H","225.50","249","223",""
"Veith Geoffroy","C1H","229.74","288","243",""
"Hugo Laberine","C1H","230.09","259","244",""
"Benjamin Ruman","C1H","231.69","260","252",""
"Simon Cayez","C1H","234.74","202","267",""
"Mathieu Fougere-Thomas Fougere","C2H","214.33","162","120",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","224.32","166","166",""
"Gilles Schweitzer-Loic Sieber","C2H","229.99","177","194",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","234.58","210","215",""
"Berthiaud Gregory- Despax Cedric","C2H","238.20","249","231",""
"Hugues Julien- Duchatel Pascal","C2H","248.69","267","280",""
"Thome Celine","K1D","219.42","127","144",""
"Guindeo Mariepierre","K1D","220.21","133","148",""
"Fourcaud Laetitia","K1D","220.68","154","150",""
"Marie-zelia Lafont","K1D","223.87","118","165",""
"Octobre Valerie","K1D","227.97","-","184",""
"Borg Julie","K1D","228.00","163","184",""
"Fanny Mino-vercellio","K1D","228.48","176","187",""
"Stephanie Kaczmarek","K1D","231.39","227","200",""
"Barthelme Anne-France","K1D","232.87","164","207",""
"Sylvie Metz","K1D","235.75","198","220",""
"Bervet Gaelle","K1D","236.90","237","225",""
"Camille Salgues","K1D","238.26","270","231",""
"Jihane Samlal","K1D","238.49","210","233",""
"Roumet Marie","K1D","243.55","290","257",""
"Piechaczyk Laure","K1D","243.63","293","257",""
"Vanderkam Buisson Maelle","K1D","244.34","294","260",""
"Carrey Emilie","K1D","244.72","177","262",""
"Anais Couturier","K1D","244.97","327","263",""
"Lyphout Virginie","K1D","247.54","247","275",""
"Durand Veronique","K1D","248.31","278","279",""
"Anais Bouchet","K1D","249.33","256","283",""
"Laura Lyphout","K1D","251.03","280","291",""
"Barroso Cyrielle","K1D","251.04","274","291",""
"Elodie Janotto","K1D","254.14","328","306",""
"Paviot Laetitia","K1D","256.39","300","316",""
"Marie Borlet","K1D","258.76","287","327",""
"Lyon Gaelle","K1D","263.00","327","347",""
"Perrine Beguery","K1D","266.55","257","364",""
"Dejours Elsa","K1D","278.87","333","420",""
"Ancellin Marie","K1D","298.82","301","513",""
"Sebastien Halilou","K1H","191.23","121","102",""
"Gregory Busson","K1H","194.30","126","117",""
"Nicolas Durand","K1H","194.83","141","120",""
"Samuel Hernanz","K1H","195.28","132","123",""
"Damien Boudet","K1H","195.38","103","124",""
"Cordonnier Raphael","K1H","195.45","110","124",""
"Yoan Minvielle","K1H","195.66","112","124",""
"Michael Guyon","K1H","197.49","146","134",""
"Alexandre Schall","K1H","198.16","131","138",""
"Boris Neveu","K1H","198.58","112","139",""
"Benjamin Buys","K1H","199.14","143","143",""
"Dardilhac Anthony","K1H","199.89","130","146",""
"Guillaume Provost","K1H","200.78","171","151",""
"Thomas Bersinger","K1H","200.90","194","152",""
"Guillaume Picco","K1H","200.94","119","152",""
"Lismonde Alexandre","K1H","201.20","145","153",""
"Nizar Samlal","K1H","202.25","164","159",""
"Bertrand Lamy","K1H","202.79","154","161",""
"Olivier Hardonniere","K1H","202.92","176","162",""
"Gode Denis","K1H","203.01","222","162",""
"Louis Philippe Rigal","K1H","203.46","167","165",""
"Fabrice Poueyto","K1H","203.56","174","165",""
"Aurelien Leroy","K1H","203.65","201","166",""
"Bertrand Bercon","K1H","203.72","153","166",""
"Luc Doye","K1H","204.21","177","168",""
"Renaud Metereau","K1H","204.29","194","169",""
"Sebastien Lepaulard","K1H","204.48","196","170",""
"Portelli Yoann","K1H","204.67","115","171",""
"Benoit Molinier","K1H","204.90","144","172",""
"Serret Mathieu","K1H","205.93","167","177",""
"David Riffaud","K1H","205.98","183","177",""
"Jonathan Chapatte","K1H","206.00","231","178",""
"Jeremy Wagner","K1H","206.35","182","180",""
"Florian Berail","K1H","206.97","175","182",""
"Douillet Guilhem","K1H","207.09","181","183",""
"Boris Lutinier","K1H","207.84","190","187",""
"Wadel Florian","K1H","208.85","199","192",""
"Jose Pereira","K1H","209.76","251","197",""
"Roques Fabien","K1H","209.84","224","197",""
"Ysern Renaud","K1H","210.42","214","200",""
"Benoit Fer","K1H","210.90","132","202",""
"Julien Beltrami","K1H","211.06","188","203",""
"Julien Lenaour","K1H","211.06","189","203",""
"Bertrand Dubiez","K1H","211.52","183","206",""
"Molinier Vincent","K1H","211.59","231","206",""
"Nicolas Masson","K1H","212.13","202","208",""
"Colin Molinier","K1H","212.53","209","211",""
"Jeremy Moureaux","K1H","212.95","216","213",""
"Saint Girons Thomas","K1H","213.53","190","216",""
"Bastien Dantin","K1H","213.84","228","217",""
"Olivier Blanc","K1H","213.92","202","218",""
"Olivier Mourasse","K1H","213.93","223","218",""
"Chabannes Erwan","K1H","214.43","213","221",""
"Renaud Doby","K1H","216.44","137","231",""
"Hayet Julien","K1H","216.51","218","231",""
"Benjamin Reig","K1H","216.52","242","231",""
"Beltrami Denis","K1H","217.38","220","236",""
"Anthony Gaugain","K1H","218.26","234","240",""
"Medjeberg Jeremy","K1H","218.48","179","241",""
"Barbaglia Remi","K1H","221.04","225","254",""
"Riou Sebastien","K1H","222.68","293","263",""
"Verchere Thibault","K1H","224.29","263","271",""
"Florent Boulet","K1H","245.18","231","378",""
"Nicolas Labat","K1H","248.66","130","396",""
