"Sélectif N2 - St Laurent Blangy - 2003-05-18","Course 1","2003-05-18","Nationale 2","106"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lepage Clement","C1H","201.68","132","127",""
"Biselx Thomas","C1H","203.80","109","138",""
"Damien Troquenet","C1H","205.06","160","144",""
"Loic Bourgeois","C1H","205.67","139","147",""
"Antoine Lebellec","C1H","209.23","144","165",""
"Del Rey Emmanuel","C1H","213.40","184","186",""
"Jeancharles Reby","C1H","215.53","209","197",""
"Magnaval Willy","C1H","219.04","191","215",""
"Jeremie Gouello","C1H","219.56","254","218",""
"Gegat Mathieu","C1H","219.57","217","218",""
"Didier Botrel","C1H","220.19","212","221",""
"Guillaume Sellier","C1H","222.14","222","231",""
"Guillaume Izydorczyk","C1H","223.71","254","239",""
"Olivier Arette Hourquet","C1H","226.07","223","251",""
"Sebastien Andrieu","C1H","226.33","237","252",""
"Edern Le Ruyet","C1H","227.31","251","258",""
"Loic Marechal","C1H","230.06","281","271",""
"Christophe Marechal","C1H","241.79","244","331",""
"Emeric Bertrand","C1H","263.95","146","444",""
"Pichard Melaine- Rocaboy Julien","C2H","224.25","258","190",""
"Perrin Jeanjerome- Perrin Alexandre","C2H","233.32","185","234",""
"Loury Nicolas- Besancon David","C2H","238.95","-","261",""
"Debliquy Stephane- Delattre Arnaud","C2H","243.19","252","282",""
"Douville Paul- Poiret Enguerrand","C2H","246.16","319","296",""
"Lebreton Marie","K1D","221.40","185","176",""
"Arribe Catherine","K1D","226.22","138","199",""
"Gerbet Chantal","K1D","226.65","176","202",""
"Aubert Laetitia","K1D","233.75","176","236",""
"Caroline Bourry","K1D","234.06","259","238",""
"Elisa Venet","K1D","238.08","177","257",""
"Vincent Marie","K1D","239.44","214","264",""
"Carole Pocard","K1D","240.18","207","267",""
"Mylene Renaud","K1D","243.23","276","282",""
"Claire Jacquet","K1D","244.59","260","288",""
"Sarah Michel","K1D","248.83","335","309",""
"Tharaud Anais","K1D","250.47","157","317",""
"Leleu Sophie","K1D","250.51","265","317",""
"Tifenn Van Delft","K1D","257.30","302","350",""
"Harmony Thery","K1D","257.40","251","351",""
"Cornevin Maud","K1D","258.93","234","358",""
"Stephanie Le Mercier","K1D","261.02","258","368",""
"Celine Denizon","K1D","262.90","283","377",""
"Besch Eulalie","K1D","265.43","322","390",""
"Emilie Chamouleau","K1D","268.34","152","404",""
"Sohy Laurence","K1D","272.24","297","423",""
"Craig Hannah","K1D","273.44","168","429",""
"Melina Letellier","K1D","284.81","305","485",""
"Thiebaut Charline","K1D","295.74","227","538",""
"Lahousse Perrine","K1D","301.33","350","565",""
"Marie Ringeisen","K1D","345.75","353","781",""
"Benjamin Thouvignon","K1H","186.65","125","97",""
"Sebastien Combot","K1H","187.56","117","103",""
"Trzeciak Vincent","K1H","190.36","137","117",""
"Leproult Jonathan","K1H","191.55","119","124",""
"Di Lauro Maxime","K1H","192.14","161","127",""
"Xavier Jourdain","K1H","192.32","137","128",""
"Nicolas Carduner","K1H","193.36","149","133",""
"Nicolas Coudert","K1H","194.55","108","140",""
"Franck Delachair","K1H","194.86","133","141",""
"Menager Vincent","K1H","195.92","195","148",""
"Jean Charles Creusot Walter","K1H","195.99","98","148",""
"Michel Ragot","K1H","196.03","155","148",""
"Nicolas Ciemniewski","K1H","196.07","217","148",""
"Coiffe Florion","K1H","196.38","203","150",""
"Delaunay Johann","K1H","197.98","164","159",""
"Thomas Masuy","K1H","199.03","165","164",""
"Vincent Reiter","K1H","199.40","222","166",""
"Florian Gosselin","K1H","199.46","207","167",""
"Benoit Letellier","K1H","199.63","150","168",""
"Raphael Reveche","K1H","200.53","97","172",""
"Jean Philippe Winiarski","K1H","200.59","141","172",""
"Ciaran Heurteau","K1H","200.62","193","172",""
"Christophe Siffert","K1H","200.63","169","172",""
"Sarazin Emmanuel","K1H","200.81","193","174",""
"David Beyer","K1H","201.87","221","179",""
"Adrien Ferec","K1H","202.14","198","180",""
"De Berchen Sebastien","K1H","202.15","209","181",""
"Yves Debailleul","K1H","203.07","219","186",""
"Antoine Dufrene","K1H","203.63","250","188",""
"Michel Gombert","K1H","204.62","192","194",""
"Lionel Tinevez","K1H","204.80","176","195",""
"Johan De Mareuil","K1H","205.91","112","201",""
"Philippe Daumont","K1H","206.96","195","206",""
"Thibault Bellembois","K1H","208.39","208","214",""
"Piermay Mathieu","K1H","209.60","239","221",""
"Bigand Baptiste","K1H","209.83","154","222",""
"Di Lauro Alexandre","K1H","210.00","206","222",""
"Antoine Lebastard","K1H","210.01","214","222",""
"Gwenael Marquer","K1H","210.51","226","225",""
"Franck Dessaint","K1H","210.55","234","225",""
"Thibaud Kudla","K1H","210.67","259","226",""
"Pierre Marie Roussel","K1H","211.39","201","230",""
"Moratelli Loic","K1H","211.41","272","231",""
"Cedric Mace","K1H","212.35","232","235",""
"Guillaume Maraquin","K1H","212.56","218","236",""
"Le Coq Sebastien","K1H","215.04","223","249",""
"Sebastien Thevenin","K1H","217.24","229","261",""
"Romain Bove","K1H","217.66","189","264",""
"Julien Darees","K1H","218.57","242","268",""
"Macrel Loic","K1H","228.16","200","320",""
"Laroque Jeanchristophe","K1H","232.12","259","340",""
"Bazin Patryce","K1H","255.89","133","468",""
"Grandemange Jeanleonard","K1H","262.69","135","504",""
"Manuel Coquelin","K1H","265.75","188","521",""
"Alain Droniou","K1H","269.26","190","539",""
"Veronel Patrice","K1H","287.34","205","636",""
