"Sélectif N3 Nord Ouest - Sablé Sur Sarthe Course 1","Sablé Sur Sarthe","Course 1","","2003-05-24","Nationale 3","128"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Jonathan Marc","C1H","217.88","304.0","306.0",""
"Lemaire Gabriel","C1H","219.34","317.0","314.0",""
"Olivier Leboeuf","C1H","224.37","314.0","343.0",""
"Marc Anthoine Marchand","C1H","226.8","378.0","358.0",""
"Raphael Reveche","C1H","229.78","464.0","375.0",""
"Nicolet Walig","C1H","232.16","329.0","389.0",""
"Goubrievsky Sebastien","C1H","233.47","343.0","397.0",""
"Jeremy Bretteville","C1H","233.49","381.0","397.0",""
"Granger Pierre Emmanuel","C1H","233.93","534.0","400.0",""
"Melaine Pichard","C1H","235.06","328.0","406.0",""
"Avril Jose","C1H","235.68","377.0","410.0",""
"Julien Rocaboy","C1H","237.06","381.0","418.0",""
"Bardet Tony","C1H","241.56","443.0","444.0",""
"Saucet Manuel","C1H","242.72","489.0","451.0",""
"Lecointe Thibault","C1H","243.94","619.0","458.0",""
"Picart Pierre","C1H","244.69","517.0","462.0",""
"Teddy Poulard","C1H","247.03","426.0","476.0",""
"Sebastien Fouille","C1H","253.96","448.0","517.0",""
"Bulois Stephane","C1H","254.16","422.0","518.0",""
"Le Calvez Arnaud","C1H","261.9","518.0","563.0",""
"Le Gallic Thomas","C1H","264.69","643.0","579.0",""
"Queval Frederique- Renault Olivier","C2M","281.43","779.0","603.0",""
"Nathalie Gil","K1D","237.81","375.0","359.0",""
"Fouille Aline","K1D","238.07","392.0","361.0",""
"Geraldine Leclerc","K1D","240.72","421.0","375.0",""
"Anne Sophie Le Bailly","K1D","247.22","397.0","411.0",""
"Bernhard Cecile","K1D","248.93","357.0","421.0",""
"Oriane Rebours","K1D","251.25","435.0","434.0",""
"Rocher Laura","K1D","258.75","567.0","476.0",""
"Delhia Petiot","K1D","259.24","464.0","479.0",""
"Chevalier Yvane","K1D","269.16","472.0","534.0",""
"Reveillere Fleur Anne","K1D","269.47","482.0","536.0",""
"Clara Yang-ting","K1D","270.97","616.0","544.0",""
"Renard Aude","K1D","281.84","552.0","605.0",""
"Charlotte Hay","K1D","284.43","759.0","619.0",""
"Julie Quesne","K1D","287.79","735.0","637.0",""
"Le Maux Aurore","K1D","296.87","711.0","689.0",""
"Tanguy Anthony","K1H","202.66","285.0","276.0",""
"Vaillant Tiphaine","K1H","203.08","292.0","279.0",""
"Yves Lecointe","K1H","204.76","311.0","289.0",""
"Benoit Guillaume","K1H","204.84","287.0","289.0",""
"Mathieu Godin","K1H","205.07","297.0","291.0",""
"Jerome Talbot","K1H","205.41","281.0","293.0",""
"Yoann Hautecloche","K1H","205.92","351.0","296.0",""
"Fabien Tournadre","K1H","206.15","280.0","298.0",""
"Beaudoin Fabien","K1H","206.37","297.0","299.0",""
"Goulwen Chapelier","K1H","208.02","301.0","309.0",""
"David Despierres","K1H","209.69","326.0","319.0",""
"Childeric Thoreau","K1H","209.81","263.0","320.0",""
"Julien Brouzes","K1H","209.91","306.0","320.0",""
"Courtille Arnaud","K1H","210.45","329.0","324.0",""
"Froissard Arnaud","K1H","210.83","320.0","326.0",""
"Simon Despres","K1H","212.01","348.0","334.0",""
"Kevin Gouabault","K1H","212.7","306.0","338.0",""
"Nedelec Ronan","K1H","214.69","270.0","350.0",""
"Erwan Desbordes","K1H","215.33","340.0","354.0",""
"Florian Ordonneau","K1H","215.34","337.0","354.0",""
"Bouchet Mickael","K1H","215.34","343.0","354.0",""
"Patrick Jegou","K1H","215.76","324.0","356.0",""
"Kevin Lemenaheze","K1H","216.68","332.0","362.0",""
"Pasquier Marc","K1H","216.72","317.0","363.0",""
"Gadois Jacques","K1H","216.97","373.0","364.0",""
"Vincent Salmon","K1H","217.12","334.0","365.0",""
"Brustiec Jerom","K1H","217.21","313.0","366.0",""
"Olivier Roussel","K1H","217.3","416.0","366.0",""
"Pierre Yves Tanguy","K1H","217.44","427.0","367.0",""
"Landa Thomas","K1H","218.02","336.0","370.0",""
"Onillon Baptiste","K1H","219.81","359.0","381.0",""
"Remy Faucon","K1H","219.82","365.0","381.0",""
"Georgin Etienne","K1H","220.4","399.0","385.0",""
"Dubost Antoine","K1H","221.47","373.0","392.0",""
"Yann Lardic","K1H","222.08","386.0","396.0",""
"Laurent Van Poucke","K1H","222.49","399.0","398.0",""
"Fournier Valentin","K1H","222.99","437.0","400.0",""
"Cyril Duval","K1H","223.88","470.0","406.0",""
"Dubu Alain","K1H","224.51","449.0","410.0",""
"Cadoudal Vincent","K1H","224.88","428.0","412.0",""
"Mahe Alan","K1H","225.2","391.0","414.0",""
"Julien Vetele","K1H","225.85","426.0","418.0",""
"Vanneste Matthieu","K1H","225.98","437.0","419.0",""
"Le Feuvre Nicolas","K1H","227.09","524.0","426.0",""
"Prigent Mathieu","K1H","227.65","416.0","430.0",""
"Chaumier Florian","K1H","227.69","389.0","430.0",""
"Nicolas Dupres","K1H","228.72","367.0","436.0",""
"Debray Damien","K1H","229.74","408.0","442.0",""
"Barbier Cyril","K1H","230.41","526.0","446.0",""
"Le Garrec Julien","K1H","230.51","453.0","447.0",""
"Pete Remi","K1H","230.63","707.0","448.0",""
"Ludovic Gloaguen","K1H","230.7","459.0","448.0",""
"Pierre Emanuel Marchand","K1H","230.83","369.0","449.0",""
"Stephen Le Diagon","K1H","231.0","422.0","450.0",""
"Guillard Jonathan","K1H","231.22","525.0","452.0",""
"Noury Maxime","K1H","231.38","481.0","453.0",""
"Sinoir Mael","K1H","231.72","518.0","455.0",""
"Neveu Mathieu","K1H","232.58","409.0","459.0",""
"Petitpas Nicolas","K1H","233.19","433.0","463.0",""
"Brieuc Cadic","K1H","234.15","380.0","469.0",""
"Hoel Carnot","K1H","234.55","489.0","472.0",""
"Benedetto Guillaume","K1H","234.69","534.0","473.0",""
"Aubert Fabien","K1H","234.75","497.0","473.0",""
"Simon Bercon","K1H","235.75","467.0","479.0",""
"Mouroux Jeff","K1H","235.82","483.0","480.0",""
"Delasalle Jerome","K1H","237.09","544.0","488.0",""
"Friquet Arnaud","K1H","237.89","469.0","492.0",""
"Romain Richard","K1H","238.39","545.0","495.0",""
"Plard Adrien","K1H","240.18","395.0","506.0",""
"Colombert Yann","K1H","240.22","509.0","507.0",""
"Flageul Pierre","K1H","241.53","485.0","515.0",""
"Verger Nicolas","K1H","243.19","629.0","524.0",""
"Ludovic Garnier","K1H","243.49","601.0","526.0",""
"Chesneau Brian","K1H","244.87","516.0","535.0",""
"Josse Nicolas","K1H","245.94","468.0","542.0",""
"Sinquin Gwenael","K1H","246.28","542.0","544.0",""
"Despont Tristan","K1H","246.3","524.0","544.0",""
"Sebastien Masseline","K1H","248.37","526.0","556.0",""
"Olivier Cornu","K1H","248.37","515.0","556.0",""
"Chemineau Frederic","K1H","249.06","486.0","561.0",""
"Morvan Antoine","K1H","249.22","666.0","562.0",""
"Borg Eric","K1H","251.41","-","576.0",""
"Pedron Jessy","K1H","253.34","747.0","587.0",""
"Priol Yoann","K1H","255.88","589.0","603.0",""
"Bisson Frederic","K1H","258.84","665.0","621.0",""
"Bourdillat Adrien","K1H","262.0","649.0","640.0",""
"Dugast Jeanfrancois","K1H","267.37","658.0","673.0",""
"Descheres Erwan","K1H","273.03","623.0","708.0",""
"Rossignol Yves","K1H","290.43","473.0","815.0",""
"Simon Joseph","K1H","293.02","594.0","830.0",""
"Timothee Venot","K1H","314.33","435.0","962.0",""
