"Sélectif N3 Sud Ouest - Bernos Beaulac - 2003-05-25","Course 1","2003-05-25","Nationale 3","83"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Norbert Neveu","C1H","232.59","322","285",""
"Pierre Antoine Tillard","C1H","237.15","332","309",""
"Latour Jean Remy","C1H","245.46","433","354",""
"Delage Yannick","C1H","255.29","510","407",""
"Lecocq Pierre","C1H","267.25","515","472",""
"Yohan Carrandier","C1H","279.79","621","540",""
"Nicolas Scharff","C1H","323.20","767","775",""
"Hugo Biso-Pierre Picco","C2H","258.54","432","362",""
"Laurence Pessoni","K1D","263.26","409","386",""
"Lafitte Mariehelene","K1D","276.70","377","455",""
"Laetitia Thueux","K1D","280.40","353","474",""
"Vasseur Diane","K1D","283.70","390","491",""
"Tessier Fanny","K1D","286.26","492","505",""
"Labrousse Aurelie","K1D","289.48","340","521",""
"Gili Claire","K1D","290.12","401","524",""
"Adisson Estelle","K1D","302.89","619","591",""
"Jegouzo Adeline","K1D","330.58","714","733",""
"Jonot Katia","K1D","356.91","478","869",""
"Lesseau Marine","K1D","364.70","544","909",""
"Julie Blank","K1D","394.60","457","1064",""
"Bize Freddie","K1D","489.89","769","1557",""
"Clerc Pierrealain","K1H","213.94","375","242",""
"Adrien Ponassie","K1H","220.20","250","277",""
"Jean-francois Souville","K1H","221.04","261","282",""
"Francois Giondini","K1H","221.20","289","283",""
"Antoine Egreteau","K1H","222.22","241","289",""
"Chasseloup Christophe","K1H","222.23","280","289",""
"Borde Stephane","K1H","222.81","267","291",""
"Marc Laborde","K1H","223.54","286","296",""
"Pomies Raphael","K1H","225.31","281","306",""
"Clement Praille","K1H","226.06","278","310",""
"Lapeze Edouard","K1H","226.40","445","312",""
"Naves Pierre","K1H","226.43","317","312",""
"Louis Georges Lafont","K1H","228.02","354","322",""
"Faugeres Jonathan","K1H","228.87","333","327",""
"Aymeric Maynadier","K1H","229.36","337","328",""
"Barthes Julien","K1H","229.91","280","332",""
"Lucien Delfour","K1H","231.41","294","340",""
"Josselin Bertrand","K1H","231.93","324","343",""
"Ducom Mathieu","K1H","232.95","345","349",""
"Philippe Niquet","K1H","233.66","298","354",""
"Philippe Metran","K1H","234.46","378","358",""
"Gregoire Cayez","K1H","234.98","328","361",""
"Perilhou Sebastien","K1H","235.36","328","363",""
"Tony Deshayes","K1H","235.55","347","365",""
"Roso Emilien","K1H","236.13","394","367",""
"Christophe Lacave","K1H","236.22","393","367",""
"Thibault Dufour","K1H","236.93","309","372",""
"Maelstaf Jeremy","K1H","237.06","350","372",""
"Jonathan Delagnes","K1H","238.49","353","381",""
"Stephane Labouille","K1H","238.99","358","384",""
"Thibaud Rottier","K1H","239.19","399","385",""
"Hugues Lesimple","K1H","241.12","322","396",""
"Delahaie Emmanuel","K1H","241.58","410","399",""
"Manuel Legros","K1H","241.75","301","400",""
"Herry Yohan","K1H","242.06","503","402",""
"Pourtau Stephane","K1H","242.16","435","402",""
"Feuillet Etienne","K1H","243.74","448","410",""
"Alain Minvielle","K1H","244.92","395","417",""
"Damien Caillon","K1H","246.63","443","427",""
"Nicolas Le Provost","K1H","248.11","344","436",""
"Lachenaud Jean","K1H","249.43","483","443",""
"Doat Francois","K1H","249.85","575","445",""
"Lespine Stephane","K1H","250.98","363","452",""
"Lay Matthieu","K1H","251.05","575","452",""
"Xavier Flatreau","K1H","256.08","355","481",""
"Pierrealexis Gabriel","K1H","259.70","540","501",""
"Jaffray Erwan","K1H","263.35","587","522",""
"Paul Storez","K1H","264.69","417","530",""
"Herve Launay","K1H","266.14","559","538",""
"Damien Mareau","K1H","269.05","545","555",""
"Boutonnet Bastien","K1H","272.15","514","572",""
"Merzeau Michel","K1H","272.16","437","572",""
"Fallou Etienne","K1H","275.40","521","591",""
"Jean Luc Pessoni","K1H","277.77","453","604",""
"Francois Cauchi","K1H","278.71","618","609",""
"Dutilloy Jonas","K1H","280.35","630","619",""
"Maxime Mitaut","K1H","291.69","646","683",""
"Panier Stéphane","K1H","292.81","-","689",""
"Rouger Gael","K1H","309.51","622","785",""
"Jonot Anthony","K1H","313.78","421","809",""
"Tristan Gaboriau","K1H","325.53","587","875",""
"Lesimple Marc","K1H","334.46","771","926",""
