"Championnats de France Cadets, Juniors, Vétérans, et Finale N2 Sénior - Bourg St Maurice - Juniors et Vétérans - 2003-07-19","Juniors et Vétérans","2003-07-19","Championnats de France","134"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pascal Buck","C1H","188.00","77","112",""
"Lang Paul","C1H","190.17","86","123",""
"Biselx Thomas","C1H","198.91","109","168",""
"Sennellier Jean","C1H","199.11","199","169",""
"Corrotte Valentin","C1H","200.50","155","177",""
"Samuel Wey","C1H","202.26","276","186",""
"Lepeltier Thierry","C1H","205.17","196","201",""
"Prevot Hugues","C1H","205.31","85","201",""
"Robin Clement","C1H","212.81","291","241",""
"Teiti Arnaud","C1H","213.33","299","244",""
"Gay Michel","C1H","214.71","240","251",""
"Yoann Bizot","C1H","217.56","244","265",""
"Jamain Olivier","C1H","229.55","224","328",""
"Frederic Boob","C1H","231.23","222","336",""
"Lepage Clement","C1H","249.03","129","429",""
"Olivier Gesbert","C1H","254.41","299","457",""
"Brodiez Marc","C1H","261.51","277","494",""
"Saubes Nils","C1H","290.49","236","645",""
"Christian Boob","C1H","295.26","268","669",""
"Bardet Tony","C1H","488.12","435","1673",""
"Mathieu Fougere-Thomas Fougere","C2H","213.02","146","192",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","215.29","156","203",""
"Darcillon Julien- Hemidy Francois","C2H","220.07","170","226",""
"Pichard Melaine- Rocaboy Julien","C2H","224.05","227","246",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","228.58","207","269",""
"Douville Paul- Poiret Enguerrand","C2H","287.21","294","560",""
"Clement Berger-Mathieu Villeger","C2H","484.05","252","1538",""
"Clotilde Miclo","K1D","204.60","135","149",""
"Carole Bouzidi","K1D","204.70","115","150",""
"Carole Pocard","K1D","222.48","207","238",""
"Tanet Lucie","K1D","222.75","300","239",""
"Caroline Bourry","K1D","223.23","246","242",""
"Guindeo Mariepierre","K1D","228.47","142","268",""
"Carrey Emilie","K1D","236.55","193","308",""
"Demol Brindille","K1D","239.31","377","322",""
"Anais Bouchet","K1D","240.41","260","328",""
"Paviot Laetitia","K1D","241.28","309","332",""
"Frotey Floriane","K1D","241.51","249","333",""
"Perrine Beguery","K1D","244.44","262","348",""
"Marie Borlet","K1D","252.63","292","388",""
"Marie-francoise Prigent","K1D","252.88","231","389",""
"Doby Julie","K1D","256.48","343","407",""
"Harmony Thery","K1D","256.65","267","408",""
"Roumet Marie","K1D","257.26","276","411",""
"Nathalie Gil","K1D","273.68","378","492",""
"Thiebaut Charline","K1D","278.56","230","517",""
"Yvinec Camille","K1D","279.40","218","521",""
"Anne Sophie Le Bailly","K1D","288.11","410","564",""
"Vanderkam Buisson Maelle","K1D","300.06","286","623",""
"Elodie Janotto","K1D","303.05","337","638",""
"Fanny Kerambrun","K1D","321.38","257","729",""
"Morere Julia","K1D","334.98","297","797",""
"Mylene Renaud","K1D","335.78","288","801",""
"Camille Salgues","K1D","338.35","250","814",""
"Leger Alicia","K1D","339.21","308","818",""
"Besch Eulalie","K1D","342.60","359","835",""
"Piechaczyk Laure","K1D","359.65","269","920",""
"Sarah Michel","K1D","360.18","327","922",""
"Lyphout Virginie","K1D","361.50","259","928",""
"Dejours Elsa","K1D","376.16","361","1001",""
"Laetitia Thueux","K1D","437.23","357","1305",""
"Stephanie Le Mercier","K1D","466.93","258","1453",""
"Pierre Bourliaud","K1H","172.48","70","75",""
"Michael Guyon","K1H","175.71","138","94",""
"Samuel Hernanz","K1H","176.04","125","95",""
"Yoan Minvielle","K1H","176.39","110","97",""
"Boris Neveu","K1H","178.40","112","107",""
"Xavier Jourdain","K1H","178.56","132","108",""
"Benoit Molinier","K1H","178.85","143","110",""
"Lambert Guillaume","K1H","179.62","109","114",""
"Benjamin Buys","K1H","181.42","141","124",""
"Guillaume Provost","K1H","181.88","161","127",""
"Michel Gombert","K1H","182.94","196","133",""
"Regnier Jeanmichel","K1H","183.46","156","135",""
"Menager Vincent","K1H","184.13","187","140",""
"Di Lauro Maxime","K1H","184.29","148","140",""
"Bertrand Gourrat","K1H","185.36","176","146",""
"Bertrand Bercon","K1H","185.81","158","148",""
"Michel Ragot","K1H","186.62","149","153",""
"Luc Doye","K1H","187.09","170","155",""
"Jonathan Chapatte","K1H","187.17","229","156",""
"Bigand Baptiste","K1H","187.65","173","159",""
"Benoit Fer","K1H","187.73","132","159",""
"Bertrand Lamy","K1H","188.00","154","160",""
"Dardilhac Anthony","K1H","188.38","130","162",""
"Thomas Bersinger","K1H","188.38","175","162",""
"Laurent Brissaud","K1H","188.88","300","166",""
"Erwan Cadio","K1H","189.27","204","167",""
"Nicolas Ciemniewski","K1H","189.32","192","167",""
"Portelli Yoann","K1H","190.08","115","172",""
"Aurelien Leroy","K1H","191.24","185","178",""
"Olivier Hardonniere","K1H","192.44","171","185",""
"Coiffe Florion","K1H","193.18","184","189",""
"Jeremy Wagner","K1H","193.73","180","192",""
"Louis Philippe Rigal","K1H","193.76","170","192",""
"Florent Boulet","K1H","194.00","202","193",""
"Sarazin Emmanuel","K1H","196.03","177","205",""
"Philippe Daumont","K1H","196.53","197","207",""
"Julien Lenaour","K1H","196.61","188","207",""
"Palix Lorin","K1H","196.71","215","208",""
"Thibaud Kudla","K1H","197.64","245","213",""
"Yves Debailleul","K1H","197.96","198","215",""
"Jeanluc Nitard","K1H","198.71","218","218",""
"Jeremy Moureaux","K1H","199.90","196","225",""
"Reveillere Pierrick","K1H","199.98","228","225",""
"Remi Wolf","K1H","201.62","201","235",""
"Christophe Gosselin","K1H","201.65","238","235",""
"Juguant Ludovic","K1H","201.79","-","236",""
"Raphael Reveche","K1H","201.87","97","236",""
"Franck Dessaint","K1H","204.41","230","250",""
"Beltrami Denis","K1H","207.17","218","265",""
"Le Coq Sebastien","K1H","207.99","223","270",""
"Vaillant Tiphaine","K1H","208.59","269","273",""
"Verchere Thibault","K1H","211.85","272","290",""
"Douillet Guilhem","K1H","212.52","233","295",""
"Patrick Jegou","K1H","212.75","326","296",""
"Jean Yves Prigent","K1H","212.88","245","296",""
"Keller Paco","K1H","213.26","220","298",""
"Marc Laborde","K1H","215.87","267","313",""
"Olivier Clement","K1H","216.07","234","314",""
"Patrick Gass","K1H","226.83","324","373",""
"Aupee Eric","K1H","231.62","354","399",""
"Cordonnier Raphael","K1H","233.66","108","410",""
"Sullivan Porcher","K1H","249.07","139","494",""
"Wadel Florian","K1H","253.89","194","520",""
"Sebastien Thevenin","K1H","257.42","252","540",""
"Colin Molinier","K1H","263.30","205","572",""
"Lobi Mickael","K1H","271.58","-","617",""
"Olivier Cain","K1H","280.83","254","667",""
"Yann Gudefin","K1H","287.60","231","705",""
"Nicolas Leclerc","K1H","292.12","311","729",""
"Philippe Valeri","K1H","306.76","354","810",""
"Jean Guyot","K1H","364.18","343","1123",""
"Awece Charles","K1H","417.59","-","1415",""
