"Sélectif régional - Sélestat Course 1","Sélestat","Course 1","","2003-09-21","Régional","232"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pierre Labarelle","C1H","203.82","43.0","90.0",""
"Lang Paul","C1H","207.96","86.0","115.0",""
"Loic Bourgeois","C1H","215.93","137.0","162.0",""
"Lionel Schweitzer","C1H","216.2","152.0","163.0",""
"Frederic Momot","C1H","221.42","-","194.0",""
"Alain Schirmann","C1H","223.07","79.0","204.0",""
"Benjamin Ruman","C1H","225.39","232.0","218.0",""
"Jean Marc Trenchant","C1H","231.35","-","253.0",""
"Olivier Arette Hourquet","C1H","233.15","235.0","263.0",""
"Boehler Jean","C1H","234.39","323.0","270.0",""
"David Besancon","C1H","234.5","286.0","271.0",""
"Philippe Thevenin","C1H","236.06","291.0","280.0",""
"Georgel Alexandre","C1H","236.13","312.0","280.0",""
"Julien Arribe","C1H","246.63","-","343.0",""
"Gilles Schweitzer","C1H","247.72","-","349.0",""
"Parmentelat Cyril","C1H","247.89","365.0","350.0",""
"Thomas Burgi","C1H","253.68","411.0","384.0",""
"De Berchen Sebastien","C1H","253.93","-","385.0",""
"Frederic Saguet","C1H","255.45","532.0","394.0",""
"Di Lauro Alexandre","C1H","257.23","-","405.0",""
"Pierrick Maujean","C1H","259.25","474.0","417.0",""
"Perrin Alexandre","C1H","261.29","350.0","429.0",""
"Fauste Thibaut","C1H","262.13","-","434.0",""
"Parmentelat Edouard","C1H","264.15","459.0","445.0",""
"Duchiron Stephane","C1H","264.39","-","447.0",""
"Willmann Rosso Paolo","C1H","269.47","-","477.0",""
"Humbert David","C1H","283.51","-","559.0",""
"Dieudonne Laurent","C1H","297.26","-","640.0",""
"Dazeur Enrique","C1H","301.14","-","662.0",""
"Benjamin Maubert","C1H","302.67","-","672.0",""
"Xavier Tachet","C1H","302.72","-","673.0",""
"Konieczka Felix","C1H","359.31","-","1005.0",""
"Gilles Schweitzer-Loic Sieber","C2H","237.18","196.0","223.0",""
"Schweitzer Lionel- Wey Samuel","C2H","242.95","-","256.0",""
"Duchiron Stephane- Argenson Thomas","C2H","259.39","364.0","349.0",""
"Yoan Del Rey-Arthur Grandemange","C2H","266.37","392.0","387.0",""
"Thevenin Sebastien- Thevenin Johann","C2H","279.32","-","460.0",""
"Janot Loic- Urbani Maxime","C2H","357.8","-","900.0",""
"Bley Julien- Stanik Stefan","C2H","366.91","-","951.0",""
"Sirot Henry- Da Cruz Vivien","C2H","397.27","-","1122.0",""
"Anneline Triomphe","K1D","206.24","46.0","50.0",""
"Julie Labarelle","K1D","231.5","111.0","192.0",""
"Claire Jacquet","K1D","232.17","260.0","195.0",""
"Thiebaut Charline","K1D","234.54","230.0","209.0",""
"Caroline Bourry","K1D","236.56","236.0","220.0",""
"Audrey Metz","K1D","238.4","283.0","230.0",""
"Apert Maia","K1D","239.53","304.0","237.0",""
"Sarah Michel","K1D","242.78","327.0","255.0",""
"Leleu Sophie","K1D","246.73","291.0","277.0",""
"Marlene Devillez","K1D","248.07","347.0","285.0",""
"Cornevin Angelique","K1D","248.64","276.0","288.0",""
"Celine Denizon","K1D","250.09","308.0","296.0",""
"Sylvie Metz","K1D","253.78","222.0","317.0",""
"Marechal Brigitte","K1D","254.76","331.0","322.0",""
"Cornevin Maud","K1D","255.48","257.0","326.0",""
"Burgart Valerie","K1D","256.05","328.0","329.0",""
"Anais Dieterling","K1D","257.08","401.0","335.0",""
"Anne Fischer","K1D","257.54","485.0","338.0",""
"Virginie Aubert","K1D","257.66","-","338.0",""
"Thiebaut Manon","K1D","261.83","-","362.0",""
"Emilie Saguet","K1D","263.71","-","372.0",""
"L'orphelin Lucille","K1D","264.93","535.0","379.0",""
"Marion Fischer","K1D","265.17","486.0","380.0",""
"Sylvaine Louis","K1D","267.58","460.0","394.0",""
"De Berchen Emilie","K1D","272.3","487.0","420.0",""
"Vigneron Ophelie","K1D","273.39","-","427.0",""
"Laura Fauste","K1D","274.53","-","433.0",""
"Djamila Mihoubi","K1D","276.66","573.0","445.0",""
"Rosalie Kempf","K1D","280.3","-","466.0",""
"Calypso Freichel","K1D","281.82","-","474.0",""
"Dieterling Marion","K1D","282.59","-","478.0",""
"Kaczmarkiewicz Wanda","K1D","284.69","-","491.0",""
"Lutz Olivia","K1D","285.66","625.0","495.0",""
"Emmanuelle Gigandet","K1D","286.15","582.0","499.0",""
"Camille Billerach","K1D","294.08","-","543.0",""
"Aline Grosperrin","K1D","296.05","-","554.0",""
"Vernier Perrine","K1D","297.51","-","562.0",""
"Dardanne Sophie","K1D","302.95","756.0","593.0",""
"Bergdoll Lucie","K1D","305.55","-","607.0",""
"Falcetta Charlotte","K1D","307.11","681.0","616.0",""
"Poiteaux Mariececile","K1D","308.36","-","623.0",""
"Harmony Thery","K1D","310.86","267.0","637.0",""
"Nicolle Marianne","K1D","312.03","-","643.0",""
"Haab Claire","K1D","314.92","-","660.0",""
"Devillez Nadine","K1D","320.48","-","691.0",""
"Marie Ringeisen","K1D","321.6","413.0","698.0",""
"Cindy Beche","K1D","322.99","-","706.0",""
"Sucker Emilie","K1D","338.29","-","791.0",""
"Oudet Virginie","K1D","349.75","-","856.0",""
"Bernachon Sidonie","K1D","350.01","-","857.0",""
"Melanie Jambeau","K1D","362.22","-","925.0",""
"Poix Christine","K1D","372.34","-","982.0",""
"Lalouani Lambria","K1D","381.85","-","1036.0",""
"Argenson Elise","K1D","409.86","-","1193.0",""
"Trujillo-Munoz Flora","K1D","542.1","-","1935.0",""
"Dufour Vanessa","K1D","574.5","-","2116.0",""
"Frederic Walczak","K1H","190.84","31.0","71.0",""
"Julien Arribe","K1H","195.13","54.0","97.0",""
"Di Lauro Maxime","K1H","198.59","139.0","119.0",""
"Johan De Mareuil","K1H","201.43","118.0","136.0",""
"Mehdi Amini","K1H","208.12","290.0","177.0",""
"Sylvain Herrbach","K1H","208.31","184.0","179.0",""
"Mathieu Bandelier","K1H","208.63","251.0","180.0",""
"Bazin Patryce","K1H","208.64","133.0","180.0",""
"Michel Ragot","K1H","209.6","147.0","187.0",""
"Jerome Olhagaray","K1H","210.96","256.0","195.0",""
"Perrin Alexandre","K1H","214.33","266.0","215.0",""
"Jules Bevalot","K1H","215.12","250.0","220.0",""
"Loic Sieber","K1H","216.09","-","227.0",""
"Nicolas Ciemniewski","K1H","216.62","171.0","230.0",""
"Labouille Yannick","K1H","217.03","284.0","232.0",""
"De Berchen Sebastien","K1H","219.0","188.0","245.0",""
"Guillaume Bandelier","K1H","220.41","-","253.0",""
"David Beyer","K1H","220.72","204.0","255.0",""
"Guillaume Huppert","K1H","221.79","406.0","262.0",""
"Florent Tamburini","K1H","222.68","330.0","267.0",""
"Pierson Cyril","K1H","223.0","297.0","269.0",""
"Bourgeois Cedric","K1H","223.75","-","273.0",""
"Jeanmaire Cyril","K1H","224.08","223.0","276.0",""
"Jeremy Poux","K1H","225.2","259.0","283.0",""
"Christophe Billaud","K1H","226.33","284.0","289.0",""
"Bruet Aurelien","K1H","226.64","297.0","292.0",""
"Noble Aurelien","K1H","226.88","373.0","293.0",""
"Revelle Yohann","K1H","227.57","341.0","297.0",""
"Dallazuana Anthony","K1H","228.51","306.0","303.0",""
"Ricci Miege Raphael","K1H","229.35","379.0","309.0",""
"Nicolas Mangeolle","K1H","229.58","394.0","310.0",""
"Dalla-Zuana Christophe","K1H","230.51","244.0","316.0",""
"William Boutet","K1H","230.86","427.0","318.0",""
"Pascal Philip","K1H","232.32","-","327.0",""
"Nathan Barbier","K1H","234.38","407.0","339.0",""
"Paolo Willmann Rosso","K1H","235.6","-","347.0",""
"Duchiron Stephane","K1H","236.58","-","353.0",""
"Falcetta Thomas","K1H","237.28","314.0","358.0",""
"Ciemniewski Olivier","K1H","239.02","508.0","368.0",""
"Dany Frederic","K1H","239.21","-","369.0",""
"Julien Bley","K1H","239.36","-","370.0",""
"Philippe Devillers","K1H","239.94","-","374.0",""
"Marc Jegou","K1H","241.7","-","385.0",""
"Hubschwerlin Pierre","K1H","242.34","556.0","388.0",""
"Aubert Anthony","K1H","243.61","409.0","396.0",""
"Thomas Michel","K1H","244.72","290.0","403.0",""
"Nicolle Xavier","K1H","244.79","453.0","403.0",""
"Patrick Thevenin","K1H","245.13","412.0","405.0",""
"Kevin Burgi","K1H","245.42","-","408.0",""
"Hayot Sylvain","K1H","247.66","367.0","421.0",""
"Pollet Manu","K1H","248.19","579.0","425.0",""
"Poix Stanislas","K1H","250.91","551.0","442.0",""
"Deletre Nicolas","K1H","252.57","-","452.0",""
"Argenson Thomas","K1H","252.63","-","452.0",""
"Meissner Boris","K1H","254.68","-","465.0",""
"Romain Buchot","K1H","255.14","551.0","468.0",""
"David Sebastien","K1H","255.25","-","468.0",""
"Arette Hourquet Olivier","K1H","255.63","-","470.0",""
"Bizzo Sebastien","K1H","255.99","-","473.0",""
"Richard Carpentier","K1H","256.02","673.0","473.0",""
"Biton Jonas","K1H","256.12","479.0","474.0",""
"Adam Pascal","K1H","256.89","-","478.0",""
"Wendling Valentin","K1H","258.17","-","486.0",""
"Stefan Stanik","K1H","258.56","-","488.0",""
"Hamann Damien","K1H","259.05","552.0","492.0",""
"Tosser Roussey Loic","K1H","259.11","-","492.0",""
"Eddy Cassard","K1H","259.24","462.0","493.0",""
"Tachet Xavier","K1H","259.83","583.0","496.0",""
"Audren Schiel","K1H","259.93","-","498.0",""
"Peterschmitt Pierre Antoine","K1H","260.1","-","499.0",""
"Vincent Benjamin","K1H","262.31","-","512.0",""
"Jacquet Kevin","K1H","262.33","-","512.0",""
"Damien Burteaux","K1H","262.38","1738.0","512.0",""
"Sandrin Hugo","K1H","262.48","-","512.0",""
"Hitou Sofiane","K1H","264.55","-","526.0",""
"Guerrero Juan","K1H","265.93","-","534.0",""
"Chapellier Pierre Emmanuel","K1H","266.5","-","537.0",""
"Frering Gilles","K1H","270.63","-","564.0",""
"Rumeau Martin","K1H","271.2","240.0","567.0",""
"Olivier Urbain","K1H","271.37","278.0","568.0",""
"Boutter Victor","K1H","271.77","-","570.0",""
"Humbert David","K1H","271.88","-","570.0",""
"Arthur Georges","K1H","274.15","274.0","585.0",""
"Emmanuel Walczak","K1H","274.28","-","586.0",""
"Bietry Julien","K1H","274.35","967.0","586.0",""
"Aubert Louis","K1H","274.47","-","587.0",""
"Suss Bertrand","K1H","276.16","-","598.0",""
"Deswarte Antoine","K1H","277.67","-","607.0",""
"Guillaume Carpentier","K1H","278.56","1236.0","612.0",""
"Alban Bourdoiseau","K1H","278.88","-","614.0",""
"Brette Julien","K1H","279.67","-","619.0",""
"Gangloff Alexandre","K1H","281.19","-","628.0",""
"Bonnot Cyrille","K1H","282.06","-","634.0",""
"Charlot Bertrand","K1H","282.11","-","634.0",""
"Humbert Emmanuel","K1H","282.38","-","635.0",""
"Beauce Antoine","K1H","286.99","-","664.0",""
"Gautier Boudat","K1H","288.81","-","675.0",""
"Emmanuel Triomphe","K1H","289.28","-","678.0",""
"Vincentz Victor","K1H","289.98","-","683.0",""
"Konieczka Felix","K1H","290.28","-","684.0",""
"Bolzani Fabien","K1H","290.62","834.0","686.0",""
"Housset Nicolas","K1H","291.57","-","692.0",""
"Bajolet Julien","K1H","293.21","-","702.0",""
"Vincent Bajolot","K1H","293.31","-","703.0",""
"Arthur Veber","K1H","293.72","-","706.0",""
"Thomas Bouquet","K1H","301.66","-","755.0",""
"Corrotte Gabin","K1H","304.77","-","774.0",""
"Henriot Frederic","K1H","306.23","-","783.0",""
"Burger Guillaume","K1H","307.93","-","793.0",""
"Jedynak Eric","K1H","309.42","-","802.0",""
"Wendling Jean-Mathieu","K1H","312.24","-","821.0",""
"Courtier Jeremy","K1H","315.32","622.0","839.0",""
"Thiaville Julien","K1H","316.02","-","843.0",""
"Alix Pouillard","K1H","317.27","-","851.0",""
"Bonnot Aurélien","K1H","324.32","-","895.0",""
"Edouard Steib","K1H","325.76","-","904.0",""
"Cherqui Thiebault","K1H","326.28","-","907.0",""
"Stouls Gaetan","K1H","327.03","-","912.0",""
"Fox Michel","K1H","327.07","-","912.0",""
"Collet Timothe","K1H","328.19","-","918.0",""
"Micaleff Guillaume","K1H","328.42","-","920.0",""
"Laithier Francois","K1H","330.48","-","933.0",""
"Arthur Sucker","K1H","339.51","-","989.0",""
"Kornalewski Remi","K1H","350.25","-","1055.0",""
"Thomann Simon","K1H","351.51","-","1063.0",""
"Leclerc Jerome","K1H","352.06","-","1066.0",""
"Bevalot Bernard","K1H","356.54","-","1094.0",""
"Hug Laurent","K1H","356.85","-","1096.0",""
"Dufond Kevin","K1H","365.35","-","1148.0",""
"Bury Flavien","K1H","371.46","-","1186.0",""
"Lemaire Marc","K1H","377.56","-","1223.0",""
"Beltzung Gaetan","K1H","398.27","-","1351.0",""
"Sander Franck","K1H","403.16","-","1381.0",""
"Misslin Simon","K1H","493.56","-","1940.0",""
"Thomann Florian","K1H","504.14","-","2005.0",""
"Cheval Kevin","K1H","538.75","-","2219.0",""
