"CHAMPIONNAT DEPARTEMENTAL SLALOM - Mur De Bretagne St Aignan - 2003-10-19","Course 1","2003-10-19","Régional","116"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emeric Bertrand","C1H","203.98","141","153",""
"Lepage Clement","C1H","219.95","129","249",""
"Jonathan Marc","C1H","226.21","295","287",""
"Didier Botrel","C1H","226.56","212","289",""
"Cedric Collet","C1H","237.85","309","355",""
"Julien Rocaboy","C1H","238.49","386","360",""
"Yvan Raoult","C1H","238.87","404","362",""
"Le Gallic Thomas","C1H","244.42","526","395",""
"Olivier Gerbeaux","C1H","245.76","462","402",""
"Le Breton Arnaud","C1H","248.61","-","420",""
"Mainguy Xavier","C1H","252.20","-","442",""
"Le Guyader Jeanmarie","C1H","266.56","535","527",""
"Gelard Stéphane","C1H","271.36","-","555",""
"Cotto Didier","C1H","333.58","-","926",""
"Pichard Melaine- Rocaboy Julien","C2H","234.59","226","272",""
"Botrel Didier- Tinevez Lionel","C2H","246.49","-","340",""
"Mahe Alan- Le Gallic Thomas","C2H","255.22","-","390",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","257.61","-","403",""
"Elisa Venet","K1D","227.25","177","231",""
"Fanny Kerambrun","K1D","236.17","257","281",""
"Stephanie Le Mercier","K1D","241.47","258","312",""
"Bernhard Cecile","K1D","244.08","355","327",""
"Kristell Bervet","K1D","251.72","489","370",""
"Erell Chardon Vivier","K1D","252.73","-","376",""
"Maray Helene","K1D","259.36","545","413",""
"Guelou Typhaine","K1D","262.61","-","432",""
"Vincent Marie","K1D","267.68","255","461",""
"Chevalier Yvane","K1D","271.86","472","484",""
"Laetitia Odermatt","K1D","277.91","-","519",""
"Lebosse Celine","K1D","283.45","-","551",""
"Le Maux Aurore","K1D","296.70","686","626",""
"Cyrielle Pichard","K1D","304.92","-","673",""
"Kerogues Julie","K1D","322.28","-","771",""
"Paulet Morgane","K1D","324.84","-","786",""
"Deborah Larsonneur","K1D","363.35","-","1005",""
"Briand Agathe","K1D","364.58","-","1012",""
"Robert Virginie","K1D","369.11","-","1038",""
"Blais Aurore","K1D","419.70","-","1326",""
"Jehanin Caroline","K1D","474.88","-","1639",""
"Herlido Camille","K1D","508.01","-","1828",""
"Alain Droniou","K1H","202.62","190","206",""
"Nicolas Carduner","K1H","202.64","131","206",""
"Franck Delachair","K1H","203.09","127","209",""
"Lionel Tinevez","K1H","204.14","173","216",""
"Pierre Marie Roussel","K1H","205.14","195","222",""
"Sebastien Combot","K1H","205.53","107","224",""
"Le Calve Yann","K1H","207.14","147","234",""
"Sullivan Porcher","K1H","210.05","139","253",""
"Benoit Guillaume","K1H","210.60","258","256",""
"Zoungrana Sebastien","K1H","210.97","123","258",""
"Laurent Le Touze","K1H","212.33","-","267",""
"Olivier Clement","K1H","213.05","234","271",""
"Patrick Jegou","K1H","213.43","309","273",""
"Gwenael Marquer","K1H","215.24","228","285",""
"Chaumier Florian","K1H","220.16","380","316",""
"Le Troadec Brendan","K1H","220.24","257","316",""
"Anthony Cadoret","K1H","220.75","346","319",""
"Le Mercier David","K1H","221.48","245","324",""
"Cadoudal Vincent","K1H","222.96","399","334",""
"Ollivier Riwal","K1H","225.49","488","349",""
"Le Feuvre Nicolas","K1H","225.57","533","350",""
"Regis Cabel","K1H","227.11","397","360",""
"Melaine Pichard","K1H","227.40","-","361",""
"Le Corvaisier Fabien","K1H","227.61","-","362",""
"Martin Fabien","K1H","230.61","-","382",""
"Garzuel Erwan","K1H","231.28","561","385",""
"Prigent Mathieu","K1H","233.28","421","398",""
"Pannetier Brice","K1H","233.69","437","400",""
"Le Bris Pierrick","K1H","235.82","394","413",""
"Lepage Pierre","K1H","235.83","-","414",""
"Simon Joseph","K1H","237.25","561","423",""
"Pierre Le Clezio","K1H","239.59","419","437",""
"Melen Pilorge","K1H","240.21","-","442",""
"Thierry Sebastien","K1H","242.59","437","456",""
"Van Dijkhuizen Sylvain","K1H","243.12","-","459",""
"Llido Florian","K1H","243.33","-","461",""
"Le Guyader Julien","K1H","243.89","-","465",""
"Le Mee Philippe","K1H","246.04","-","478",""
"Paul Fievet","K1H","246.25","756","479",""
"Le Bihan Yann","K1H","246.75","-","482",""
"Pierreyves Hellard","K1H","247.03","528","484",""
"Corbeau Benjamin","K1H","247.44","1303","486",""
"Le Guyader Mathieu","K1H","248.51","-","493",""
"Baradel Yann","K1H","248.85","493","495",""
"Morvan Felix","K1H","249.73","-","501",""
"Priol Yoann","K1H","252.37","568","517",""
"Alain Le Moel","K1H","257.32","-","549",""
"Collin Maxime","K1H","258.58","-","556",""
"Alexandre Rivolet","K1H","259.15","849","560",""
"Le Goas Cyril","K1H","267.23","777","610",""
"Hamon Florian","K1H","267.28","-","611",""
"Denoual Jean Marie","K1H","269.30","-","623",""
"Houel Nicolas","K1H","269.72","-","626",""
"Collins Xavier","K1H","270.90","-","634",""
"Cotto Jeremy","K1H","271.27","-","636",""
"David Julou","K1H","276.87","-","671",""
"Bigorne Florent","K1H","284.09","-","716",""
"Le Roux Vincent","K1H","292.28","-","767",""
"Dahirel Jeremie","K1H","295.26","-","786",""
"Cotto Didier","K1H","302.95","-","834",""
"Guinard Fabien","K1H","303.03","-","835",""
"Le Jacques François","K1H","303.77","-","839",""
"Theze Jean-Marc","K1H","304.79","-","846",""
"Verre Brendan","K1H","305.83","-","852",""
"Perret Herve","K1H","308.22","400","866",""
"Geist Damien","K1H","309.22","-","873",""
"Fejean Benjamin","K1H","310.71","-","883",""
"Beguinel Simon","K1H","323.08","-","960",""
"Briand Mathieu","K1H","324.36","-","968",""
"Le Jeune Gaëtan","K1H","332.65","-","1019",""
"Jehannin Steven","K1H","344.36","-","1093",""
"Sartore Romain","K1H","344.62","-","1094",""
"William Basset","K1H","345.75","-","1101",""
"Renouard Cédric","K1H","350.04","-","1128",""
"Cazuguel Samuel","K1H","354.95","-","1159",""
"Le Guern Gaetan","K1H","408.14","-","1492",""
