"SELECTIF REGIONAL - Ancerville - 2003-11-09","Course 1","2003-11-09","Régional","203"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lang Paul","C1H","165.93","64","155",""
"Loic Bourgeois","C1H","166.64","137","160",""
"Stephane Abadie","C1H","173.17","100","209",""
"Del Rey Emmanuel","C1H","174.79","166","222",""
"Cubizolles Sebastien","C1H","177.31","246","241",""
"Olivier Arette Hourquet","C1H","179.01","235","253",""
"Loic Marechal","C1H","182.92","267","282",""
"Julien Arribe","C1H","183.09","-","283",""
"David Besancon","C1H","183.37","267","285",""
"Georgel Alexandre","C1H","184.31","271","293",""
"Poiret Enguerrand","C1H","185.59","373","302",""
"Boisdanghien Clement","C1H","185.86","592","304",""
"Philippe Thevenin","C1H","188.14","283","321",""
"Philippe Senechal","C1H","189.18","327","329",""
"Parmentelat Cyril","C1H","190.06","304","335",""
"Duchiron Stephane","C1H","190.15","377","337",""
"Maxime Cousin","C1H","190.58","220","340",""
"Pierrick Maujean","C1H","191.09","376","343",""
"Geoffroy Schwentzel","C1H","191.69","452","348",""
"Guillaume Doutreix","C1H","191.69","378","348",""
"Frederic Saguet","C1H","192.33","382","352",""
"Louison Tanet","C1H","193.68","480","362",""
"Allemandou Fabien","C1H","194.88","367","371",""
"Perrin Alexandre","C1H","195.66","334","378",""
"Benjamin Maubert","C1H","196.19","550","381",""
"Jose Zouaoui","C1H","200.53","535","413",""
"Fauste Thibaut","C1H","200.87","338","417",""
"De Berchen Sebastien","C1H","201.53","376","421",""
"Piermay Mathieu","C1H","205.09","-","448",""
"Maraquin Guillaume","C1H","212.60","-","504",""
"Heilles Fabien","C1H","213.17","429","508",""
"William Ozanne","C1H","214.58","-","519",""
"Thomas Argenson","C1H","222.65","-","580",""
"Parmentelat Edouard","C1H","248.71","387","774",""
"Guerinet Cedric","C1H","260.83","1218","865",""
"Prevot Hugues","C1H","267.62","85","915",""
"Xavier Tachet","C1H","280.44","1003","1011",""
"Ganthier Gregory- Reby Jeancharles","C2H","184.50","229","232",""
"Duchiron Stephane- Argenson Thomas","C2H","194.17","320","301",""
"Yoan Del Rey-Arthur Grandemange","C2H","204.43","347","373",""
"Thibault Bigeon-Antoine Decambon","C2H","205.66","-","382",""
"Bazin Patryce- De Mareuil Johan","C2H","208.14","-","400",""
"Thevenin Sebastien- Thevenin Johann","C2H","208.55","419","403",""
"Lambert Kevin- Lacour Gregory","C2H","213.29","-","437",""
"Allemandou Fabien- Darcillon Bastien","C2H","213.50","517","438",""
"Kudla Romain- Kudla Thibaud","C2H","219.42","-","480",""
"Janot Loic- Urbani Maxime","C2H","225.71","617","525",""
"Claire Jacquet","K1D","180.89","222","206",""
"Thiebaut Charline","K1D","183.39","229","224",""
"Arribe Catherine","K1D","183.69","173","225",""
"Ceccarelli Anais","K1D","191.21","360","280",""
"Caroline Bourry","K1D","192.92","224","292",""
"Celine Denizon","K1D","193.92","289","299",""
"Mylene Renaud","K1D","195.14","294","308",""
"Caroline Loir","K1D","195.47","301","310",""
"Harmony Thery","K1D","199.60","267","339",""
"Vernier Perrine","K1D","199.66","386","340",""
"Cornevin Maud","K1D","199.76","257","340",""
"Bruet Amelie","K1D","200.19","257","343",""
"Anais Dieterling","K1D","201.27","367","351",""
"Demol Brindille","K1D","204.19","349","372",""
"Emilie Saguet","K1D","205.60","397","382",""
"Djamila Mihoubi","K1D","207.22","439","393",""
"Marechal Brigitte","K1D","207.81","321","398",""
"Laura Fauste","K1D","214.88","358","448",""
"De Berchen Emilie","K1D","217.90","393","469",""
"Rosalie Kempf","K1D","219.83","505","484",""
"Cloe Hun","K1D","221.53","589","496",""
"Pauline Pillion","K1D","238.51","717","616",""
"Dieterling Marion","K1D","246.28","631","672",""
"Cindy Beche","K1D","250.45","848","702",""
"Thiebaut Manon","K1D","252.54","340","717",""
"Aline Grosperrin","K1D","256.60","-","746",""
"Camille Billerach","K1D","260.06","836","770",""
"Thierry Terangui","K1D","265.10","-","806",""
"Bergdoll Lucie","K1D","265.51","809","809",""
"Falcetta Charlotte","K1D","268.65","683","832",""
"Argenson Elise","K1D","270.21","1227","843",""
"Melanie Jambeau","K1D","275.30","920","879",""
"Lise Cliquet","K1D","344.35","-","1372",""
"Lucas Melanie","K1D","357.61","-","1466",""
"Bourbon Julie","K1D","360.22","-","1485",""
"Sophie Balmossiere","K1D","392.39","-","1714",""
"Julien Arribe","K1H","152.28","53","110",""
"Johan De Mareuil","K1H","159.88","127","169",""
"Oswald Besch","K1H","160.88","237","177",""
"Potelle Pierreandre","K1H","162.74","-","193",""
"Massias Aurelien","K1H","162.80","172","193",""
"Bazin Patryce","K1H","164.61","150","207",""
"Jerome Olhagaray","K1H","165.17","220","212",""
"Michel Ragot","K1H","166.22","161","220",""
"Bourgeois Cedric","K1H","166.54","240","222",""
"Kevine Cliquet","K1H","166.60","208","223",""
"Michel Gombert","K1H","166.63","175","223",""
"De Berchen Sebastien","K1H","166.99","166","225",""
"Arthur Georges","K1H","167.78","254","232",""
"Perrin Alexandre","K1H","168.58","215","238",""
"Di Lauro Alexandre","K1H","168.72","206","240",""
"Rumeau Martin","K1H","169.23","218","243",""
"Christophe Siffert","K1H","169.79","164","247",""
"Mehdi Amini","K1H","170.52","178","253",""
"Piermay Mathieu","K1H","170.77","229","255",""
"Sebastien Serot","K1H","170.83","285","256",""
"Ragot Laurent","K1H","171.09","195","257",""
"Aubertin Philippe","K1H","171.20","-","259",""
"Alexandre Guerinet","K1H","171.28","260","260",""
"David Beyer","K1H","172.33","199","267",""
"Lang Paul","K1H","173.34","-","275",""
"Demange Marc","K1H","173.38","216","275",""
"Guillaume Maraquin","K1H","173.78","241","279",""
"Pierson Cyril","K1H","173.96","267","281",""
"Florent Tamburini","K1H","174.53","253","285",""
"Quentin Vallee","K1H","174.73","325","286",""
"Antoine Dufrene","K1H","175.86","249","295",""
"Thibaud Kudla","K1H","176.28","233","299",""
"Yves Moreno","K1H","176.48","379","300",""
"Revelle Yohann","K1H","176.69","303","302",""
"Nicolas Leclerc","K1H","177.19","304","305",""
"Franck Dessaint","K1H","177.77","226","310",""
"Bourgeois Loic","K1H","177.90","-","311",""
"Savart Matthieu","K1H","178.32","338","314",""
"Olivier Urbain","K1H","178.33","279","314",""
"Arette Hourquet Olivier","K1H","178.77","400","318",""
"Beghoura Yoni","K1H","179.12","380","321",""
"Creuza Jeremy","K1H","179.32","379","322",""
"Bastien Darcillon","K1H","180.17","362","329",""
"Fatah Samy","K1H","180.42","335","331",""
"Nicolas Mangeolle","K1H","180.61","328","332",""
"Besancon David","K1H","181.07","-","337",""
"Guillaume Huppert","K1H","181.10","313","337",""
"Stephane Rousse","K1H","182.53","354","348",""
"Patrick Gass","K1H","182.82","288","350",""
"Ricci Miege Raphael","K1H","183.01","310","351",""
"Guerin Alexandre","K1H","183.53","356","356",""
"Hayot Sylvain","K1H","183.76","322","358",""
"Guillaume Sebastien","K1H","184.08","-","360",""
"Ladouce Romain","K1H","185.00","353","367",""
"Julien Bley","K1H","186.64","417","380",""
"Brouillot Mathieu","K1H","187.04","620","383",""
"Kevin Burgi","K1H","187.28","389","384",""
"Fanoi Vincent","K1H","188.46","-","395",""
"Stefan Stanik","K1H","188.60","611","396",""
"Aubert Anthony","K1H","189.10","379","399",""
"Bigeon Thibault","K1H","189.56","521","402",""
"Louison Tanet","K1H","189.86","-","405",""
"Geoffroy Schwentzel","K1H","189.86","-","405",""
"Emmanuel Walczak","K1H","190.00","-","406",""
"Soulon Florian","K1H","191.09","445","415",""
"Arribe Jeanmarc","K1H","191.13","-","415",""
"Lillette Mael","K1H","191.55","-","418",""
"Philippe Godinat","K1H","193.20","-","431",""
"Antoine Decambon","K1H","193.23","442","431",""
"Billel Khenchouche","K1H","194.46","859","441",""
"Arthur Sucker","K1H","194.51","685","441",""
"Guerrero Juan","K1H","194.86","-","445",""
"Miler Thomas","K1H","195.22","437","447",""
"Romain Viry","K1H","195.80","519","451",""
"Gacoin Stephane","K1H","196.77","469","459",""
"Collinet Matthieu","K1H","198.68","465","475",""
"Damien Burteaux","K1H","201.11","521","494",""
"Senechal Alexis","K1H","201.14","469","494",""
"Chapellier Pierre Emmanuel","K1H","201.75","605","498",""
"Hamann Damien","K1H","202.04","523","500",""
"Audren Schiel","K1H","202.22","634","502",""
"Parmentelat Steve","K1H","202.44","-","504",""
"Vallee Mathieu","K1H","203.56","-","513",""
"Jacquet Kevin","K1H","203.66","-","514",""
"Tachet Xavier","K1H","203.78","494","514",""
"Frering Gilles","K1H","204.10","814","517",""
"Gangloff Alexandre","K1H","205.34","657","526",""
"Hitou Sofiane","K1H","209.10","601","556",""
"Duparcq Romain","K1H","213.16","653","587",""
"Diemert Maxime","K1H","213.80","643","593",""
"Gautherot Mathieu","K1H","213.97","-","594",""
"Courtier Jeremy","K1H","215.96","527","610",""
"Ladouce Sebastien","K1H","216.31","-","613",""
"Renaut Brice","K1H","216.81","-","616",""
"Vincent Bajolot","K1H","219.41","745","636",""
"Sassatelli Nicolas","K1H","220.59","659","646",""
"Thomann Simon","K1H","221.42","-","653",""
"Gautier Boudat","K1H","223.26","639","668",""
"Kudla Romain","K1H","224.08","256","673",""
"Bajolet Julien","K1H","225.32","-","683",""
"Bolzani Fabien","K1H","226.24","-","691",""
"Noble Aurelien","K1H","234.28","336","753",""
"Thibault Gautherot","K1H","237.27","-","777",""
"Joel Ramillon","K1H","237.34","1250","778",""
"Aurelien Desgrez","K1H","237.77","-","781",""
"Romain Chane","K1H","237.81","-","781",""
"Kaeser Guillaume","K1H","242.47","-","818",""
"Arthur Veber","K1H","243.37","1569","825",""
"Houdant Batiste","K1H","245.81","661","844",""
"Bontemps Romain","K1H","255.94","-","924",""
"Thomann Florian","K1H","256.09","-","925",""
"Oernd Alexandre","K1H","257.02","-","932",""
"Ragueneau Victor","K1H","263.06","-","980",""
"Fanoi Benoit","K1H","268.52","-","1022",""
"Gombault Julien","K1H","276.02","-","1081",""
"Carisey Pierre","K1H","282.29","709","1130",""
"Simon Nathan","K1H","283.39","-","1139",""
"Pereira Gilles","K1H","285.29","-","1154",""
"Albertelli Romain","K1H","315.82","-","1393",""
"Juillet Edouard","K1H","358.02","-","1724",""
