"Sélectif régional de St JEAN - St Jean D'angely Course 1","St Jean D'angely","Course 1","","2003-12-14","Régional","153"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Cedric Forgit","C1H","192.91","171.0","151.0",""
"Christophe Marechal","C1H","198.4","247.0","183.0",""
"Anthony Colin","C1H","206.72","154.0","230.0",""
"Raphael Reveche","C1H","207.49","322.0","235.0",""
"Champagne Sylvain","C1H","210.14","301.0","250.0",""
"Frederic Boob","C1H","213.42","227.0","269.0",""
"Gegat Mathieu","C1H","214.41","215.0","275.0",""
"Christian Boob","C1H","221.99","261.0","319.0",""
"Granger Pierre Emmanuel","C1H","233.89","347.0","388.0",""
"Nils Mosch","C1H","237.11","568.0","407.0",""
"Olivier Leboeuf","C1H","240.78","325.0","428.0",""
"Sylvain Brunet","C1H","247.4","-","466.0",""
"Allemandou Fabien","C1H","247.53","353.0","467.0",""
"Martin Braud","C1H","252.79","135.0","498.0",""
"Deguil Josselin","C1H","270.12","483.0","597.0",""
"Maxime Herve","C1H","278.29","-","645.0",""
"Chamouleau Emilie","C1H","290.83","-","718.0",""
"Braud Sylvain","C1H","294.62","432.0","740.0",""
"Martin Thomas","C1H","294.89","-","741.0",""
"Come Hebert","C1H","375.26","-","1206.0",""
"Coquet Florent","C1H","578.36","-","2383.0",""
"Cedric Forgit-Martin Braud","C2H","190.31","26.0","85.0",""
"Clement Berger-Mathieu Villeger","C2H","219.24","225.0","245.0",""
"Mathieu Fougere-Thomas Fougere","C2H","220.05","156.0","249.0",""
"Christian Boob-Frederic Boob","C2H","228.84","261.0","298.0",""
"Augu Christophe- Reveche Raphael","C2H","239.41","-","357.0",""
"Thibault Bigeon-Antoine Decambon","C2H","275.85","397.0","558.0",""
"Barbier Cyril- Mouroux Jeff","C2H","283.68","-","601.0",""
"Thomas Rolando-Adrien Caillaud","C2H","294.06","-","659.0",""
"Deguil Josselin- Braud Sylvain","C2H","302.59","-","706.0",""
"Allemandou Fabien- Darcillon Bastien","C2H","332.51","426.0","871.0",""
"Georget Renaud- Philippe Antoine","C2H","362.6","-","1038.0",""
"Courouble Yohann- Huet Sylvain","C2H","685.62","-","2823.0",""
"Emilie Chamouleau","K1D","207.46","162.0","181.0",""
"Claire Landrin","K1D","215.03","80.0","222.0",""
"Marie Borlet","K1D","217.71","302.0","236.0",""
"Lyphout Virginie","K1D","222.63","239.0","264.0",""
"Laura Lyphout","K1D","225.8","240.0","281.0",""
"Audrey Astier Perret","K1D","238.03","324.0","349.0",""
"Tifenn Van Delft","K1D","240.94","311.0","365.0",""
"Christelle Macaire","K1D","244.5","282.0","385.0",""
"Defoix Angelique","K1D","256.2","383.0","450.0",""
"Nathalie Gil","K1D","258.18","334.0","461.0",""
"Labrousse Aurelie","K1D","263.3","319.0","489.0",""
"Lafrais Sandra","K1D","268.15","-","515.0",""
"Tessier Fanny","K1D","271.23","469.0","532.0",""
"Julie Blank","K1D","273.98","404.0","547.0",""
"Ancellin Marie","K1D","276.16","392.0","560.0",""
"Anne Sophie Le Bailly","K1D","276.26","356.0","560.0",""
"Justine Baudu","K1D","282.21","-","593.0",""
"Blanloeuil Sandra","K1D","293.16","-","654.0",""
"Marine Joslin","K1D","316.78","690.0","785.0",""
"Dos Santos Eva","K1D","337.69","1357.0","900.0",""
"Le Furaut Nathalie","K1D","483.88","-","1709.0",""
"Duval Deplanne Aline","K1D","506.58","-","1834.0",""
"Lefevre Mathilde","K1D","551.51","-","2083.0",""
"Delanette Ophélie","K1D","614.61","-","2432.0",""
"Chauvin Maud","K1D","700.22","-","2904.0",""
"Christophe Augu","K1H","171.32","38.0","75.0",""
"Yoann Gottardo","K1H","175.01","148.0","98.0",""
"Thibaud Delaunay","K1H","175.42","59.0","100.0",""
"Raphael Reveche","K1H","176.03","97.0","104.0",""
"David Riffaud","K1H","178.25","173.0","117.0",""
"Nicolas Labat","K1H","181.55","114.0","138.0",""
"Christophe Marechal","K1H","183.53","30.0","150.0",""
"Menager Vincent","K1H","184.58","159.0","156.0",""
"Goulwen Chapelier","K1H","189.69","258.0","187.0",""
"Julien Beltrami","K1H","190.69","165.0","192.0",""
"Antoine Egreteau","K1H","190.96","207.0","194.0",""
"Pascal Poitiers","K1H","192.91","193.0","206.0",""
"Borde Stephane","K1H","195.82","252.0","224.0",""
"Remy Faucon","K1H","196.96","267.0","231.0",""
"Jeremiah Mosch","K1H","197.71","284.0","235.0",""
"Thibault Dufour","K1H","200.47","306.0","252.0",""
"Stephane Labouille","K1H","200.49","277.0","252.0",""
"Maelstaf Jeremy","K1H","200.61","287.0","253.0",""
"Clement Praille","K1H","202.19","266.0","262.0",""
"Philippe Niquet","K1H","202.72","268.0","266.0",""
"Jean-francois Souville","K1H","204.03","244.0","274.0",""
"Etienne Baudu","K1H","204.59","-","277.0",""
"Thibaud Rottier","K1H","205.72","333.0","284.0",""
"Chasseloup Christophe","K1H","206.1","252.0","286.0",""
"Dubost Antoine","K1H","208.4","287.0","300.0",""
"Nicolas Arnoult","K1H","209.47","290.0","307.0",""
"Paul Brier","K1H","210.23","280.0","312.0",""
"Nicolas Cerisier","K1H","211.71","-","321.0",""
"Philippe Metran","K1H","212.05","345.0","323.0",""
"Ludovic Di Nisi","K1H","213.45","-","331.0",""
"Ducom Mathieu","K1H","215.65","308.0","345.0",""
"Bastien Darcillon","K1H","215.99","329.0","347.0",""
"Ronan Lucas","K1H","216.7","278.0","351.0",""
"Mouroux Jeff","K1H","217.93","382.0","359.0",""
"Paul Storez","K1H","218.8","305.0","364.0",""
"Jeremy Vibert","K1H","219.44","259.0","368.0",""
"Delahaie Emmanuel","K1H","221.3","291.0","379.0",""
"Jean-noel Biteau","K1H","222.32","420.0","385.0",""
"Viratelle Vincent","K1H","224.24","392.0","397.0",""
"Xavier Flatreau","K1H","224.83","369.0","401.0",""
"Bastien Pailler","K1H","224.92","316.0","401.0",""
"Pierre Dehaudt","K1H","225.67","-","406.0",""
"Julien Signarbieux","K1H","225.89","-","407.0",""
"Lecluse Arnaud","K1H","227.01","-","414.0",""
"Sebastien Chauvet","K1H","227.7","-","418.0",""
"Guillaume Chasseriault","K1H","230.75","-","437.0",""
"Caillaud Adrien","K1H","230.97","-","438.0",""
"Lucas Kelifaoui","K1H","231.4","-","441.0",""
"Yohann Courouble","K1H","232.38","382.0","447.0",""
"Julien Vetele","K1H","232.44","378.0","447.0",""
"Colin Jean-Etienne","K1H","232.72","-","449.0",""
"David Peigne","K1H","232.98","417.0","450.0",""
"Lac Germain","K1H","234.26","-","458.0",""
"Jaffray Erwan","K1H","237.38","508.0","477.0",""
"Julien Riffaud","K1H","240.57","-","497.0",""
"Loic Monbel","K1H","243.29","396.0","513.0",""
"Merzeau Michel","K1H","243.37","485.0","514.0",""
"Barbier Cyril","K1H","244.51","451.0","520.0",""
"Micouraud Yohan","K1H","249.28","660.0","549.0",""
"Demouy Grégoire","K1H","252.86","701.0","571.0",""
"Rolando Thomas","K1H","255.04","-","584.0",""
"Pierrealexis Gabriel","K1H","256.35","518.0","592.0",""
"Dupuy Julien","K1H","256.94","-","596.0",""
"Benoit Couturier","K1H","264.84","495.0","644.0",""
"Dutilloy Jonas","K1H","264.91","577.0","644.0",""
"Arthur Feraud","K1H","269.96","532.0","675.0",""
"Marc Robert","K1H","269.97","-","675.0",""
"Quinion Jerome","K1H","270.78","-","680.0",""
"Herve Launay","K1H","271.49","474.0","684.0",""
"Lone Sang Christian","K1H","272.16","-","688.0",""
"Rouet Jeremy","K1H","272.77","-","692.0",""
"Yoann Aupee","K1H","274.37","822.0","702.0",""
"Gil Justin","K1H","275.49","1023.0","709.0",""
"Herve Maxime","K1H","276.13","771.0","713.0",""
"Merrant Yves Gabriel","K1H","302.67","406.0","873.0",""
"Rouger Gael","K1H","302.93","705.0","875.0",""
"Simon Philibert","K1H","303.43","2126.0","878.0",""
"Duclos Maxime","K1H","306.92","548.0","899.0",""
"Rivet Martial","K1H","308.86","-","911.0",""
"Vallet Florian","K1H","317.51","1006.0","964.0",""
"Thierry Le Bonniec","K1H","324.3","-","1005.0",""
"Hutteau Damien","K1H","328.54","-","1031.0",""
"Clement Francois-Xavier","K1H","334.38","-","1067.0",""
"Coquet Florent","K1H","344.43","-","1128.0",""
"Tricot Marinko","K1H","360.02","-","1222.0",""
"Vanboktael Xavier","K1H","372.25","896.0","1297.0",""
"Nicolas Girault","K1H","373.02","-","1302.0",""
"Antoine Michaud","K1H","388.59","682.0","1397.0",""
"Huet Sylvain","K1H","401.95","1383.0","1478.0",""
"Bitton Guillaume","K1H","504.05","-","2099.0",""
"Millieroux Marc","K1H","520.64","-","2199.0",""
"Blandin Julien","K1H","523.51","-","2217.0",""
"Rabaud Johan","K1H","587.63","-","2607.0",""
"Julien Stephane","K1H","685.05","-","3199.0",""
"Sicard Damien","K1H","696.04","-","3266.0",""
