"SELECTIF REGIONAL CHAPPES - Chappes Course 1","Chappes","Course 1","","2004-03-07","Régional","60"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Maraquin Guillaume","C1H","169.28","-","490.0",""
"Loic Bourgeois","C1H","175.34","137.0","541.0",""
"Choiseau Patrick","C1H","179.62","-","577.0",""
"Geoffroy Schwentzel","C1H","215.15","382.0","877.0",""
"Louison Tanet","C1H","217.25","384.0","894.0",""
"Jean Marc Fossier","C1H","285.03","-","1465.0",""
"Ferrignio Stephane- Le Guedard Yann","C2H","180.47","-","515.0",""
"Dameron Antoine- Noble Aurelien","C2H","300.44","-","1481.0",""
"De Berchen Emilie","K1D","173.69","393.0","461.0",""
"Rosalie Kempf","K1D","183.81","465.0","542.0",""
"Falcetta Charlotte","K1D","192.34","620.0","611.0",""
"Pauline Pillion","K1D","220.88","763.0","840.0",""
"Bourbon Julie","K1D","325.96","-","1686.0",""
"Stephanie Ansot","K1D","404.31","-","2316.0",""
"Antoine Dufrene","K1H","135.6","257.0","264.0",""
"Piermay Mathieu","K1H","137.37","223.0","279.0",""
"Revelle Yohann","K1H","140.62","295.0","307.0",""
"Quentin Vallee","K1H","141.88","300.0","319.0",""
"Noble Aurelien","K1H","145.88","329.0","355.0",""
"Fatah Samy","K1H","147.1","333.0","365.0",""
"Florent Tamburini","K1H","148.18","246.0","375.0",""
"Guillaume Huppert","K1H","153.38","288.0","420.0",""
"Collinet Matthieu","K1H","157.85","479.0","460.0",""
"Louison Tanet","K1H","160.01","-","479.0",""
"Lacaille Maxime","K1H","162.22","-","499.0",""
"Savart Matthieu","K1H","162.29","324.0","500.0",""
"Gaetan Kieffert","K1H","162.47","-","502.0",""
"Vallee Mathieu","K1H","162.65","-","503.0",""
"Guillaume Sebastien","K1H","165.47","472.0","528.0",""
"Geoffroy Schwentzel","K1H","165.69","-","530.0",""
"Jerome Lacire","K1H","168.02","-","550.0",""
"Fagnere Anthony","K1H","168.85","-","558.0",""
"Gautherot Mathieu","K1H","174.31","-","606.0",""
"Diemert Maxime","K1H","175.6","505.0","618.0",""
"Aurelien Desgrez","K1H","176.91","-","629.0",""
"Bolzani Fabien","K1H","182.56","-","678.0",""
"Dameron Antoine","K1H","183.54","451.0","687.0",""
"Carlin Gregory","K1H","184.44","-","696.0",""
"Guerrero Juan","K1H","185.54","-","706.0",""
"Collet Timothe","K1H","194.69","703.0","787.0",""
"Benjamin Fourmet","K1H","196.15","-","799.0",""
"Mickael Faure","K1H","198.06","-","816.0",""
"Albertelli Romain","K1H","198.19","-","818.0",""
"Thibault Gautherot","K1H","218.13","-","994.0",""
"Julien Moriat","K1H","221.16","-","1021.0",""
"Francis Duchiron","K1H","222.85","-","1035.0",""
"Lillette Mael","K1H","226.1","492.0","1064.0",""
"Ladouce Sebastien","K1H","226.96","-","1072.0",""
"Romain Chane","K1H","228.59","-","1086.0",""
"Bajolet Julien","K1H","235.12","727.0","1144.0",""
"Creuza Jeremy","K1H","246.5","353.0","1245.0",""
"Juillet Edouard","K1H","252.65","-","1299.0",""
"Leclerc Jerome","K1H","263.19","-","1393.0",""
"Deletain Kevin","K1H","276.06","-","1507.0",""
"Petta Baptiste","K1H","282.43","-","1563.0",""
"Brouillard Aurelien","K1H","292.1","-","1648.0",""
"Ragueneau Victor","K1H","300.12","-","1719.0",""
"Bourry Marc","K1H","355.78","-","2211.0",""
"Brouillard Thibault","K1H","401.0","-","2611.0",""
"Fabien Delfly","K1H","493.01","-","3426.0",""
