"Championnat Régional Midi Pyrénées Slalom - Mirande - 2004-03-14","Course 1","2004-03-14","Régional","90"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Rouffet Benoit","C1H","189.54","204","182",""
"Norbert Neveu","C1H","189.94","184","184",""
"Pierre Gelle","C1H","190.37","92","188",""
"Hugo Laberine","C1H","191.74","193","197",""
"Simon Cayez","C1H","192.32","223","201",""
"Sebastien Perilhou","C1H","196.85","217","233",""
"Bernard Santoro","C1H","200.72","215","261",""
"Molinier Benoit","C1H","202.00","-","271",""
"Hernanz Samuel","C1H","215.09","-","363",""
"Le Berrigaud Sylvain","C1H","223.88","-","427",""
"Georget Christophe","C1H","268.10","-","743",""
"Cailhol Anne","C1H","273.52","-","781",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","194.21","124","152",""
"Hugo Biso-Pierre Picco","C2H","199.85","252","190",""
"Maynadier Aurelien- Maynadier Aymeric","C2H","206.97","195","238",""
"Benjamin Reig-Cyril Boulet","C2H","229.38","-","391",""
"Denjean Patrice- Seger Bastien","C2H","243.50","-","487",""
"Laura Combot","K1D","194.37","189","153",""
"Adalberon Valerie","K1D","207.96","-","245",""
"Leymonerie Agnes","K1D","225.42","-","365",""
"Cailhol Anne","K1D","244.26","-","493",""
"Violaine Truche","K1D","249.94","920","532",""
"Adisson Estelle","K1D","258.39","498","590",""
"Gaelle Lacombe","K1D","267.02","-","649",""
"Jessica Joyau","K1D","268.74","-","660",""
"Van-Nienwenhove Mathilde","K1D","273.51","-","692",""
"Blaise Anne-Laure","K1D","289.97","-","805",""
"Poueyto Marilyn","K1D","323.59","-","1034",""
"Coracin Nadege","K1D","342.39","-","1163",""
"Giquel Camille","K1D","356.23","-","1257",""
"Chevalier Audrey","K1D","358.68","-","1274",""
"Camille Giraud","K1D","374.60","-","1383",""
"Arbia Helene","K1D","463.60","-","1990",""
"Salles Dominique","K1D","485.20","-","2137",""
"Moreira Emilie","K1D","1311.82","-","7778",""
"Aurelien Maynadier","K1H","167.39","45","83",""
"Damien Laborde","K1H","169.61","61","100",""
"Pierre Pans","K1H","170.08","137","103",""
"Benoit Rouffet","K1H","171.70","68","115",""
"Thomas Jean Pascal","K1H","174.15","71","134",""
"Florian Berail","K1H","178.01","147","162",""
"Samuel Hernanz","K1H","178.27","88","165",""
"Guillaume Picco","K1H","178.43","120","166",""
"Bertrand Gourrat","K1H","178.55","152","166",""
"Bibron Florian","K1H","179.96","148","177",""
"Benoit Molinier","K1H","180.02","112","178",""
"Florent Boulet","K1H","181.67","173","190",""
"Marc Laborde","K1H","182.57","207","196",""
"Fabrice Poueyto","K1H","186.02","156","223",""
"Colin Molinier","K1H","190.17","218","254",""
"Boutonnet Bastien","K1H","191.58","327","265",""
"Braud Philippe","K1H","194.04","-","283",""
"Jonot Anthony","K1H","194.10","372","283",""
"Leymonerie Pierre","K1H","194.98","-","290",""
"Bastien Dantin","K1H","195.54","217","294",""
"Jonathan Delagnes","K1H","197.85","291","312",""
"Valerian Boulet","K1H","197.95","346","312",""
"Frederic Lascourreges","K1H","198.06","286","313",""
"Lay Matthieu","K1H","205.44","440","368",""
"Jean Thomas Genet","K1H","207.98","-","388",""
"Denjean Patrice","K1H","214.66","-","438",""
"Burgubder Arnauld","K1H","219.11","-","471",""
"Pradayrol Yoan","K1H","223.23","-","502",""
"Maxime Mitaut","K1H","223.35","489","503",""
"Frederic Saint Agne","K1H","223.64","-","506",""
"Rozes Jeremy","K1H","227.66","-","536",""
"Barbe Erwan","K1H","229.08","613","545",""
"Hasson Guillaume","K1H","229.87","-","551",""
"Christophe Georget","K1H","230.18","-","554",""
"Bastien Seger","K1H","232.98","1151","575",""
"Denjean Frederic","K1H","234.06","-","583",""
"Pavot Colin","K1H","234.97","-","590",""
"Thirouard Renaud","K1H","235.56","-","595",""
"Nicolas Neveu","K1H","239.18","896","621",""
"Reynaud Julien","K1H","239.38","-","624",""
"Adisson Marc","K1H","240.62","664","632",""
"Jouanolou Remi","K1H","241.51","756","639",""
"Giquel Romain","K1H","241.66","-","640",""
"Laverny Nicolas","K1H","244.91","-","664",""
"Lagueyte Jean","K1H","249.12","-","696",""
"Delmar Julien","K1H","256.74","-","754",""
"Blondet Johann","K1H","272.89","-","875",""
"Olivier Pegaz","K1H","274.50","-","887",""
"Stocker Adrien","K1H","280.86","-","934",""
"Saillard Jeanbaptiste","K1H","283.35","-","953",""
"Gonzales Jean-Jacques","K1H","291.64","-","1016",""
"Laville Samuel","K1H","310.81","-","1159",""
"Perret Stephan","K1H","317.54","-","1210",""
"Fauvel Thomas","K1H","346.36","-","1426",""
"Belliot Gerald","K1H","369.00","-","1596",""
