"Sélectif N2 - Cergy - 2004-03-20","Course 1","2004-03-20","Nationale 2","186"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Christophe Despres","C1H","201.26","127","123",""
"Jerome Fouille","C1H","204.68","256","140",""
"Christophe Marechal","C1H","205.54","219","144",""
"Benjamin Ruman","C1H","205.81","176","145",""
"Champmartin Frank","C1H","206.19","106","148",""
"Edern Le Ruyet","C1H","208.82","218","160",""
"Jeancharles Reby","C1H","212.22","200","177",""
"Cubizolles Sebastien","C1H","216.68","211","199",""
"Guillaume Wattez","C1H","217.02","167","201",""
"Emeric Bertrand","C1H","218.55","127","209",""
"Antoine Lebellec","C1H","218.67","154","209",""
"Paul Gautier","C1H","219.58","173","213",""
"Jeremie Gouello","C1H","219.89","199","215",""
"Olivier Barriere","C1H","222.56","200","228",""
"Florian Helen","C1H","224.51","233","237",""
"Champagne Sylvain","C1H","226.97","228","249",""
"Gilles Schweitzer","C1H","228.12","268","256",""
"Olivier Arette Hourquet","C1H","228.89","232","259",""
"Magnaval Willy","C1H","229.08","199","260",""
"Jonathan Marc","C1H","231.14","255","270",""
"Xavier Gensse","C1H","233.42","265","282",""
"Navarre Emmanuel","C1H","234.30","237","286",""
"Guillaume Izydorczyk","C1H","236.11","237","295",""
"David Besancon","C1H","236.19","267","296",""
"Paradis Virgile","C1H","241.04","243","319",""
"Olivier Gesbert","C1H","257.26","258","399",""
"Didier Botrel","C1H","271.75","222","470",""
"Bouvard Laurent","C1H","290.64","257","564",""
"Maxime Cousin","C1H","467.12","211","1434",""
"Pichard Melaine- Rocaboy Julien","C2H","227.69","229","203",""
"Debliquy Stephane- Delattre Arnaud","C2H","230.74","256","216",""
"Duchiron Stephane- Argenson Thomas","C2H","245.28","272","285",""
"Yoan Del Rey-Arthur Grandemange","C2H","250.15","305","308",""
"Vincent Bouchard-Sebastien Chapuis","C2H","282.02","411","458",""
"Thibault Bigeon-Antoine Decambon","C2H","309.68","397","588",""
"Teddy Poulard-Jeremy Bretteville","C2H","428.02","414","1145",""
"Thevenin Sebastien- Thevenin Johann","C2H","428.59","400","1148",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","473.55","357","1360",""
"Monvoisin Benoit- Granger Terence","C2H","639.78","380","2142",""
"Dejours Nelly","K1D","212.14","151","130",""
"Lebreton Marie","K1D","214.28","168","139",""
"Emilie Chamouleau","K1D","216.25","162","149",""
"Carole Pocard","K1D","217.91","197","156",""
"Caroline Bourry","K1D","220.02","206","166",""
"Thiebaut Charline","K1D","225.04","221","190",""
"Tharaud Anais","K1D","226.65","153","197",""
"Sohy Stephanie","K1D","226.70","161","197",""
"Sylvie Metz","K1D","231.26","222","219",""
"Apert Maia","K1D","231.57","247","221",""
"Poix Sophie","K1D","236.95","154","246",""
"Aubert Laetitia","K1D","237.04","200","246",""
"Fanny Kerambrun","K1D","244.44","260","281",""
"Doby Julie","K1D","247.74","273","296",""
"Celine Denizon","K1D","248.95","289","303",""
"Paviot Laetitia","K1D","249.97","289","307",""
"Vernier Perrine","K1D","253.44","288","323",""
"Paoletti Camille","K1D","253.87","270","326",""
"Valerie Sibioude","K1D","260.94","289","359",""
"Audrey Metz","K1D","264.02","240","374",""
"Thiebaut Manon","K1D","269.85","331","401",""
"Cassier Cecile","K1D","281.96","338","458",""
"Fanny Mino-vercellio","K1D","283.55","197","465",""
"Harmony Thery","K1D","285.58","268","475",""
"Caroline Loir","K1D","287.08","236","482",""
"Mylene Renaud","K1D","293.90","279","514",""
"Claire Jacquet","K1D","294.44","206","516",""
"Jihane Samlal","K1D","297.63","236","531",""
"Anais Couturier","K1D","309.80","294","588",""
"Bernhard Cecile","K1D","311.37","341","596",""
"Marlene Devillez","K1D","353.80","279","796",""
"Ceccarelli Anais","K1D","371.50","303","879",""
"Stephanie Le Mercier","K1D","444.29","273","1222",""
"Melina Letellier","K1D","452.06","298","1259",""
"Sarah Michel","K1D","454.56","299","1270",""
"Ciaran Heurteau","K1H","188.47","164","106",""
"Nicolas Carduner","K1H","189.39","131","111",""
"Leproult Jonathan","K1H","190.45","109","116",""
"Fontaine Damien","K1H","190.70","141","118",""
"Xavier Jourdain","K1H","190.78","129","118",""
"Benjamin Buys","K1H","190.79","126","118",""
"Trzeciak Vincent","K1H","191.22","139","121",""
"Nicolas Veillard","K1H","191.42","193","122",""
"Laurent Le Touze","K1H","192.71","199","129",""
"Julien Dosse","K1H","192.96","121","130",""
"Nicolas Labat","K1H","193.11","111","130",""
"Alexandre Schall","K1H","193.49","122","132",""
"Benoit Letellier","K1H","193.98","147","135",""
"Thomas Masuy","K1H","194.03","152","136",""
"Erwan Cadio","K1H","194.36","136","137",""
"Menager Vincent","K1H","194.50","148","137",""
"Benjamin Thouvignon","K1H","195.37","106","143",""
"Sylvain Herrbach","K1H","195.50","167","143",""
"Nivel Cyril","K1H","196.03","139","146",""
"Betrom Ronan","K1H","196.22","177","147",""
"Delaunay Johann","K1H","196.25","157","147",""
"Coiffe Florion","K1H","196.50","157","148",""
"Michel Gombert","K1H","196.75","175","150",""
"Louis Philippe Rigal","K1H","196.96","170","150",""
"Christophe Siffert","K1H","197.36","168","152",""
"Mehdi Amini","K1H","197.78","149","155",""
"Adrien Ferec","K1H","197.81","177","155",""
"Philippe Daumont","K1H","198.02","207","156",""
"Bluy Alexandre","K1H","198.43","100","158",""
"Vaillant Tiphaine","K1H","198.83","235","160",""
"Oswald Besch","K1H","199.51","174","163",""
"Laurent Rigaud","K1H","199.58","204","164",""
"Michel Ragot","K1H","199.71","161","164",""
"Jonathan Chapatte","K1H","199.91","173","166",""
"Benoit Guillaume","K1H","200.59","226","170",""
"Christophe Le Mercier","K1H","200.65","202","170",""
"Di Lauro Maxime","K1H","200.73","123","170",""
"Lemaire Maxime","K1H","200.90","179","171",""
"Herve Busson","K1H","201.11","157","172",""
"Johan De Mareuil","K1H","201.40","112","173",""
"Vincent Reiter","K1H","202.05","195","176",""
"Benoit Fer","K1H","202.06","144","176",""
"Yves Lecointe","K1H","202.10","245","177",""
"Luc Doye","K1H","202.43","160","179",""
"Bercon Mathieu","K1H","202.51","144","179",""
"Quentin Bove","K1H","202.53","188","179",""
"Jean-francois Souville","K1H","202.90","244","181",""
"Yoann Rebours","K1H","203.11","178","183",""
"Olivier Hardonniere","K1H","203.14","173","183",""
"Retailleau Gael","K1H","203.57","211","184",""
"Pierre Marie Roussel","K1H","203.80","190","186",""
"Childeric Thoreau","K1H","204.27","205","189",""
"Florian Ordonneau","K1H","204.28","239","189",""
"Nizar Samlal","K1H","204.52","152","190",""
"Bourgeois Cedric","K1H","205.05","224","192",""
"Dupont Eric","K1H","205.27","246","194",""
"Goulwen Chapelier","K1H","205.59","188","195",""
"Hugo Hager","K1H","205.64","246","196",""
"Jerome Olhagaray","K1H","206.01","203","197",""
"Christophe Gosselin","K1H","206.30","237","199",""
"Jeremy Poux","K1H","206.77","220","201",""
"Thibaud Kudla","K1H","207.15","233","203",""
"Pascal Ferry","K1H","207.46","240","205",""
"Frederic Leclerc","K1H","207.99","150","208",""
"De Berchen Sebastien","K1H","208.80","159","212",""
"Alain Droniou","K1H","209.17","205","214",""
"Kevin Schultz","K1H","209.71","217","216",""
"Thomas Bersinger","K1H","209.98","152","218",""
"Frederic Tinchant","K1H","210.44","207","220",""
"Yves Debailleul","K1H","210.60","206","221",""
"Le Coq Sebastien","K1H","210.80","223","222",""
"David Beyer","K1H","210.83","199","223",""
"Douillet Guilhem","K1H","211.02","249","223",""
"Lionel Tinevez","K1H","211.25","173","224",""
"Stephane Labouille","K1H","211.61","260","226",""
"Kudla Romain","K1H","211.91","233","228",""
"Romain Bove","K1H","212.13","180","229",""
"Medjeberg Jeremy","K1H","213.37","173","236",""
"Rumeau Martin","K1H","213.41","218","236",""
"Bertrand Dubiez","K1H","213.82","191","237",""
"Kevine Cliquet","K1H","214.04","206","239",""
"Alexandre Guerinet","K1H","215.26","252","245",""
"Guillaume Bandelier","K1H","215.82","259","248",""
"Perrin Alexandre","K1H","216.28","208","250",""
"Laroque Jeanchristophe","K1H","216.49","215","251",""
"Mickael Louchard","K1H","216.51","229","251",""
"Jerome Talbot","K1H","217.92","258","259",""
"Julien Darees","K1H","218.74","-","263",""
"Arthur Georges","K1H","218.78","243","263",""
"Florent Tamburini","K1H","219.37","246","267",""
"Antoine Lebastard","K1H","219.54","225","268",""
"Macrel Loic","K1H","219.90","208","269",""
"Beaudoin Fabien","K1H","222.11","260","281",""
"Alain Ferry","K1H","223.04","256","285",""
"Lebourgeois Alexis","K1H","224.27","221","292",""
"Gwenael Marquer","K1H","231.59","225","329",""
"Piermay Mathieu","K1H","235.25","223","349",""
"Sebastien Serot","K1H","235.76","262","351",""
"Renaud Doby","K1H","243.64","119","392",""
"Yoann Gottardo","K1H","244.68","128","397",""
"Bazin Patryce","K1H","247.83","120","414",""
"Le Marec Hermann","K1H","250.83","201","429",""
"Yann Gudefin","K1H","256.66","197","460",""
"Franck Dessaint","K1H","258.26","224","468",""
"Jean Philippe Winiarski","K1H","261.99","158","487",""
"Manuel Coquelin","K1H","266.09","198","509",""
"Maxime Faivre","K1H","267.41","187","515",""
"Di Lauro Alexandre","K1H","268.20","215","519",""
"Le Mercier David","K1H","285.93","280","611",""
"Mathieu Bandelier","K1H","305.12","173","710",""
"Jules Bevalot","K1H","318.92","203","781",""
"Le Pesquer Yann","K1H","379.72","175","1097",""
