"Sélectif N3 Sud Ouest - Amou Course 1","Amou","Course 1","","2004-03-27","Nationale 3","59"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lecocq Pierre","C1H","257.0","406.0","373.0",""
"Martin Thomas","C1H","271.75","743.0","453.0",""
"Bazot Julien","C1H","282.58","546.0","511.0",""
"Bouzidi Carole","C1H","298.43","856.0","597.0",""
"Nicolas Scharff","C1H","308.42","643.0","650.0",""
"Mathias Rodrigues","C1H","317.59","447.0","700.0",""
"Laetitia Thueux","K1D","276.36","356.0","409.0",""
"Julie Blank","K1D","282.25","404.0","440.0",""
"Vasseur Diane","K1D","285.19","471.0","455.0",""
"Violaine Truche","K1D","289.22","664.0","476.0",""
"Pommarede Aurelie","K1D","292.91","506.0","494.0",""
"Jegouzo Adeline","K1D","294.43","584.0","503.0",""
"Gili Claire","K1D","297.58","505.0","519.0",""
"Bize Freddie","K1D","321.47","652.0","642.0",""
"Commanay Richard","K1H","225.66","264.0","265.0",""
"Jonathan Delagnes","K1H","227.43","291.0","275.0",""
"Thibaud Rottier","K1H","228.95","305.0","284.0",""
"Maelstaf Jeremy","K1H","229.42","264.0","286.0",""
"Delahaie Emmanuel","K1H","233.44","287.0","309.0",""
"Bouyat Alexandre","K1H","234.45","340.0","314.0",""
"Boutonnet Bastien","K1H","236.1","288.0","325.0",""
"Paul Storez","K1H","237.96","272.0","335.0",""
"Ludovic Di Nisi","K1H","239.16","312.0","342.0",""
"Mathieu Pouchet","K1H","240.33","432.0","348.0",""
"Julien Riffaud","K1H","243.24","426.0","365.0",""
"Lapeze Edouard","K1H","244.59","264.0","372.0",""
"Lucas Kelifaoui","K1H","245.4","419.0","377.0",""
"Eftekhari Boris","K1H","246.07","417.0","380.0",""
"Marc Darribere","K1H","246.92","396.0","385.0",""
"Manuel Legros","K1H","247.9","284.0","391.0",""
"Xavier Flatreau","K1H","249.24","390.0","398.0",""
"Pourtau Stephane","K1H","250.31","354.0","404.0",""
"Jonot Anthony","K1H","250.8","333.0","407.0",""
"Valerian Boulet","K1H","250.89","326.0","407.0",""
"Fallou Etienne","K1H","251.39","492.0","410.0",""
"Lac Germain","K1H","253.89","428.0","425.0",""
"Demouy Grégoire","K1H","261.37","464.0","467.0",""
"Jean-noel Biteau","K1H","264.05","401.0","482.0",""
"Lafitte Vincent","K1H","265.5","447.0","490.0",""
"Sylvain Mendez","K1H","265.55","493.0","490.0",""
"Doat Francois","K1H","265.68","350.0","491.0",""
"Kraemer Nicolas","K1H","266.73","437.0","497.0",""
"Jean Luc Pessoni","K1H","266.76","512.0","497.0",""
"Martinez-Arconada Armel","K1H","267.46","408.0","501.0",""
"Philippe Metran","K1H","267.51","333.0","501.0",""
"Coquet Florent","K1H","269.46","743.0","513.0",""
"Cassagne Geoffroy","K1H","269.97","579.0","516.0",""
"Francois Cauchi","K1H","272.63","579.0","531.0",""
"Herve Maxime","K1H","272.71","661.0","531.0",""
"Peyre Maxime","K1H","273.29","582.0","535.0",""
"Delpeyroux Pierre","K1H","276.26","568.0","551.0",""
"Saüt Bertrand","K1H","282.81","562.0","588.0",""
"Denjean Patrice","K1H","290.56","695.0","632.0",""
"Barbe Erwan","K1H","290.88","573.0","634.0",""
"Thomas Wingerter","K1H","307.71","794.0","729.0",""
"Tayeel Aymeric","K1H","311.64","560.0","751.0",""
"Denjean Frederic","K1H","315.18","658.0","771.0",""
"Sapede Sylvain","K1H","325.86","723.0","832.0",""
"Marc Robert","K1H","326.03","-","833.0",""
