"Championnat de Bourgogne de slalom - Dijon - 2004-04-04 Course 1","Dijon","Course 1","","2004-04-04","Régional","47"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Coquille Alexis","C1H","184.84","309.0","291.0",""
"Perrin Alexandre","C1H","184.87","311.0","292.0",""
"Philippe Senechal","C1H","189.34","301.0","323.0",""
"Cubizolles Sebastien","C1H","191.72","197.0","339.0",""
"Jose Zouaoui","C1H","204.07","446.0","426.0",""
"Chapuis Sebastien","C1H","211.58","-","479.0",""
"Cliquet Kevine","C1H","212.48","-","485.0",""
"Collet Timothe","C1H","251.83","-","761.0",""
"Perrin Jeanjerome- Perrin Alexandre","C2H","189.5","175.0","264.0",""
"Cliquet Kevine- Guillot Lise","C2M","276.56","-","847.0",""
"Thierry Terangui","K1D","237.59","-","586.0",""
"Lise Cliquet","K1D","258.75","1696.0","726.0",""
"Argenson Elise","K1D","273.11","907.0","823.0",""
"Gouby Aurelie","K1D","335.28","-","1239.0",""
"Da Silva Sara","K1D","353.41","-","1361.0",""
"Guzman Anais","K1D","361.6","-","1416.0",""
"Bourgeois Cedric","K1H","163.66","211.0","200.0",""
"Kevine Cliquet","K1H","169.06","206.0","240.0",""
"Lemaire Maxime","K1H","172.13","176.0","263.0",""
"Labouille Yannick","K1H","178.71","234.0","310.0",""
"Christophe Billaud","K1H","178.76","277.0","311.0",""
"Perrin Jeanjerome","K1H","196.46","-","442.0",""
"Thomas Rollot","K1H","197.0","370.0","446.0",""
"Philippe Devillers","K1H","198.62","-","457.0",""
"Lemoule Pierre","K1H","199.16","-","462.0",""
"Manolios Remy","K1H","202.41","-","485.0",""
"Xavier Rat","K1H","205.82","497.0","510.0",""
"Thierry Philippe","K1H","210.66","-","546.0",""
"Lemaire Alexandre","K1H","211.34","532.0","552.0",""
"Aurelien Desgrez","K1H","212.87","-","562.0",""
"Collet Timothe","K1H","216.52","622.0","589.0",""
"Michot Dominique","K1H","220.35","-","618.0",""
"Rayssac Fabien","K1H","224.29","-","647.0",""
"Fresnaye Thomas","K1H","230.82","-","694.0",""
"Vincent Benjamin","K1H","232.22","-","705.0",""
"Bonnet Olivier","K1H","232.56","-","707.0",""
"Sertier Remi","K1H","234.53","-","722.0",""
"Chantereau Clement","K1H","237.25","-","742.0",""
"Gallois Pierre Michel","K1H","238.29","-","749.0",""
"Martin Brice","K1H","239.9","-","762.0",""
"Bruno Bauge","K1H","272.15","-","999.0",""
"Nicolaescu Christophe","K1H","282.29","-","1073.0",""
"Angelini Alexis","K1H","287.28","-","1110.0",""
"Guillous Nicolas","K1H","288.82","-","1122.0",""
"Billebault Vincent","K1H","292.22","-","1147.0",""
"Senechal Alexis","K1H","292.58","417.0","1149.0",""
"Clement Martin","K1H","319.69","-","1348.0",""
