"CHAMPIONNAT DE BRETAGNE - Lannion - 2004-04-04","Course 1","2004-04-04","Régional","170"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ronan Betrom","C1H","193.81","73","114",""
"Morgan Vourch","C1H","197.46","82","135",""
"Jerome Le Gall","C1H","200.21","59","152",""
"Emeric Bertrand","C1H","202.33","127","163",""
"Potin Francois","C1H","203.75","195","172",""
"Yann Le Pennec","C1H","204.10","228","174",""
"Jeremie Gouello","C1H","205.90","198","184",""
"Paul Gautier","C1H","208.30","200","199",""
"Noel Nicolas","C1H","210.71","190","212",""
"Edern Le Ruyet","C1H","211.27","197","215",""
"Gegat Mathieu","C1H","212.32","234","222",""
"Didier Botrel","C1H","214.12","222","232",""
"Michel Lanchec","C1H","215.36","-","239",""
"Lepage Clement","C1H","216.98","128","249",""
"Julien Darcillon","C1H","219.19","309","261",""
"Francois Hemidy","C1H","222.02","-","278",""
"Florian Helen","C1H","223.23","237","285",""
"Olivier Leboeuf","C1H","228.07","287","313",""
"Gourmel Loic","C1H","229.31","-","321",""
"Saucet Manuel","C1H","230.46","366","327",""
"Hamonic Matthieu","C1H","232.12","223","336",""
"Leclaire Pierre Louis","C1H","234.79","349","352",""
"Paskal Cloarec","C1H","236.41","251","361",""
"Cedric Collet","C1H","237.71","324","370",""
"Denis Voisin","C1H","241.34","322","390",""
"Sebastien Cardiet","C1H","241.40","401","390",""
"Gallon Anthony","C1H","243.05","434","400",""
"Sebastien Fouille","C1H","246.96","485","423",""
"Lichou Thibault","C1H","247.56","356","427",""
"Yvan Raoult","C1H","250.91","426","446",""
"Babusiaux Sebastien","C1H","256.42","448","478",""
"Jerome Fouille","C1H","269.37","206","553",""
"Rouge Pierre","C1H","271.20","589","563",""
"Marrec Pierre-Yves","C1H","280.18","526","616",""
"Tanguy Doucet","C1H","294.07","630","697",""
"Nicolas Guillemot","C1H","310.45","616","791",""
"Thomas Bourhis","C1H","354.59","-","1048",""
"Philippe Quemerais-Yann Le Pennec","C2H","196.26","30","77",""
"Loic Brunel-Medhi Deguil","C2H","205.99","78","131",""
"Darcillon Julien- Hemidy Francois","C2H","219.27","136","204",""
"Lepage Clement- Combot Sebastien","C2H","222.89","-","225",""
"Pichard Melaine- Rocaboy Julien","C2H","228.56","213","256",""
"Coudert Nicolas- Coudert Julien","C2H","240.94","-","325",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","245.28","357","349",""
"Nicolas Le Friec-Jeanpierre Le Lann","C2H","248.58","-","366",""
"Saucet Manuel- Doucet Tanguy","C2H","263.36","584","449",""
"Hamonic Matthieu- Helen Florian","C2H","300.56","-","655",""
"Nagwa Lanchec El Desouki","K1D","195.28","72","72",""
"Emilie Fer","K1D","202.81","67","113",""
"Chevrier Cecile","K1D","210.82","95","157",""
"Lebreton Marie","K1D","211.71","157","162",""
"Craig Hannah","K1D","219.18","194","204",""
"Elisa Venet","K1D","219.96","155","208",""
"Marie-francoise Prigent","K1D","221.71","257","217",""
"Stephanie Le Mercier","K1D","231.21","273","271",""
"Colin Maelle","K1D","234.70","-","289",""
"Yvinec Camille","K1D","236.45","254","300",""
"Fanny Kerambrun","K1D","241.76","276","329",""
"Bernhard Cecile","K1D","242.92","341","335",""
"Erell Chardon Vivier","K1D","248.32","414","365",""
"Kristell Bervet","K1D","285.43","430","571",""
"Chevalier Yvane","K1D","291.60","516","605",""
"Fouille Aline","K1D","312.68","384","722",""
"Gallot Lavallee Edith","K1D","324.00","579","785",""
"Laetitia Odermatt","K1D","342.26","571","886",""
"Guelou Typhaine","K1D","372.21","430","1052",""
"Le Bourser Magali","K1D","451.53","662","1492",""
"Julie Quesne","K1D","493.27","528","1724",""
"Matthieu Le Gall","K1H","177.19","57","70",""
"Christophe Marechal","K1H","181.32","43","95",""
"Sebastien Combot","K1H","183.65","72","108",""
"Roger Jeremie","K1H","184.51","69","113",""
"Mathieu Le Gal","K1H","187.15","97","130",""
"Laurent Le Touze","K1H","187.92","156","134",""
"Riwal Le Berre","K1H","188.79","96","139",""
"Thomas Masuy","K1H","190.30","145","149",""
"Jerome Le Hegarat","K1H","192.00","-","159",""
"Julien Dosse","K1H","192.09","115","160",""
"Erwan Cadio","K1H","192.50","128","162",""
"Nicolas Carduner","K1H","192.75","121","164",""
"Frederic Leclerc","K1H","192.81","150","164",""
"Fontaine Damien","K1H","194.42","132","174",""
"Nicolas Veillard","K1H","195.14","158","179",""
"Pierre Marie Roussel","K1H","196.89","186","189",""
"Tirel Paul","K1H","197.45","152","192",""
"Adrien Ferec","K1H","197.64","169","194",""
"Sullivan Porcher","K1H","198.45","140","199",""
"Alain Droniou","K1H","198.47","204","199",""
"Nicolas Coudert","K1H","198.61","116","200",""
"Franck Delachair","K1H","202.32","131","223",""
"Benoit Guillaume","K1H","203.47","197","229",""
"Delaunay Johann","K1H","204.50","151","235",""
"Retailleau Gael","K1H","205.26","198","240",""
"Emmanuel Cosse","K1H","205.74","234","244",""
"Olivier Clement","K1H","206.36","284","247",""
"Lionel Tinevez","K1H","206.62","180","249",""
"Duliscouet Richard","K1H","207.29","223","253",""
"Manuel Coquelin","K1H","207.36","211","253",""
"Frederic Castryck","K1H","207.95","240","257",""
"Berthe Christophe","K1H","207.95","199","257",""
"Simon Despres","K1H","208.61","248","261",""
"Gwenael Marquer","K1H","210.21","228","271",""
"Lorcy Johann","K1H","210.27","-","271",""
"Cozigou Edouard","K1H","210.75","271","274",""
"Jean Yves Prigent","K1H","212.74","265","286",""
"Le Bris Gildas","K1H","213.27","278","289",""
"Herfray Francois","K1H","213.29","274","289",""
"Lebreton Simon","K1H","213.60","336","291",""
"Pierre Yves Tanguy","K1H","216.21","358","307",""
"Decurey Franck","K1H","216.72","313","310",""
"Debray Damien","K1H","216.88","361","311",""
"Anthony Cadoret","K1H","217.31","312","313",""
"Le Garrec Julien","K1H","217.59","385","315",""
"Chiche Martin","K1H","217.94","325","317",""
"Patrick Jegou","K1H","218.22","298","320",""
"David Despierres","K1H","218.81","311","323",""
"Ollivier Riwal","K1H","223.30","393","351",""
"Grosvalet Pierre","K1H","224.93","-","360",""
"Regis Cabel","K1H","225.84","362","365",""
"Benoit Lepage","K1H","229.36","50","387",""
"Paul Fievet","K1H","232.12","457","404",""
"Chaumier Florian","K1H","233.59","336","413",""
"Prigent Mathieu","K1H","234.07","411","416",""
"Simon Joseph","K1H","235.55","415","425",""
"Simier Alan","K1H","235.96","359","428",""
"Vincent Gourmel","K1H","236.13","406","429",""
"Yann Lardic","K1H","236.60","388","431",""
"Rossignol Yves","K1H","238.81","352","445",""
"Vincent Salmon","K1H","240.89","334","458",""
"Pierre-yves Lebreton","K1H","241.71","456","462",""
"Rivallain Ludovic","K1H","244.33","429","479",""
"Jeremy Froger","K1H","245.05","452","483",""
"Christophe Le Mercier","K1H","245.23","199","484",""
"Corbeau Benjamin","K1H","245.77","524","487",""
"Pennarun         * Kevin","K1H","245.94","419","488",""
"Legout Kevin","K1H","248.66","424","505",""
"Descheres Erwan","K1H","249.26","507","509",""
"Julien Coudert","K1H","250.75","164","517",""
"Le Bris Pierrick","K1H","251.61","404","523",""
"Mathieu Bourdet","K1H","252.47","427","528",""
"Le Rouzic Jeremy","K1H","253.25","-","533",""
"Zoungrana Sebastien","K1H","258.93","127","567",""
"Pierreyves Hellard","K1H","260.10","499","575",""
"Nicolas Romain","K1H","260.20","583","576",""
"Melen Pilorge","K1H","265.02","465","605",""
"Sinquin Gwenael","K1H","265.38","476","607",""
"Brieuc Cadic","K1H","265.50","311","608",""
"Collin Maxime","K1H","265.69","545","609",""
"Le Bihan Yann","K1H","266.43","489","613",""
"Ansquer Guy","K1H","268.34","503","625",""
"Le Pesquer Yann","K1H","274.20","175","661",""
"Francois Adam","K1H","276.06","263","672",""
"Pannetier Brice","K1H","280.98","369","702",""
"Arnaud Le Calvez","K1H","289.03","-","751",""
"Pierre Le Clezio","K1H","290.29","380","759",""
"Madec Christophe","K1H","292.27","435","771",""
"Rogue Clement","K1H","292.35","451","772",""
"Froger Alexandre","K1H","292.83","759","775",""
"Hoel Carnot","K1H","297.49","409","803",""
"Didier Rouet","K1H","310.08","410","880",""
"Laurent Rigaud","K1H","312.36","179","893",""
"Alexandre Rivolet","K1H","325.94","663","977",""
"Pene Gaetan","K1H","336.96","-","1043",""
"Garzuel Erwan","K1H","343.19","464","1082",""
"Silvain Maxime","K1H","355.02","577","1154",""
"Charles Kerbellec","K1H","355.20","494","1155",""
"Melaine Caurant","K1H","356.88","656","1165",""
"Robert Marc Antoine","K1H","363.28","-","1204",""
"Ronan Gestin","K1H","367.33","657","1229",""
"Cadoudal Vincent","K1H","386.72","378","1347",""
