"Coupe de France N1 - Epinal - 3ème Manche - 2004-04-10","3ème Manche","2004-04-10","Nationale 1","96"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lalliet Olivier","C1H","190.54","20","8",""
"Pierre Labarelle","C1H","192.45","18","16",""
"Eric Deguil","C1H","195.42","13","28",""
"Herve Chevrier","C1H","196.28","37","31",""
"Baptiste Delaplace","C1H","196.48","33","32",""
"Charly Chassigneux","C1H","196.70","52","33",""
"Pons Alexandre","C1H","199.46","51","43",""
"Brugvin Emmanuel","C1H","199.93","27","46",""
"Rauturier Armand","C1H","200.32","76","47",""
"Morgan Vourch","C1H","204.21","82","63",""
"Pierre Gelle","C1H","205.06","92","66",""
"Pascal Buck","C1H","205.67","61","68",""
"Herve Delamarre","C1H","206.04","56","70",""
"Stephane Abadie","C1H","206.61","92","72",""
"Lorrie Delattre","C1H","207.06","106","74",""
"Alain Schirmann","C1H","207.55","47","76",""
"Lang Paul","C1H","208.24","53","79",""
"Loic Bourgeois","C1H","208.89","137","82",""
"Lepage Clement","C1H","209.68","129","85",""
"Prevot Hugues","C1H","214.88","92","105",""
"Biselx Thomas","C1H","215.29","79","106",""
"Xavier Pocard","C1H","265.54","100","306",""
"Gaspard Remi- Gaspard Julien","C2H","212.72","34","58",""
"Mathieu Fougere-Thomas Fougere","C2H","218.74","134","81",""
"Remy Alonso-Victor Lamy","C2H","221.46","107","91",""
"Andrieu Sebastien- Mirand Guillaume","C2H","223.99","82","101",""
"Gauthier Klauss-Matthieu Peche","C2H","224.46","170","103",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","225.56","124","107",""
"Gilles Schweitzer-Loic Sieber","C2H","228.51","165","118",""
"Loic Brunel-Medhi Deguil","C2H","231.46","78","129",""
"Darcillon Julien- Hemidy Francois","C2H","236.37","136","148",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","238.13","194","154",""
"Perrin Jeanjerome- Perrin Alexandre","C2H","239.95","175","161",""
"Bardet Annelise","K1D","202.06","34","18",""
"Anneline Triomphe","K1D","206.51","31","34",""
"Aline Tornare","K1D","211.79","42","55",""
"Marie Gaspard","K1D","213.02","59","59",""
"Clotilde Miclo","K1D","214.82","118","66",""
"Emilie Fer","K1D","216.04","67","70",""
"Marie-zelia Lafont","K1D","217.87","122","78",""
"Samuelle Arnaud","K1D","218.38","39","79",""
"Nelly Tornare","K1D","218.51","66","80",""
"Ophelie Delaplace","K1D","220.14","65","86",""
"Julie Labarelle","K1D","220.66","101","88",""
"Claire Landrin","K1D","220.91","80","89",""
"Thome Celine","K1D","221.22","117","91",""
"Bomboy Alice","K1D","222.45","98","95",""
"Carole Bouzidi","K1D","222.66","80","96",""
"Chevrier Cecile","K1D","224.58","95","103",""
"Elisa Venet","K1D","231.25","155","128",""
"Borg Julie","K1D","233.39","175","136",""
"Guindeo Mariepierre","K1D","238.42","138","156",""
"Jean Christophe Boivin","K1H","188.47","55","37",""
"Aurelien Maynadier","K1H","188.88","45","39",""
"Frederic Walczak","K1H","188.94","28","40",""
"Pierre Bourliaud","K1H","190.09","42","44",""
"Christophe Marechal","K1H","190.20","43","45",""
"Mathieu Doby","K1H","191.23","43","49",""
"Pallud Renaud","K1H","191.28","40","49",""
"Julien Dekarczyk","K1H","191.72","36","51",""
"Christophe Augu","K1H","191.86","38","52",""
"Benjamin Boukpeti","K1H","192.72","36","55",""
"Matthieu Le Gall","K1H","193.16","57","57",""
"Bernis Camille","K1H","193.46","46","58",""
"Julien Arribe","K1H","193.68","52","59",""
"Boris Neveu","K1H","193.86","77","60",""
"Baillon Nicolas","K1H","194.93","33","64",""
"Davy Egraz","K1H","195.09","64","65",""
"Estanguet Aldric","K1H","195.23","38","66",""
"Pierre Devaux","K1H","195.55","35","67",""
"Benoit Lepage","K1H","195.78","50","68",""
"Brogniart Arnaud","K1H","195.91","80","69",""
"Thibaud Delaunay","K1H","195.96","60","69",""
"Benoit Rouffet","K1H","196.13","68","70",""
"Damien Laborde","K1H","196.16","61","70",""
"Samuel Hernanz","K1H","196.61","88","72",""
"Sebastien Combot","K1H","197.05","72","73",""
"Lambert Guillaume","K1H","197.34","104","75",""
"Arnaud Lapeze","K1H","198.30","61","79",""
"Bernard Babi","K1H","199.45","421","83",""
"Patrice Fischer","K1H","199.65","62","84",""
"Jean Charles Creusot Walter","K1H","199.70","78","85",""
"Venceslas Viseur","K1H","199.74","53","85",""
"Julien Tous","K1H","199.84","53","85",""
"Piquard Charles","K1H","199.90","77","85",""
"Gregory Busson","K1H","201.61","103","92",""
"Riwal Le Berre","K1H","202.29","96","95",""
"Raphael Reveche","K1H","202.83","80","97",""
"Yoan Minvielle","K1H","203.41","86","100",""
"Nicolas Coudert","K1H","203.62","122","101",""
"Piquard Gregoire","K1H","203.89","66","102",""
"Sebastien Halilou","K1H","204.65","73","105",""
"Cordonnier Raphael","K1H","204.78","98","106",""
"Lesquer David","K1H","205.01","85","106",""
"Boulesteix Ludovic","K1H","209.51","-","125",""
"Damien Boudet","K1H","259.85","78","336",""
