"Sélectif N3 Sud Ouest - Tarbes - 2004-04-25","Course 1","2004-04-25","Nationale 3","90"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lecocq Pierre","C1H","205.88","380","341",""
"Come Hebert","C1H","209.33","432","363",""
"Martin Thomas","C1H","212.11","500","381",""
"Florian Tranchant","C1H","234.82","657","525",""
"Bazot Julien","C1H","255.10","520","653",""
"Jonathan Suc","C1H","271.99","405","761",""
"Mathias Rodrigues","C1H","274.56","449","776",""
"Yohan Carrandier","C1H","295.35","584","908",""
"Braud Sylvain","C1H","305.19","449","970",""
"Nicolas Scharff","C1H","362.23","614","1332",""
"Thomas Rolando-Adrien Caillaud","C2H","257.48","635","594",""
"Frederic Descot-Yoan Dalla Longa","C2H","426.27","570","1615",""
"Lafrais Sandra","K1D","243.16","431","508",""
"Adisson Estelle","K1D","251.99","498","561",""
"Blanloeuil Sandra","K1D","262.35","590","624",""
"Vasseur Diane","K1D","262.83","474","627",""
"Tessier Fanny","K1D","275.66","488","704",""
"Pommarede Aurelie","K1D","278.86","497","723",""
"Longue Lucie","K1D","310.57","598","915",""
"Jegouzo Adeline","K1D","322.56","516","988",""
"Gili Claire","K1D","344.83","510","1122",""
"Commanay Richard","K1H","180.07","254","236",""
"Maelstaf Jeremy","K1H","181.42","242","244",""
"Paul Storez","K1H","183.45","272","258",""
"Valerian Boulet","K1H","186.52","333","278",""
"Delahaie Emmanuel","K1H","187.21","282","283",""
"Ludovic Di Nisi","K1H","187.23","293","283",""
"Thibaud Rottier","K1H","187.55","278","285",""
"Frederic Lascourreges","K1H","190.53","295","305",""
"Yohann Courouble","K1H","193.06","372","321",""
"Jonathan Delagnes","K1H","193.68","279","326",""
"Frederic Descot","K1H","194.33","307","330",""
"Tony Deshayes","K1H","194.55","330","332",""
"Berlise David","K1H","194.67","-","333",""
"Pourtau Stephane","K1H","195.46","354","338",""
"Philippe Metran","K1H","197.03","333","348",""
"Julien Riffaud","K1H","197.56","365","352",""
"Roso Emilien","K1H","198.87","359","361",""
"Boutonnet Bastien","K1H","198.90","288","361",""
"Lucas Kelifaoui","K1H","199.24","381","363",""
"Thibault Dufour","K1H","200.62","287","372",""
"Picco Pierre","K1H","201.73","390","379",""
"Lac Germain","K1H","201.86","417","380",""
"Martinez-Arconada Armel","K1H","202.92","408","388",""
"Damien Caillon","K1H","203.73","363","392",""
"Jonot Anthony","K1H","203.84","333","393",""
"Lionel Blank","K1H","204.21","415","396",""
"Eftekhari Boris","K1H","204.78","394","399",""
"Demouy Grégoire","K1H","205.67","421","406",""
"Herve Launay","K1H","206.05","440","408",""
"Kraemer Nicolas","K1H","206.16","437","409",""
"Fontaine Franck","K1H","206.31","409","410",""
"Rolando Thomas","K1H","208.30","516","423",""
"Mathieu Pouchet","K1H","208.69","445","426",""
"Alain Minvielle","K1H","210.59","420","439",""
"Eric Vidou","K1H","210.65","464","439",""
"Thebault Denis","K1H","211.48","454","444",""
"Xavier Flatreau","K1H","212.17","388","449",""
"Barbe Erwan","K1H","212.33","567","450",""
"Fallou Etienne","K1H","212.96","459","454",""
"Jean-noel Biteau","K1H","213.31","412","456",""
"Adisson Marc","K1H","214.08","620","462",""
"Sylvain Mendez","K1H","214.15","479","462",""
"Peyre Maxime","K1H","219.33","544","496",""
"Ganchou Fabrice","K1H","222.74","-","519",""
"Caillaud Adrien","K1H","222.86","470","519",""
"Thomas Dauvet","K1H","224.71","729","532",""
"Maxime Mitaut","K1H","224.80","489","533",""
"Rivaud Theo","K1H","225.11","-","535",""
"Lafitte Aurelien","K1H","228.70","595","559",""
"Duclos Maxime","K1H","229.40","651","564",""
"Lebeau Roland","K1H","231.31","549","576",""
"Lafitte Florian","K1H","231.43","543","577",""
"Terret Cedric","K1H","233.45","581","590",""
"Feuillet Etienne","K1H","233.86","423","593",""
"Lafitte Daniel","K1H","235.08","593","601",""
"Francois Cauchi","K1H","235.16","561","601",""
"Mazagot Christophe","K1H","235.41","654","603",""
"Marc Robert","K1H","239.18","583","628",""
"Herve Maxime","K1H","243.76","533","659",""
"Delpeyroux Pierre","K1H","245.76","549","672",""
"Pierrealexis Gabriel","K1H","259.98","505","766",""
"Coquet Florent","K1H","261.96","538","780",""
"Lay Matthieu","K1H","267.78","412","818",""
"Rouet Jeremy","K1H","268.70","633","824",""
"Jouanolou Remi","K1H","273.39","673","856",""
"Jean Luc Pessoni","K1H","283.15","501","920",""
"Marcelly Kevin","K1H","305.84","-","1071",""
"Thomas Wingerter","K1H","340.13","722","1299",""
"Tricot Marinko","K1H","397.71","830","1682",""
