"Championnat Régional Slalom Limousin - Ussel - 2004-05-09","Course 1","2004-05-09","Régional","71"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emmanuel Bisson","C1H","214.00","-","316",""
"Isere Cedric","C1H","235.00","-","446",""
"Marc Brossard","C1H","236.00","-","453",""
"Charles Varieras","C1H","255.00","-","571",""
"Borde Stephane","C1H","257.00","-","583",""
"Baudu Etienne","C1H","297.00","-","832",""
"Dupuy Julien","C1H","307.00","-","894",""
"Paauw Thijs","C1H","354.00","-","1187",""
"Gaboriau Tristan","C1H","368.00","-","1274",""
"Tuffery Baptiste","C1H","460.00","-","1846",""
"Mikulec Aurélien","C1H","519.00","-","2213",""
"Jerome Talbot-Emmanuel Bisson","C2H","236.00","-","386",""
"Baudu Etienne- Borde Stephane","C2H","267.00","-","570",""
"Gaboriau Tristan- Dupuy Julien","C2H","365.00","-","1153",""
"Continsouzat Mickael- Varieras Charles","C2H","384.00","-","1264",""
"Mikulec Aurélien- Meyrignac François","C2H","749.00","-","3433",""
"Delanette Ophélie- Baudu Justine","C2M","490.00","-","1894",""
"Sophie Calmettes","K1D","248.00","-","457",""
"Delhia Petiot","K1D","255.00","526","499",""
"Delanette Ophélie","K1D","315.00","1276","855",""
"Justine Baudu","K1D","318.00","530","873",""
"Schmid Leah","K1D","331.00","-","951",""
"Bugeat Justine","K1D","388.00","-","1289",""
"Petit Corinne","K1D","398.00","-","1348",""
"Paauw Marte","K1D","448.00","-","1645",""
"Servajean Valerie","K1D","459.00","-","1710",""
"Marie-ange Giannorsi","K1D","485.00","-","1865",""
"Legrand Esther","K1D","639.00","-","2779",""
"Lamy Orlane","K1D","778.00","-","3606",""
"Bayle Marie Laure","K1D","875.00","-","4182",""
"Borde Stephane","K1H","196.00","222","264",""
"Etienne Baudu","K1H","199.00","-","284",""
"Jerome Talbot","K1H","200.00","240","290",""
"Gautier Jean Marc","K1H","209.00","-","349",""
"Paris Sylvain","K1H","210.00","-","356",""
"Marc Brossard","K1H","219.00","-","415",""
"Tristan Gaboriau","K1H","227.00","579","467",""
"Julien Signarbieux","K1H","228.00","435","474",""
"Dominique Laurent","K1H","229.00","-","480",""
"Dupuy Julien","K1H","231.00","523","493",""
"Christophe Einsargueix","K1H","241.00","-","558",""
"Varieras Charles","K1H","243.00","-","572",""
"Pierre Jean Sanchez","K1H","247.00","-","598",""
"Lallier Timothee","K1H","258.00","-","670",""
"Chazal Eric","K1H","260.00","-","683",""
"Tuffery Clement","K1H","264.00","-","709",""
"Bost Luc","K1H","267.00","-","729",""
"Matthias Besse","K1H","268.00","-","735",""
"Pierre Portais","K1H","280.00","-","814",""
"Legros Jean-Baptiste","K1H","288.00","-","866",""
"Marchegay Philippe","K1H","291.00","-","886",""
"Continsouzat Mickael","K1H","297.00","-","924",""
"Mariaux Sebastien","K1H","301.00","-","951",""
"Meyrignac François","K1H","306.00","-","983",""
"Abad Jeremy","K1H","309.00","-","1003",""
"Baudimont Benoit","K1H","320.00","-","1075",""
"Mazeau Stephane","K1H","327.00","-","1121",""
"Baptiste Tuffery","K1H","350.00","-","1271",""
"Delage Florent","K1H","367.00","-","1382",""
"Aurelien Mikulec","K1H","397.00","-","1578",""
"Delcombel Julien","K1H","404.00","-","1623",""
"Pascal Joachim","K1H","410.00","-","1663",""
"Barthomier Benoit","K1H","413.00","-","1683",""
"Delorme Vincent","K1H","423.00","-","1748",""
"Archambault Guillaume","K1H","462.00","-","2003",""
"Signarbieux Pascal","K1H","487.00","-","2166",""
"Fourton Florian","K1H","505.00","-","2283",""
"Male Yohan","K1H","524.00","-","2408",""
"Nairabeze Samuel","K1H","670.00","-","3362",""
"Rubellin Baptiste","K1H","689.00","-","3486",""
"Orvain Christophe","K1H","810.00","-","4276",""
