"Sélectif N3 Nord Ouest - Sablé Sur Sarthe - 2004-05-22","Course 1","2004-05-22","Nationale 3","131"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Julien Brouzes","C1H","222.93","331","294",""
"Emmanuel Bisson","C1H","228.03","295","323",""
"Marc Anthoine Marchand","C1H","232.40","313","347",""
"Lichou Thibault","C1H","234.13","356","356",""
"Sebastien Cardiet","C1H","234.31","388","357",""
"Olivier Leboeuf","C1H","234.94","283","361",""
"Leproult Jonathan","C1H","238.35","437","380",""
"Granger Pierre Emmanuel","C1H","241.21","316","396",""
"Jeremy Bretteville","C1H","243.63","399","410",""
"Cedric Collet","C1H","244.21","339","413",""
"Avril Jose","C1H","247.03","748","429",""
"Antoine Bizot","C1H","248.53","465","438",""
"Babusiaux Sebastien","C1H","250.23","448","447",""
"Teddy Poulard","C1H","251.58","466","455",""
"Nicolas Guillemot","C1H","255.53","616","477",""
"Brendan Croizer","C1H","265.10","526","531",""
"Rouge Pierre","C1H","265.86","563","534",""
"Canonica Julien","C1H","282.10","629","625",""
"Saucet Manuel- Doucet Tanguy","C2H","274.27","531","512",""
"Mahe Alan- Le Gallic Thomas","C2H","283.98","429","564",""
"Barbier Cyril- Mouroux Jeff","C2H","340.64","590","868",""
"Pierre Chassigneux-Brigitte Passet","C2M","302.73","684","665",""
"Le Guen Remi- Linard Alice","C2M","306.54","661","685",""
"Oriane Rebours","K1D","253.53","345","400",""
"Montaine Roumet","K1D","256.88","424","418",""
"Erell Chardon Vivier","K1D","258.46","388","427",""
"Clothilde Rocher","K1D","260.85","410","440",""
"Clara Yang-ting","K1D","266.31","471","469",""
"Kristell Bervet","K1D","266.98","430","473",""
"Fouille Aline","K1D","269.05","384","484",""
"Rocher Laura","K1D","270.61","461","492",""
"Laetitia Odermatt","K1D","275.54","571","519",""
"Charlotte Hay","K1D","275.63","475","519",""
"Gallot Lavallee Edith","K1D","281.48","579","551",""
"Julie Quesne","K1D","282.21","528","554",""
"Delhia Petiot","K1D","288.50","506","588",""
"Jounot Laura","K1D","313.09","450","720",""
"Duris Marion","K1D","318.73","645","750",""
"Marine Joslin","K1D","325.73","585","787",""
"Landa Louise","K1D","335.92","583","842",""
"Warion Flavie","K1D","349.38","425","915",""
"Lecoq Emilie","K1D","372.18","708","1036",""
"Yoann Hautecloche","K1H","199.18","255","216",""
"Fabien Tournadre","K1H","205.45","216","253",""
"Melaine Pichard","K1H","207.78","291","267",""
"Kevin Gouabault","K1H","207.89","256","267",""
"Anthony Cadoret","K1H","208.17","294","269",""
"Paul Brier","K1H","211.13","215","286",""
"Mathieu Godin","K1H","211.76","260","290",""
"Dubost Antoine","K1H","212.38","283","294",""
"Froissard Arnaud","K1H","212.93","318","297",""
"Ludovic Gloaguen","K1H","213.73","296","302",""
"Decurey Franck","K1H","213.84","304","303",""
"Richard Davy","K1H","214.82","245","308",""
"Le Bris Gildas","K1H","215.85","296","314",""
"David Despierres","K1H","215.89","311","315",""
"Grosvalet Pierre","K1H","216.31","402","317",""
"Bertrand Avril","K1H","216.79","298","320",""
"Bastien Pailler","K1H","216.81","316","320",""
"Brieuc Cadic","K1H","216.86","311","321",""
"Boivin Xavier","K1H","217.46","333","324",""
"Nicolas Arnoult","K1H","219.94","288","339",""
"Erwan Desbordes","K1H","220.49","333","342",""
"Chaumier Florian","K1H","220.63","336","343",""
"Le Garrec Julien","K1H","221.08","347","346",""
"Durand Franck","K1H","221.24","422","347",""
"Olivier Roussel","K1H","222.26","306","352",""
"Debray Damien","K1H","222.74","343","355",""
"Lebreton Simon","K1H","222.87","316","356",""
"Onillon Baptiste","K1H","224.42","350","365",""
"Laurent Van Poucke","K1H","224.43","381","365",""
"Julien Vetele","K1H","224.92","314","368",""
"Landa Thomas","K1H","225.60","320","372",""
"Hoel Carnot","K1H","227.47","409","383",""
"Corbeau Benjamin","K1H","227.49","493","383",""
"Morvan Antoine","K1H","228.15","388","387",""
"Simon Joseph","K1H","229.56","415","396",""
"Guyomard Julien","K1H","230.54","414","401",""
"Benjamin Thiboust","K1H","230.94","434","403",""
"Anthony Thuillier","K1H","231.69","449","408",""
"Simon Bercon","K1H","231.95","430","410",""
"Barroche Christopher","K1H","232.09","446","410",""
"Dubu Alain","K1H","232.35","368","412",""
"Simon Joudou","K1H","232.62","371","414",""
"Charles Kerbellec","K1H","232.73","494","414",""
"Pierre-yves Lebreton","K1H","232.82","456","415",""
"Reuche Benjamin","K1H","232.89","416","415",""
"Romain Richard","K1H","233.84","426","420",""
"Jeremy Froger","K1H","234.05","450","421",""
"Paul Fievet","K1H","234.64","433","425",""
"Le Bris Pierrick","K1H","235.06","445","428",""
"Chemineau Frederic","K1H","236.18","478","435",""
"Didier Niel","K1H","236.91","347","439",""
"Delasalle Jerome","K1H","237.00","400","440",""
"Rogue Clement","K1H","237.38","451","441",""
"Sinquin Gwenael","K1H","238.24","476","446",""
"Simier Alan","K1H","239.07","355","451",""
"Verger Nicolas","K1H","240.07","475","457",""
"Pennarun         * Kevin","K1H","240.56","423","460",""
"Planchais Martial","K1H","242.66","501","472",""
"Ansquer Guy","K1H","243.22","503","476",""
"Despont Tristan","K1H","243.61","381","478",""
"Mathieu Bourdet","K1H","248.46","427","507",""
"Eon Tom","K1H","248.71","506","509",""
"Madec Christophe","K1H","248.77","435","509",""
"Joris Rocher","K1H","250.36","607","518",""
"Houdard Josselin","K1H","251.53","461","525",""
"Prigent Mathieu","K1H","252.40","407","530",""
"Manuel Moquet","K1H","254.48","512","542",""
"Chevallier Clément","K1H","255.17","655","546",""
"Edouard Anne","K1H","256.12","601","552",""
"Simon Bonnet","K1H","256.32","598","553",""
"Benjamin Dolbecq","K1H","256.44","559","554",""
"Anthony Mottais","K1H","257.55","667","560",""
"Dupe Maxime","K1H","266.68","602","614",""
"Descheres Erwan","K1H","266.71","503","614",""
"Olivier Cornu","K1H","269.32","460","629",""
"Froger Alexandre","K1H","273.53","733","654",""
"Dugast Jeanfrancois","K1H","275.05","582","664",""
"Mercier Remi","K1H","276.85","629","674",""
"Quillet Maxime","K1H","277.39","570","677",""
"Morin Thomas","K1H","277.66","629","679",""
"Vincent Gourmel","K1H","280.26","401","694",""
"Dominique Odile","K1H","281.61","553","702",""
"Hutteau Damien","K1H","284.68","662","720",""
"Lebar Johnny","K1H","295.91","547","786",""
"Ronan Gestin","K1H","302.29","657","824",""
"Emmanuel Despont","K1H","304.65","731","838",""
"Moriceau Christian","K1H","306.75","756","850",""
"Perche Alexis","K1H","313.91","691","893",""
"Arthur Feraud","K1H","315.01","532","899",""
