"Finale N3 Sud Ouest - Angoulême Course 1","Angoulême","Course 1","","2004-05-23","Nationale 3","78"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Jonathan Suc","C1H","243.23","405.0","320.0",""
"Come Hebert","C1H","247.34","391.0","342.0",""
"Lecocq Pierre","C1H","248.05","350.0","345.0",""
"Martin Thomas","C1H","257.65","431.0","396.0",""
"Braud Sylvain","C1H","258.88","449.0","403.0",""
"Deguil Josselin","C1H","277.8","530.0","504.0",""
"Bazot Julien","C1H","284.63","520.0","540.0",""
"Maxime Herve","C1H","299.46","734.0","619.0",""
"Nicolas Scharff","C1H","310.97","614.0","681.0",""
"Frederic Descot-Yoan Dalla Longa","C2H","282.99","572.0","463.0",""
"Laetitia Thueux","K1D","267.72","356.0","386.0",""
"Julie Blank","K1D","268.8","410.0","390.0",""
"Ancellin Marie","K1D","272.7","346.0","411.0",""
"Lafrais Sandra","K1D","277.08","431.0","433.0",""
"Tessier Fanny","K1D","279.94","488.0","447.0",""
"Justine Baudu","K1D","290.62","530.0","502.0",""
"Blanloeuil Sandra","K1D","293.31","580.0","516.0",""
"Adisson Estelle","K1D","296.69","498.0","533.0",""
"Jegouzo Adeline","K1D","305.3","516.0","576.0",""
"Bize Freddie","K1D","345.11","644.0","780.0",""
"Maelstaf Jeremy","K1H","218.44","239.0","246.0",""
"Thibaud Rottier","K1H","221.21","278.0","261.0",""
"Ludovic Di Nisi","K1H","223.41","283.0","273.0",""
"Delahaie Emmanuel","K1H","223.91","279.0","276.0",""
"Frederic Descot","K1H","228.12","307.0","299.0",""
"Thibault Dufour","K1H","228.13","287.0","299.0",""
"Paul Storez","K1H","228.77","262.0","303.0",""
"Etienne Baudu","K1H","229.96","-","310.0",""
"Lucas Kelifaoui","K1H","230.71","367.0","314.0",""
"Demouy Grégoire","K1H","235.27","409.0","340.0",""
"Damien Caillon","K1H","237.65","363.0","353.0",""
"Yohann Courouble","K1H","237.67","345.0","353.0",""
"Manuel Legros","K1H","242.45","292.0","380.0",""
"Feuillet Etienne","K1H","243.35","423.0","386.0",""
"Herve Launay","K1H","243.41","404.0","386.0",""
"Tristan Gaboriau","K1H","244.2","443.0","389.0",""
"Philippe Metran","K1H","244.42","330.0","391.0",""
"Doat Francois","K1H","245.02","350.0","394.0",""
"Mathieu Pouchet","K1H","245.32","402.0","396.0",""
"Xavier Flatreau","K1H","246.84","388.0","405.0",""
"Jean Thomas Genet","K1H","247.22","456.0","407.0",""
"Lecluse Arnaud","K1H","247.56","378.0","409.0",""
"Colin Jean-Etienne","K1H","247.8","479.0","410.0",""
"Francois Cauchi","K1H","248.53","558.0","414.0",""
"Julien Signarbieux","K1H","250.09","435.0","423.0",""
"Martinez-Arconada Armel","K1H","250.37","387.0","425.0",""
"Sylvain Mendez","K1H","251.98","461.0","433.0",""
"Hugues Lesimple","K1H","252.01","385.0","433.0",""
"Caillaud Adrien","K1H","252.97","467.0","439.0",""
"Lay Matthieu","K1H","253.24","412.0","440.0",""
"Marc Robert","K1H","256.12","568.0","457.0",""
"Lionel Blank","K1H","256.97","401.0","462.0",""
"Rolando Thomas","K1H","259.23","483.0","475.0",""
"Olivier Tony","K1H","262.89","-","494.0",""
"Dupuy Julien","K1H","264.08","488.0","501.0",""
"Rouet Jeremy","K1H","264.34","633.0","503.0",""
"Pierrealexis Gabriel","K1H","265.08","505.0","507.0",""
"Cassagne Geoffroy","K1H","266.47","552.0","515.0",""
"Herve Maxime","K1H","267.63","533.0","522.0",""
"Merzeau Michel","K1H","273.16","530.0","552.0",""
"Chesne Gregory","K1H","275.38","-","565.0",""
"Jaffray Erwan","K1H","275.46","481.0","565.0",""
"Peyre Maxime","K1H","275.84","499.0","568.0",""
"Lafitte Florian","K1H","276.08","543.0","569.0",""
"Micouraud Yohan","K1H","278.18","528.0","580.0",""
"Dutilloy Jonas","K1H","279.13","584.0","585.0",""
"Delpeyroux Pierre","K1H","283.03","549.0","608.0",""
"Duclos Maxime","K1H","289.04","540.0","641.0",""
"Lafitte Aurelien","K1H","290.4","564.0","649.0",""
"Coquet Florent","K1H","290.71","538.0","651.0",""
"Benoit Couturier","K1H","290.88","482.0","652.0",""
"Tony Deshayes","K1H","293.48","319.0","666.0",""
"Rouger Gael","K1H","301.6","789.0","711.0",""
"Lafitte Daniel","K1H","302.26","578.0","715.0",""
"Gourdin Nicolas","K1H","314.07","483.0","782.0",""
"Mazagot Christophe","K1H","314.8","598.0","786.0",""
"Marcelly Kevin","K1H","318.17","824.0","804.0",""
"Thomas Wingerter","K1H","327.06","722.0","854.0",""
