"Coupe de France N1 - Foix - 8ème Manche - 2004-06-06","Foix","8ème Manche","","2004-06-06","Nationale 1","68"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Brugvin Emmanuel","C1H","192.6","36.0","18.0",""
"Baptiste Delaplace","C1H","194.5","31.0","25.0",""
"Eric Deguil","C1H","197.53","26.0","38.0",""
"Charly Chassigneux","C1H","199.06","45.0","44.0",""
"Pierre Labarelle","C1H","200.04","17.0","48.0",""
"Pons Alexandre","C1H","203.26","50.0","61.0",""
"Biselx Thomas","C1H","207.38","68.0","78.0",""
"Rauturier Armand","C1H","207.39","66.0","78.0",""
"Ronan Betrom","C1H","212.81","67.0","100.0",""
"Lepage Clement","C1H","212.91","72.0","101.0",""
"Lepretre Nicolas","C1H","213.54","103.0","103.0",""
"Cyril Duquet","C1H","215.37","97.0","111.0",""
"Loic Bourgeois","C1H","217.11","104.0","118.0",""
"Lorrie Delattre","C1H","223.41","73.0","143.0",""
"Jerome Le Gall","C1H","254.56","55.0","271.0",""
"Remy Alonso-Victor Lamy","C2H","205.54","58.0","32.0",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","217.59","96.0","79.0",""
"Maxime Vallin-Gauthier Gonseth","C2H","236.57","100.0","153.0",""
"Perrin Jeanjerome- Perrin Alexandre","C2H","236.74","154.0","154.0",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","269.76","122.0","283.0",""
"Bardet Annelise","K1D","200.8","20.0","14.0",""
"Mathilde Pichery","K1D","206.51","40.0","36.0",""
"Emilie Fer","K1D","208.25","59.0","43.0",""
"Thome Celine","K1D","212.0","97.0","58.0",""
"Marie Gaspard","K1D","214.05","60.0","65.0",""
"Bomboy Alice","K1D","218.34","89.0","82.0",""
"Carole Bouzidi","K1D","221.46","75.0","95.0",""
"Nelly Tornare","K1D","223.14","67.0","101.0",""
"Elisa Venet","K1D","226.32","118.0","113.0",""
"Claire Landrin","K1D","228.61","77.0","122.0",""
"Borg Julie","K1D","230.94","134.0","132.0",""
"Guindeo Mariepierre","K1D","236.48","122.0","153.0",""
"Ophelie Delaplace","K1D","278.84","68.0","318.0",""
"Julie Labarelle","K1D","288.55","94.0","356.0",""
"Frederic Walczak","K1H","184.94","28.0","24.0",""
"Julien Dekarczyk","K1H","186.06","28.0","28.0",""
"Pierre Devaux","K1H","186.36","32.0","30.0",""
"Benjamin Boukpeti","K1H","187.59","41.0","35.0",""
"Christophe Augu","K1H","187.82","43.0","36.0",""
"Baillon Nicolas","K1H","187.88","38.0","37.0",""
"Pierre Bourliaud","K1H","188.3","35.0","38.0",""
"Mathieu Doby","K1H","188.78","34.0","41.0",""
"Matthieu Le Gall","K1H","189.97","44.0","45.0",""
"Damien Laborde","K1H","192.16","65.0","55.0",""
"Raphael Reveche","K1H","192.31","67.0","55.0",""
"Bernis Camille","K1H","192.45","49.0","56.0",""
"Julien Arribe","K1H","192.53","54.0","57.0",""
"Davy Egraz","K1H","192.73","59.0","58.0",""
"Sebastien Halilou","K1H","193.92","43.0","62.0",""
"Christophe Marechal","K1H","193.96","34.0","63.0",""
"Jean Christophe Boivin","K1H","194.84","42.0","66.0",""
"Thomas Jean Pascal","K1H","195.39","67.0","69.0",""
"Damien Boudet","K1H","195.39","68.0","69.0",""
"Cordonnier Raphael","K1H","195.57","87.0","69.0",""
"Mathieu Le Gal","K1H","195.65","88.0","70.0",""
"Julien Tous","K1H","195.94","69.0","72.0",""
"Lambert Guillaume","K1H","196.39","78.0","73.0",""
"Gregory Busson","K1H","197.24","84.0","77.0",""
"Nicolas Coudert","K1H","198.39","80.0","82.0",""
"Lesquer David","K1H","198.76","82.0","83.0",""
"Piquard Charles","K1H","199.04","80.0","85.0",""
"Yoan Minvielle","K1H","199.39","64.0","86.0",""
"Jean Charles Creusot Walter","K1H","201.68","70.0","96.0",""
"Benoit Rouffet","K1H","241.41","60.0","266.0",""
"Aurelien Maynadier","K1H","244.04","40.0","278.0",""
"Patrice Fischer","K1H","244.47","68.0","279.0",""
"Bernard Babi","K1H","252.02","77.0","312.0",""
"Cheutin Jean-Yves","K1H","280.26","27.0","433.0",""
