"Sélectif Régional - Pont Audemer - 2004-06-06","Course 1","2004-06-06","Régional","64"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Guillaume Izydorczyk","C1H","179.00","264","326",""
"Jeremy Bretteville","C1H","183.86","403","363",""
"Picart Pierre","C1H","188.55","464","399",""
"Leyoudec Florent","C1H","202.71","-","507",""
"Samuel Bonvalet","C1H","203.98","559","517",""
"Geoffroy Lauth","C1H","210.64","557","568",""
"Simon Joudou","C1H","217.75","-","622",""
"Tanguy Pascal","C1H","220.89","918","646",""
"Vincent Richard","C1H","232.66","-","736",""
"Donatien Lamoureux","C1H","236.78","883","768",""
"Despre Philippe","C1H","238.11","887","778",""
"Sebastien Masseline","C1H","244.82","-","829",""
"Olivier Cornu","C1H","267.46","-","1002",""
"Delabarre Kevin","C1H","304.01","-","1281",""
"Teddy Poulard-Jeremy Bretteville","C2H","205.22","401","456",""
"Beaudoin Fabien- Godin Mathieu","C2H","215.01","-","526",""
"Roberge Sebastien- Delabarre Kevin","C2H","337.29","-","1418",""
"Lauth Geoffroy- Broin Rachel","C2M","329.22","-","1359",""
"Bonvalet Samuel- Lamoureux Marie Claude","C2M","336.21","-","1411",""
"Melina Letellier","K1D","189.05","292","338",""
"Anne Sophie Le Bailly","K1D","194.94","278","381",""
"Clara Yang-ting","K1D","213.14","464","512",""
"Charlotte Hay","K1D","214.97","475","526",""
"Landa Louise","K1D","216.81","583","539",""
"Picart Carole","K1D","226.34","651","609",""
"Natacha Richer","K1D","282.70","1022","1021",""
"Benoit Letellier","K1H","153.71","132","192",""
"Beaudoin Fabien","K1H","159.11","224","235",""
"Mathieu Godin","K1H","160.43","260","245",""
"Vaillant Tiphaine","K1H","167.44","207","301",""
"Didier Niel","K1H","172.21","347","340",""
"Jeremy Bretteville","K1H","173.15","443","347",""
"Sebastien Delaunay","K1H","174.41","396","358",""
"Landa Thomas","K1H","174.45","320","358",""
"Simon Joudou","K1H","178.16","371","388",""
"Anthony Thuillier","K1H","178.62","422","391",""
"Houdard Josselin","K1H","178.66","461","391",""
"Teddy Poulard","K1H","179.40","366","398",""
"Verger Nicolas","K1H","179.43","464","398",""
"Nicolas Dupres","K1H","180.38","332","405",""
"Leyoudec Florent","K1H","180.80","616","408",""
"Boivin Xavier","K1H","182.02","325","419",""
"Guyomard Julien","K1H","182.12","405","419",""
"Jeansebastien Simonklein","K1H","183.32","298","429",""
"Eon Tom","K1H","186.83","497","458",""
"Olivier Cornu","K1H","188.37","460","470",""
"Vincent Richard","K1H","190.02","429","482",""
"Lebar Johnny","K1H","202.11","547","580",""
"Despre Philippe","K1H","202.93","589","586",""
"Quillet Maxime","K1H","205.73","570","609",""
"Anthony Mottais","K1H","209.32","612","638",""
"Simon Bonnet","K1H","212.52","581","664",""
"Marcen Nathan","K1H","215.24","-","685",""
"Leray David","K1H","217.84","-","706",""
"Roussin Michel","K1H","218.98","722","715",""
"Laurent Ernou","K1H","235.71","758","849",""
"Lacourcelle Maurice","K1H","254.29","992","999",""
"Joubier Aurelien","K1H","260.22","1021","1046",""
"Abrahmi Charles Edouard","K1H","272.26","1340","1143",""
"Eon Jean-Francois","K1H","282.67","1759","1226",""
"Roberge Sebastien","K1H","286.83","-","1260",""
"Ouin Mickael","K1H","316.27","-","1497",""
"Guérrier Amaury","K1H","522.71","-","3153",""
"Imbert Arnaud","K1H","609.60","-","3850",""
