"challenge Bernard Bégard - Montreuil Sur Mer Course 1","Montreuil Sur Mer","Course 1","","2004-09-26","Régional","97"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Baptiste Delaplace","C1H","179.93","28.0","166.0",""
"Thibaud Vielliard","C1H","194.85","349.0","267.0",""
"Guillaume Doutreix","C1H","206.02","347.0","343.0",""
"Goubrievsky Sebastien","C1H","209.16","285.0","365.0",""
"Gosselin Pierrick","C1H","210.46","-","373.0",""
"Debliquy Stephane","C1H","215.95","-","412.0",""
"Canonica Julien","C1H","233.92","629.0","534.0",""
"Leroy Anthony","C1H","242.63","-","593.0",""
"Gerbet Chantal","C1H","256.19","-","686.0",""
"Pierre Maillard","C1H","258.63","-","703.0",""
"Bachelier Antoine","C1H","262.94","-","732.0",""
"Ple Germain","C1H","280.87","-","855.0",""
"Bernard Cerney","C1H","292.24","-","932.0",""
"Delabarre Kevin","C1H","352.82","-","1346.0",""
"Louis Firmin","C1H","490.27","-","2284.0",""
"Hannedouche Vincent- Vieillard Thibaud","C2H","222.06","-","384.0",""
"Teddy Poulard-Jeremy Bretteville","C2H","232.06","401.0","449.0",""
"Sellier Guillaume- Boisdanghien Clement","C2H","242.42","-","517.0",""
"Vieillard Alexis- Ben Brahim Anouar","C2H","255.38","-","601.0",""
"Sergent Sylvain- Averlant Alexis","C2H","264.61","-","661.0",""
"Roberge Sebastien- Canonica Julien","C2H","288.21","-","815.0",""
"Deffontaine Antoine- Deffontaine Gauthier","C2H","313.31","-","979.0",""
"Philippe Vermersch-Bernard Cerney","C2H","372.6","-","1365.0",""
"Caroline Loir","K1D","211.29","208.0","277.0",""
"Ben Brahim Wassila","K1D","220.68","-","336.0",""
"Beuvin Camille","K1D","222.74","459.0","349.0",""
"Clara Yang-ting","K1D","228.25","478.0","384.0",""
"Lahousse Perrine","K1D","232.22","395.0","409.0",""
"Dachicourt Perrine","K1D","235.39","-","430.0",""
"Charlotte Hay","K1D","239.1","475.0","453.0",""
"Picart Carole","K1D","241.17","618.0","466.0",""
"Senecat Aude","K1D","259.77","-","584.0",""
"Natacha Richer","K1D","309.88","905.0","903.0",""
"Vincent Hannedouche","K1H","180.0","-","227.0",""
"Gosselin Pierrick","K1H","180.56","-","231.0",""
"Mikael Maupin","K1H","180.78","172.0","232.0",""
"Dupont Eric","K1H","182.15","213.0","242.0",""
"Valadon Louis","K1H","183.14","248.0","250.0",""
"Thibault Bellembois","K1H","185.3","-","265.0",""
"Pierre Baux","K1H","187.99","343.0","285.0",""
"Soete Arnaud","K1H","188.6","249.0","289.0",""
"Franck Dessaint","K1H","189.06","222.0","292.0",""
"Viellard Amaury","K1H","191.11","296.0","307.0",""
"Boivin Xavier","K1H","191.41","325.0","309.0",""
"Vieillard Alexis","K1H","194.47","304.0","331.0",""
"Christophe Gosselin","K1H","195.05","199.0","335.0",""
"Didier Niel","K1H","195.16","340.0","336.0",""
"Cedric Mace","K1H","195.22","247.0","336.0",""
"Nicolas Dupres","K1H","195.64","328.0","339.0",""
"Ben Brahim Anouar","K1H","196.61","-","346.0",""
"Thibaud Vielliard","K1H","196.71","317.0","347.0",""
"Dupont Emmanuel","K1H","197.32","346.0","352.0",""
"Anthony Thuillier","K1H","197.54","405.0","353.0",""
"Sergent Sylvain","K1H","199.75","308.0","369.0",""
"Terryn Gilles","K1H","200.72","434.0","376.0",""
"Jeansebastien Simonklein","K1H","200.75","298.0","376.0",""
"Philippe Gendraux","K1H","200.79","-","377.0",""
"Simon Joudou","K1H","202.49","337.0","389.0",""
"Verger Nicolas","K1H","203.1","426.0","393.0",""
"Teddy Poulard","K1H","205.28","366.0","408.0",""
"Legrand Adrien","K1H","206.42","363.0","416.0",""
"Fontaine Vincent","K1H","206.87","404.0","419.0",""
"Averlant Alexis","K1H","215.04","-","478.0",""
"Decaux Louis","K1H","215.22","503.0","479.0",""
"Esnault Nicolas","K1H","215.27","549.0","479.0",""
"Kaczmarek Thomas","K1H","215.85","-","484.0",""
"Lebar Johnny","K1H","218.79","547.0","506.0",""
"Houdant Batiste","K1H","219.2","504.0","508.0",""
"Eric Lamour","K1H","219.55","-","511.0",""
"Gaetan Dheilly","K1H","222.85","461.0","534.0",""
"Bachelier Antoine","K1H","223.27","620.0","537.0",""
"Averlant Etienne","K1H","223.8","412.0","541.0",""
"Morin Thomas","K1H","224.25","629.0","544.0",""
"Lagache Jean Christophe","K1H","225.72","512.0","555.0",""
"Antoine Deffontaine","K1H","228.57","-","576.0",""
"Thomas Plomion","K1H","233.47","1178.0","611.0",""
"Segard Paul","K1H","236.9","-","635.0",""
"Ferlin Berenger","K1H","237.53","658.0","639.0",""
"Depreck Josselin","K1H","238.6","566.0","647.0",""
"Sarazin Jean Benoit","K1H","244.59","-","691.0",""
"Vermersch Elie","K1H","247.83","-","714.0",""
"Vermersch Philippe","K1H","260.06","754.0","801.0",""
"Deffontaine Gauthier","K1H","263.74","-","827.0",""
"Renard Guillaume","K1H","270.99","-","880.0",""
"Lignier Laurent","K1H","280.04","-","944.0",""
"Sabre Quentin","K1H","280.37","-","946.0",""
"Martin Sacleux","K1H","282.26","-","961.0",""
"Roberge Sebastien","K1H","291.77","-","1028.0",""
"Berenger Bonnard","K1H","294.54","-","1048.0",""
"Lefebvre Richard","K1H","303.19","-","1110.0",""
"Quentin Sirven","K1H","305.04","-","1124.0",""
"Poupart Maxime","K1H","305.3","-","1126.0",""
"Kevin Pantofel","K1H","308.34","-","1148.0",""
"Besneux Pascal","K1H","322.01","-","1245.0",""
"Martin Jaze","K1H","325.07","-","1267.0",""
"Maximilien Duvette","K1H","368.86","-","1581.0",""
"Deffebvre Pierre","K1H","494.3","-","2481.0",""
