"Sélectif régional de slalom - Cergy-Neuville - 2004-10-17 Course 1","Cergy-Neuville","Course 1","","2004-10-17","Régional","204"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Baptiste Delaplace","C1H","175.9","21.0","69.0",""
"Pons Alexandre","C1H","179.5","52.0","91.0",""
"Mathieu Voyemant","C1H","183.69","106.0","118.0",""
"Gaspard Remi","C1H","184.7","-","125.0",""
"Antoine Lebellec","C1H","189.28","195.0","154.0",""
"Julien Gaspard","C1H","195.22","-","192.0",""
"Maxime Cousin","C1H","196.6","219.0","200.0",""
"Olivier Gesbert","C1H","197.5","251.0","206.0",""
"Mirand Guillaume","C1H","198.39","312.0","212.0",""
"Xavier Jourdain","C1H","203.27","247.0","242.0",""
"Pierre Berthelot Kleck","C1H","204.1","210.0","248.0",""
"Ludovic Roye","C1H","204.71","264.0","252.0",""
"Cubizolles Sebastien","C1H","206.19","192.0","262.0",""
"Remi Debailleul","C1H","209.92","-","284.0",""
"Goubrievsky Sebastien","C1H","212.86","307.0","304.0",""
"Guillonet Jerome","C1H","214.32","322.0","312.0",""
"Allemandou Fabien","C1H","214.33","317.0","312.0",""
"Courtille Arnaud","C1H","216.1","-","324.0",""
"Guillaume Doutreix","C1H","221.66","345.0","360.0",""
"Fabien Tournadre","C1H","223.17","-","370.0",""
"Senechault Jean-Michel","C1H","223.18","288.0","370.0",""
"Jemaa Souleyk","C1H","224.48","369.0","377.0",""
"Thibaud Vielliard","C1H","225.62","312.0","385.0",""
"Jean-guillaume Desmoulin","C1H","292.62","-","811.0",""
"Heilles Fabien","C1H","298.46","380.0","847.0",""
"Donatien Lamoureux","C1H","366.87","755.0","1282.0",""
"Guillaume Izydorczyk","C1H","406.37","286.0","1533.0",""
"Bechade Olivier","C1H","422.24","-","1633.0",""
"Fournier Yann","C1H","450.77","-","1814.0",""
"Gaspard Remi- Gaspard Julien","C2H","184.69","22.0","71.0",""
"Mathieu Voyemant-Damien Troquenet","C2H","190.16","24.0","104.0",""
"Andrieu Sebastien- Mirand Guillaume","C2H","193.44","74.0","125.0",""
"Pons Alexandre- Delaplace Baptiste","C2H","197.01","-","146.0",""
"Remy Alonso-Victor Lamy","C2H","200.23","35.0","166.0",""
"Teddy Poulard-Jeremy Bretteville","C2H","220.18","401.0","287.0",""
"Monvoisin Benoit- Granger Terence","C2H","221.83","259.0","296.0",""
"Allemandou Fabien- Darcillon Bastien","C2H","226.8","363.0","327.0",""
"Sellier Guillaume- Boisdanghien Clement","C2H","233.19","-","365.0",""
"Jolivet Pierre- Barnavon Nicolas","C2H","272.1","-","601.0",""
"Lismonde Jean Batiste- Gaud Gilles","C2H","275.38","354.0","621.0",""
"Maignan Adrien- Renoux Franck","C2H","287.22","858.0","693.0",""
"Lismonde Alexandre- Court Germain","C2H","290.19","-","711.0",""
"Thibault Bigeon-Antoine Decambon","C2H","291.49","354.0","719.0",""
"Marie Gaspard","K1D","186.59","45.0","53.0",""
"Dejours Nelly","K1D","192.92","138.0","90.0",""
"Tharaud Anais","K1D","198.18","147.0","122.0",""
"Paoletti Camille","K1D","216.65","215.0","231.0",""
"Caroline Loir","K1D","220.28","208.0","252.0",""
"Larribau Myriam","K1D","226.22","-","287.0",""
"Beuvin Camille","K1D","229.29","406.0","305.0",""
"Melina Letellier","K1D","233.43","241.0","330.0",""
"Defoix Angelique","K1D","236.89","316.0","350.0",""
"Arnaud Anais","K1D","255.33","330.0","459.0",""
"Clara Yang-ting","K1D","258.48","399.0","477.0",""
"Fievez Julie","K1D","272.17","-","558.0",""
"Lea Feuillard","K1D","274.36","407.0","571.0",""
"Picart Carole","K1D","334.31","555.0","925.0",""
"Pauline Soenen","K1D","393.88","461.0","1276.0",""
"Charlotte Hay","K1D","434.6","438.0","1517.0",""
"Clementine Vuillermot-panthou","K1D","571.19","699.0","2322.0",""
"Marie Lucas","K1D","630.47","443.0","2673.0",""
"Julien Dekarczyk","K1H","174.48","23.0","115.0",""
"Thibaud Delaunay","K1H","178.6","62.0","143.0",""
"Bluy Alexandre","K1H","179.55","118.0","149.0",""
"Brogniart Arnaud","K1H","179.85","67.0","151.0",""
"Ciaran Heurteau","K1H","180.15","101.0","153.0",""
"Xavier Jourdain","K1H","182.07","116.0","166.0",""
"Louis Philippe Rigal","K1H","182.46","144.0","168.0",""
"Quentin Bove","K1H","183.28","144.0","174.0",""
"Benoit Letellier","K1H","185.07","132.0","186.0",""
"Childeric Thoreau","K1H","185.17","170.0","186.0",""
"Courtille Arnaud","K1H","185.24","206.0","187.0",""
"Valadon Louis","K1H","186.09","261.0","193.0",""
"Vincent Reiter","K1H","187.06","156.0","199.0",""
"Cedric Mace","K1H","187.54","247.0","203.0",""
"Romain Bove","K1H","187.99","173.0","206.0",""
"Ronan Lucas","K1H","188.23","181.0","207.0",""
"Fabien Tournadre","K1H","188.23","213.0","207.0",""
"Coiffe Florion","K1H","189.11","141.0","213.0",""
"Michel Gombert","K1H","190.13","176.0","220.0",""
"Mikael Maupin","K1H","194.28","176.0","248.0",""
"Briois Mathieu","K1H","195.22","-","253.0",""
"Jeremy Cremonesi","K1H","195.24","-","254.0",""
"Mathieu Godin","K1H","196.33","230.0","261.0",""
"Delaplace Baptiste","K1H","196.42","-","262.0",""
"Thibaud Vielliard","K1H","196.71","327.0","264.0",""
"Vieillard Alexis","K1H","196.84","304.0","264.0",""
"Bertrand Dubiez","K1H","196.92","212.0","265.0",""
"Morvan Antoine","K1H","197.49","314.0","268.0",""
"Didier Niel","K1H","198.18","328.0","274.0",""
"Benjamin Thiboust","K1H","198.2","320.0","274.0",""
"Simon Joudou","K1H","198.56","309.0","276.0",""
"Viellard Amaury","K1H","198.56","307.0","276.0",""
"Oswald Besch","K1H","198.97","145.0","279.0",""
"Michel Alexandre","K1H","198.98","-","279.0",""
"Florian Perenchio","K1H","199.12","243.0","280.0",""
"Julien Daumont","K1H","199.67","240.0","283.0",""
"Bastien Darcillon","K1H","201.87","285.0","298.0",""
"Yves Moreno","K1H","202.35","309.0","301.0",""
"Lair Nicolas","K1H","203.2","308.0","307.0",""
"Mickael Louchard","K1H","203.27","234.0","307.0",""
"Di Majo Romain","K1H","204.07","346.0","312.0",""
"Debruyere Benjamin","K1H","204.21","257.0","314.0",""
"Boivin Xavier","K1H","204.37","303.0","315.0",""
"Sebastien Racault","K1H","204.64","245.0","317.0",""
"Julien Darees","K1H","204.83","-","318.0",""
"Bensabeur Frederic","K1H","204.85","339.0","318.0",""
"Alban Planchais","K1H","204.86","382.0","318.0",""
"Sergent Sylvain","K1H","206.85","314.0","331.0",""
"Jodar Sebastien","K1H","207.29","-","334.0",""
"Proeschel Cedric","K1H","207.84","-","337.0",""
"Anthony Thuillier","K1H","208.28","377.0","341.0",""
"Nicolas Dupres","K1H","208.62","324.0","343.0",""
"Julien Signarbieux","K1H","209.64","363.0","350.0",""
"Soria Amaury","K1H","210.5","375.0","356.0",""
"Fontaine Vincent","K1H","211.53","398.0","362.0",""
"Sebastien Delaunay","K1H","212.68","376.0","370.0",""
"Laurent Van Poucke","K1H","212.95","336.0","372.0",""
"Dupont Emmanuel","K1H","213.35","351.0","375.0",""
"Viratelle Vincent","K1H","213.66","358.0","376.0",""
"Malderez Sebastien","K1H","214.3","312.0","380.0",""
"Stephane Sagnier","K1H","215.39","392.0","388.0",""
"Gerard Lafargue","K1H","215.61","402.0","390.0",""
"Brustiec Jerom","K1H","215.68","331.0","390.0",""
"Pierre Baux","K1H","216.69","314.0","397.0",""
"Reus Frederic","K1H","217.47","-","402.0",""
"Averlant Alexis","K1H","217.51","-","402.0",""
"Fievez Guillaume","K1H","217.52","373.0","402.0",""
"Hetier Louis","K1H","218.09","417.0","406.0",""
"Gaillot Christophe","K1H","220.01","409.0","419.0",""
"Barnavon Nicolas","K1H","220.23","466.0","420.0",""
"Gilles Flores","K1H","223.18","-","440.0",""
"Verger Nicolas","K1H","224.91","380.0","452.0",""
"Jean-noel Avril","K1H","224.93","342.0","452.0",""
"Thomas Monvoisin","K1H","226.88","587.0","465.0",""
"Guyomard Julien","K1H","227.63","402.0","470.0",""
"Andrieux Martin","K1H","228.15","409.0","473.0",""
"Thomas Le Lons","K1H","229.61","-","483.0",""
"Terryn Gilles","K1H","229.7","409.0","484.0",""
"Venceslas Viseur","K1H","229.92","41.0","485.0",""
"Nivel Cyril","K1H","231.21","134.0","494.0",""
"Ben Brahim Anouar","K1H","231.88","-","498.0",""
