"SEL REGIONAL SLALOM - Fontaine De Vaucluse - 2004-12-05 Course 1","Fontaine De Vaucluse","Course 1","","2004-12-05","Régional","124"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Thomas Levert","C1H","190.61","179.0","215.0",""
"Sennellier Jean","C1H","195.59","193.0","247.0",""
"Baptiste Tappero","C1H","200.59","233.0","279.0",""
"Eloi Seemann","C1H","203.05","308.0","294.0",""
"Cordeil Tristan","C1H","205.17","335.0","307.0",""
"Robin Clement","C1H","205.7","157.0","310.0",""
"Veith Geoffroy","C1H","205.85","288.0","311.0",""
"Adrien Didier","C1H","217.28","477.0","384.0",""
"Vergez Leo","C1H","217.54","373.0","386.0",""
"Bernhardt Christophe","C1H","220.82","457.0","406.0",""
"Molines Philippe","C1H","221.69","310.0","411.0",""
"Benoit Hostein","C1H","230.99","-","471.0",""
"Arribat Benoit","C1H","237.55","422.0","513.0",""
"Court Charles","C1H","261.62","636.0","665.0",""
"Pierrick Albert","C1H","277.87","-","767.0",""
"Sauvaget Gregory","C1H","286.68","454.0","824.0",""
"Sebastien De Kerleau","C1H","300.04","-","908.0",""
"Wadel Florian- Lamy Bertrand","C2H","219.64","465.0","336.0",""
"Sahuc Camille- Maillard Sebastien","C2H","251.91","-","531.0",""
"Marliere Yvan- Court Victor","C2H","262.47","655.0","594.0",""
"Eloi Seemann-Pierrick Albert","C2H","272.48","644.0","655.0",""
"Emilie Fer","K1D","193.46","49.0","147.0",""
"Roumet Alix","K1D","203.66","236.0","206.0",""
"Elise Escourrou","K1D","211.76","232.0","254.0",""
"Jade Vassallo","K1D","213.42","250.0","264.0",""
"Poncelet Frederique","K1D","215.55","309.0","276.0",""
"Amaglio Laura","K1D","216.48","336.0","282.0",""
"Sixtine Malaterre","K1D","217.68","241.0","289.0",""
"Riesenmey Caroline","K1D","219.7","315.0","301.0",""
"Charmasson Faustine","K1D","221.47","335.0","311.0",""
"Deborne Claire","K1D","221.66","285.0","312.0",""
"Coralie Yebenes","K1D","222.13","331.0","315.0",""
"Annaelle Meheut","K1D","223.51","384.0","323.0",""
"Magali Blanc","K1D","226.17","290.0","339.0",""
"Amelie Lutz","K1D","235.83","-","395.0",""
"Sarah Dupire","K1D","236.89","575.0","402.0",""
"Billon-Blouin Magali","K1D","239.45","-","417.0",""
"Lucile Delorme","K1D","241.73","-","430.0",""
