"CHAMPIONNAT DE NORMANDIE DE SLALOM - Pont D'ouilly - 2005-01-30","Course 1","2005-01-30","Régional","97"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Guillaume Wattez","C1H","195.20","132","148",""
"Jeremie Gouello","C1H","213.56","122","248",""
"Ludovic Roye","C1H","228.66","256","330",""
"Eude Regis","C1H","240.24","-","393",""
"Guillaume Izydorczyk","C1H","242.28","294","404",""
"Basquillon Laurent","C1H","242.65","-","406",""
"Avril Jose","C1H","259.98","409","500",""
"Eric Beaumont","C1H","269.11","-","550",""
"Teddy Poulard","C1H","288.05","372","652",""
"Oudry Simon","C1H","290.94","-","668",""
"Simon Joudou","C1H","295.30","518","692",""
"Langlin Romain","C1H","296.92","-","700",""
"Geoffroy Lauth","C1H","299.26","478","713",""
"Donatien Lamoureux","C1H","307.13","534","756",""
"Dubu Alain","C1H","314.38","-","795",""
"Anthony Thuillier","C1H","331.89","-","890",""
"Samuel Bonvalet","C1H","353.52","531","1008",""
"Canonica Julien","C1H","367.19","556","1082",""
"Lecointe Benoit","C1H","371.26","545","1103",""
"Coisnard Guillaume","C1H","462.39","725","1598",""
"Oudry Simon- Declomesnil Loic","C2H","328.61","-","791",""
"Roberge Sebastien- Delabarre Kevin","C2H","550.36","-","1939",""
"Evelyne Lambert-Yves Dulouard","C2M","414.27","766","1235",""
"Bonvalet Samuel- Lamoureux Marie Claude","C2M","463.33","1316","1489",""
"Despre Philippe- Lecointe Martine","C2M","667.38","1067","2545",""
"Melina Letellier","K1D","234.54","213","272",""
"Anne Sophie Le Bailly","K1D","251.65","215","358",""
"Nathalie Gil","K1D","275.89","335","480",""
"Picart Carole","K1D","285.82","443","530",""
"Pauline Soenen","K1D","296.94","302","586",""
"Landa Louise","K1D","304.68","467","625",""
"Leconte Sabrina","K1D","319.42","551","699",""
"Charlotte Hay","K1D","319.73","382","701",""
"Clara Yang-ting","K1D","348.20","346","845",""
"Huette Mylene","K1D","356.81","661","888",""
"Laura Guibout","K1D","363.36","453","921",""
"Perret Elodie","K1D","367.11","-","940",""
"Courvoisier Laurene","K1D","371.59","-","962",""
"Suzanne Karine","K1D","375.17","680","980",""
"Legendre Heïdi","K1D","390.96","-","1060",""
"Camus Helene","K1D","483.94","1078","1529",""
"Dominique Badie-kallou","K1D","496.40","-","1591",""
"Natacha Richer","K1D","658.27","812","2407",""
"Thibaud Delaunay","K1H","180.82","62","119",""
"Benoit Letellier","K1H","185.05","126","144",""
"Maubourguet Mathias","K1H","196.11","-","207",""
"Beaudoin Fabien","K1H","196.64","180","210",""
"Herve Busson","K1H","196.81","140","210",""
"Benjamin Thiboust","K1H","198.21","247","219",""
"Goulwen Chapelier","K1H","199.14","155","224",""
"Thomas Masuy","K1H","200.61","113","232",""
"Mathieu Godin","K1H","201.72","221","239",""
"Didier Niel","K1H","207.13","266","270",""
"Jean-luc Mottais","K1H","215.52","301","318",""
"Mickael Louchard","K1H","217.02","226","326",""
"Guillaume Wattez","K1H","217.38","-","328",""
"Froissard Arnaud","K1H","217.95","280","331",""
"Bertrand Avril","K1H","218.48","285","335",""
"Gouello Jeremy","K1H","218.61","503","335",""
"Nicolas Pinot","K1H","218.63","358","335",""
"Anthony Thuillier","K1H","221.98","279","354",""
"Andrieux Martin","K1H","225.30","358","373",""
"Dubu Alain","K1H","227.74","369","387",""
"Simon Joudou","K1H","230.65","282","403",""
"Olivier Cornu","K1H","238.46","390","448",""
"Simon Bonnet","K1H","240.22","416","458",""
"Demars Thomas","K1H","241.01","-","462",""
"Anthony Mottais","K1H","248.32","391","504",""
"Langlin Romain","K1H","248.79","429","507",""
"Verger Nicolas","K1H","250.89","380","519",""
"Alexandre Plouzeau","K1H","260.13","465","571",""
"Ludovic Garnier","K1H","262.10","557","583",""
"Dominique Odile","K1H","265.78","540","603",""
"Marcen Nathan","K1H","267.89","510","616",""
"Vincent Richard","K1H","281.76","432","695",""
"Quillet Maxime","K1H","286.98","541","725",""
"Roussin Michel","K1H","288.98","729","736",""
"Simon Philibert","K1H","291.18","626","748",""
"Jeanne Vincent","K1H","301.98","-","809",""
"Romain Laporte","K1H","305.38","-","829",""
"Valentin Cazin","K1H","306.96","528","838",""
"Despre Philippe","K1H","312.74","581","871",""
"Pierrick Meheust","K1H","317.64","591","899",""
"Roberge Sebastien","K1H","318.17","487","902",""
"Lefevre Romain","K1H","331.39","-","977",""
"Quentin Charles","K1H","360.06","595","1140",""
"Roussin Sebastien","K1H","360.46","-","1143",""
"Houssaye Emilien","K1H","372.70","-","1212",""
"Queruel Jeremie","K1H","372.74","-","1212",""
"Launay Emmanuel","K1H","373.64","555","1218",""
"Ferlin Berenger","K1H","413.48","632","1445",""
"Peyrucq Yoann","K1H","425.68","-","1514",""
"Delaunay Nicolas","K1H","450.43","1032","1655",""
"Boisnard Thomas","K1H","512.03","-","2006",""
"Baptiste Anger","K1H","554.05","-","2245",""
"Laville Hugo","K1H","563.67","-","2300",""
"Demutrecy Julien","K1H","721.21","-","3197",""
