"Championnat de Lorraine - Ancerville - 2005-04-03 Course 1","Ancerville","Course 1","","2005-04-03","Régional","88"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Herve Delamarre","C1H","181.86","79.0","91.0",""
"Loic Bourgeois","C1H","185.34","84.0","112.0",""
"Stephane Abadie","C1H","189.24","74.0","136.0",""
"Christophe Despres","C1H","189.54","137.0","138.0",""
"Parmentelat Edouard","C1H","199.87","270.0","201.0",""
"Pierrick Maujean","C1H","203.35","303.0","222.0",""
"Parmentelat Cyril","C1H","208.02","221.0","251.0",""
"Jeancharles Reby","C1H","212.68","197.0","279.0",""
"Marchal Bornert Vincent","C1H","220.85","330.0","328.0",""
"Frederic Saguet","C1H","222.4","343.0","337.0",""
"Treiber Edouard","C1H","237.18","442.0","427.0",""
"Lang Paul","C1H","238.84","71.0","437.0",""
"Olivier Arette Hourquet","C1H","260.01","210.0","565.0",""
"Alexandre Diemert","C1H","287.58","-","733.0",""
"Ehlinger Robin","C1H","291.35","-","756.0",""
"Yoan Del Rey-Arthur Grandemange","C2H","215.64","213.0","237.0",""
"Ganthier Gregory- Reby Jeancharles","C2H","215.92","226.0","238.0",""
"Biazizzo Marc- Pocard Alexandre","C2H","228.61","329.0","312.0",""
"Bazin Patryce- De Mareuil Johan","C2H","234.25","424.0","344.0",""
"Thevenin Sebastien- Thevenin Johann","C2H","235.83","307.0","354.0",""
"Olhagaray Jerome- Arette Hourquet Olivier","C2H","263.74","-","515.0",""
"Lambert Kevin- Lacour Gregory","C2H","274.41","329.0","578.0",""
"Treiber Edouard- Bontemps Romain","C2H","285.08","-","639.0",""
"Bley Julien- Stanik Stefan","C2H","286.19","-","645.0",""
"Ehlinger Robin- Diemert Maxime","C2H","346.04","-","992.0",""
"Claire Jacquet","K1D","206.0","154.0","150.0",""
"Harmony Thery","K1D","211.47","189.0","180.0",""
"Poix Sophie","K1D","215.08","174.0","201.0",""
"Aubert Laetitia","K1D","222.3","194.0","241.0",""
"Lea Martin","K1D","230.22","355.0","286.0",""
"Calypso Freichel","K1D","239.3","332.0","337.0",""
"Melanie Jambeau","K1D","245.52","290.0","373.0",""
"Rosalie Kempf","K1D","246.4","321.0","378.0",""
"Laura Fauste","K1D","248.51","245.0","389.0",""
"Demol Brindille","K1D","249.84","514.0","396.0",""
"Cindy Beche","K1D","254.92","358.0","426.0",""
"Bergdoll Lucie","K1D","254.98","412.0","426.0",""
"Djamila Mihoubi","K1D","266.39","383.0","490.0",""
"Pariot Eloise","K1D","278.8","454.0","560.0",""
"Stephanie Ansot","K1D","288.92","520.0","617.0",""
"Carole Dolmaire","K1D","297.12","792.0","663.0",""
"Andrea De Azevedo","K1D","301.8","422.0","689.0",""
"Sophie Balmossiere","K1D","376.05","947.0","1108.0",""
"Julien Arribe","K1H","171.2","54.0","79.0",""
"Lambert Guillaume","K1H","176.37","68.0","112.0",""
"Johan De Mareuil","K1H","179.67","70.0","133.0",""
"Nicolas Labat","K1H","180.65","118.0","139.0",""
"Arthur Georges","K1H","182.63","174.0","152.0",""
"Mehdi Amini","K1H","182.75","158.0","153.0",""
"Bazin Patryce","K1H","183.21","96.0","155.0",""
"Jerome Olhagaray","K1H","186.93","160.0","179.0",""
"Julien Bley","K1H","192.64","246.0","215.0",""
"Revelle Yohann","K1H","195.33","227.0","233.0",""
"Ricci Miege Raphael","K1H","195.69","225.0","235.0",""
"Abadie Stephane","K1H","196.49","236.0","240.0",""
"Nicolas Mangeolle","K1H","196.93","228.0","242.0",""
"David Beyer","K1H","197.71","207.0","248.0",""
"Beghoura Yoni","K1H","198.48","251.0","253.0",""
"Billel Khenchouche","K1H","200.55","349.0","265.0",""
"Stefan Stanik","K1H","203.23","297.0","283.0",""
"Vincent Bajolot","K1H","206.2","360.0","302.0",""
"Hitou Sofiane","K1H","206.96","372.0","307.0",""
"Remi Thomas","K1H","211.14","375.0","333.0",""
"Lacour Gregory","K1H","212.59","-","342.0",""
"Bajolet Julien","K1H","212.67","331.0","343.0",""
"Damien Burteaux","K1H","212.98","351.0","344.0",""
"Diemert Maxime","K1H","219.49","394.0","386.0",""
"Eric Formet","K1H","220.03","542.0","390.0",""
"Soulon Florian","K1H","220.51","505.0","393.0",""
"Arette Hourquet Olivier","K1H","220.54","355.0","393.0",""
"Patrick Gass","K1H","222.31","319.0","405.0",""
"Noel Jeremie","K1H","222.59","-","406.0",""
"Nicolas Burgi","K1H","227.28","452.0","436.0",""
"Kevin Burgi","K1H","227.29","288.0","436.0",""
"Audren Schiel","K1H","227.59","-","438.0",""
"Arthur Veber","K1H","229.08","510.0","447.0",""
"Chapellier Pierre Emmanuel","K1H","230.03","455.0","454.0",""
"Bontemps Romain","K1H","235.74","465.0","490.0",""
"Alexandre Diemert","K1H","250.22","-","582.0",""
"Leclerc Jerome","K1H","250.26","549.0","582.0",""
"Ardelean Dan Marian","K1H","253.29","850.0","602.0",""
"Courtier Jeremy","K1H","257.39","355.0","628.0",""
"Gautier Boudat","K1H","258.19","531.0","633.0",""
"Ehlinger Quentin","K1H","262.47","-","660.0",""
"Gonthier Lucas","K1H","272.42","643.0","723.0",""
"Luc Rumeau","K1H","280.67","-","775.0",""
"Dubois Mortimer","K1H","293.03","810.0","855.0",""
"Andre Kempf","K1H","379.76","1116.0","1406.0",""
