"Sélectif N3 Sud Ouest - Quillan - 2005-05-21 Course 1","Quillan","Course 1","","2005-05-21","Nationale 3","88"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Nils Mosch","C1H","211.05","296.0","249.0",""
"Cordeil Tristan","C1H","221.43","321.0","307.0",""
"Eloi Seemann","C1H","223.94","289.0","321.0",""
"Arnaud Pitman","C1H","225.27","304.0","329.0",""
"Vergez Leo","C1H","245.5","341.0","443.0",""
"Antonelli Jeanfrancois","C1H","246.37","376.0","447.0",""
"Molines Philippe","C1H","248.34","310.0","458.0",""
"Adrien Didier","C1H","252.83","377.0","484.0",""
"Arribat Benoit","C1H","261.22","453.0","530.0",""
"Papoz Bastien","C1H","293.54","574.0","711.0",""
"Veith Geoffroy","C1H","295.33","321.0","722.0",""
"Court Charles","C1H","373.27","527.0","1159.0",""
"Marliere Yvan- Court Victor","C2H","255.26","533.0","432.0",""
"Ferry Alain- Ferry Pascal","C2H","256.72","613.0","440.0",""
"Seemann Eloi- Capietto Louis","C2H","301.86","456.0","682.0",""
"Sarah Dupire","K1D","247.29","418.0","354.0",""
"Amaglio Laura","K1D","251.87","311.0","378.0",""
"Lucile Delorme","K1D","255.0","398.0","394.0",""
"Alizon Konig","K1D","258.92","614.0","415.0",""
"Lefol Emline","K1D","274.09","345.0","494.0",""
"Tiphanie Le Gall","K1D","274.99","547.0","499.0",""
"Raphaelle Hovine","K1D","287.66","625.0","565.0",""
"Lucie Munier","K1D","289.03","431.0","571.0",""
"Chapuis Nathalie","K1D","290.08","480.0","577.0",""
"Annaelle Meheut","K1D","302.61","342.0","642.0",""
"Coralie Yebenes","K1D","310.48","322.0","683.0",""
"Carine Chapuis","K1D","315.86","642.0","711.0",""
"Lafrais Sandra","K1D","331.08","362.0","791.0",""
"Zanfini Nais","K1D","346.69","618.0","872.0",""
"Lutinier Michelle","K1D","359.8","437.0","940.0",""
"Anxionnaz Marion","K1D","401.91","541.0","1160.0",""
"Amelie Lutz","K1D","423.89","394.0","1274.0",""
"D'arcangues Gabrielle","K1D","469.2","476.0","1510.0",""
"Sirerol Gaelle","K1D","485.09","498.0","1593.0",""
"Mathieu Cataldo","K1H","195.34","267.0","216.0",""
"Martelet Romain","K1H","203.73","246.0","265.0",""
"Chirez Pierre","K1H","204.78","231.0","272.0",""
"Fabrice Madier","K1H","206.41","313.0","281.0",""
"Mary Renaud","K1H","209.65","279.0","301.0",""
"Pain Tessier Etienne","K1H","212.31","331.0","316.0",""
"Cossou Antoine","K1H","212.83","333.0","319.0",""
"Bonnetain Quentin","K1H","212.91","261.0","319.0",""
"Capietto Louis","K1H","214.84","231.0","331.0",""
"Morel Jeremie","K1H","221.97","406.0","373.0",""
"Viallon Hugo","K1H","223.05","291.0","379.0",""
"Chassain Nathael","K1H","226.6","331.0","400.0",""
"Paul Graton","K1H","227.34","347.0","404.0",""
"Martin Moreau","K1H","228.04","345.0","408.0",""
"Delisse Thomas","K1H","228.79","289.0","413.0",""
"Camille Sahuc","K1H","230.46","427.0","423.0",""
"Yoann Aupee","K1H","231.64","408.0","429.0",""
"Francony Bastien","K1H","233.35","353.0","440.0",""
"Sylvain Follenfant","K1H","234.3","269.0","445.0",""
"Dalex Karl","K1H","234.88","439.0","449.0",""
"Guillaume Wyart","K1H","235.07","362.0","450.0",""
"Guillois Ugo","K1H","235.29","487.0","451.0",""
"Rech Thomas","K1H","236.08","362.0","456.0",""
"Mickael Cordier","K1H","236.73","417.0","459.0",""
"Bernard Delorme","K1H","238.04","392.0","468.0",""
"Pierre Moreau","K1H","240.09","390.0","479.0",""
"Lois Desroches","K1H","240.96","379.0","485.0",""
"Vibert Guillaume","K1H","241.24","410.0","486.0",""
"Jimy Bercon","K1H","244.83","337.0","507.0",""
"Champeau Laurent","K1H","246.6","-","517.0",""
"Romain Hager","K1H","248.64","440.0","529.0",""
"Baude Francois","K1H","252.29","330.0","551.0",""
"Delphine Fabrice","K1H","253.09","336.0","556.0",""
"Tom Bar","K1H","261.11","507.0","603.0",""
"Vallet Florian","K1H","263.58","536.0","617.0",""
"Dubray Mathieu","K1H","265.07","279.0","627.0",""
"Pierre Alexandre Facon","K1H","268.99","649.0","650.0",""
"Benjamin Wagner","K1H","273.49","265.0","676.0",""
"Sylvain Ferry","K1H","274.67","519.0","683.0",""
"Pradeau Xavier","K1H","283.62","440.0","736.0",""
"Benjamin Renia","K1H","286.49","322.0","753.0",""
"Fabrice Magueur","K1H","286.86","591.0","754.0",""
"Dupriez Julien","K1H","290.06","484.0","773.0",""
"Bounias-Delacour Aurelien","K1H","297.95","577.0","820.0",""
"Fatou Clement","K1H","298.96","558.0","826.0",""
"Florent Delhommel","K1H","299.47","456.0","829.0",""
"Castanie Romain","K1H","308.72","490.0","883.0",""
"Robert Quentin","K1H","311.91","633.0","902.0",""
"Boris Doye","K1H","349.04","381.0","1120.0",""
"Antoine Vinay","K1H","349.33","383.0","1122.0",""
"Pierre Demateis","K1H","378.13","723.0","1292.0",""
"Le Guennan Yann","K1H","395.84","841.0","1396.0",""
"Chirez Frederic","K1H","405.05","276.0","1450.0",""
"Nicolas Gwénolé","K1H","914.47","720.0","4448.0",""
