"SLALOM REGIONAL DU VENEON - St Christophe En Oisans - 2005-06-26","Course 1","2005-06-26","Régional","29"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Jerome Daille","C1H","211.65","172","243",""
"Florian Helen","C1H","213.44","226","252",""
"Paviot Laetitia","K1D","272.32","212","466",""
"Raphaelle Hovine","K1D","347.58","536","840",""
"Pellegrini Aurore","K1D","846.56","530","3329",""
"Dimitriou Alexandre","K1H","184.35","130","146",""
"Thomas Bersinger","K1H","184.81","132","149",""
"Colliex Olivier","K1H","189.46","110","175",""
"Etienne Daille","K1H","193.37","174","197",""
"Pascal Ferry","K1H","202.03","177","246",""
"Laurent Wolf","K1H","218.35","392","337",""
"Bersinger Sylvain","K1H","219.61","197","345",""
"Martelet Romain","K1H","225.17","246","376",""
"Pradeau Xavier","K1H","227.87","469","392",""
"Dalex Karl","K1H","230.63","383","406",""
"Rety Simon","K1H","234.55","360","429",""
"Maquaire Christophe","K1H","234.95","-","431",""
"Hugues Peyret","K1H","237.18","-","443",""
"Guillois Ugo","K1H","244.46","423","485",""
"Hugo Hager","K1H","253.53","135","536",""
"Daumas Jeremy","K1H","257.40","216","558",""
"Sylvain Ferry","K1H","260.90","500","577",""
"Remi Baudot","K1H","271.39","1066","636",""
"Hyla Mikael","K1H","273.90","-","651",""
"Francony Bastien","K1H","290.30","353","743",""
"Teiller Benjamin","K1H","324.15","-","934",""
"Cabanes Berend","K1H","348.21","964","1069",""
"Muller Karel","K1H","569.59","-","2317",""
"Lebegue Gaultier","K1H","665.69","-","2858",""
