"Sélectif Régional - Vinon Sur Verdon Course 1","Vinon Sur Verdon","Course 1","","2005-10-09","Régional","60"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Eric Labarelle","C1H","198.51","77.0","150.0",""
"Baptiste Tappero","C1H","213.42","192.0","251.0",""
"Lacroix Xavier","C1H","215.76","227.0","267.0",""
"Xavier Gensse","C1H","222.52","278.0","312.0",""
"Eloi Seemann","C1H","227.29","281.0","344.0",""
"Pierrick Albert","C1H","247.32","665.0","480.0",""
"Dran Benoit","C1H","290.24","382.0","771.0",""
"Ugo Borgia","C1H","412.54","-","1598.0",""
"Sahuc Camille- Biaggi Maxime","C2H","345.26","-","1036.0",""
"Emilie Fer","K1D","211.98","33.0","140.0",""
"Coralie Yebenes","K1D","229.43","301.0","249.0",""
"Annaelle Meheut","K1D","234.84","328.0","283.0",""
"Sarah Dupire","K1D","241.32","344.0","325.0",""
"Laure Vierne","K1D","251.42","-","388.0",""
"Amelie Lutz","K1D","252.56","367.0","394.0",""
"Lucile Delorme","K1D","255.1","378.0","410.0",""
"Nicollaud Margaux","K1D","258.28","-","431.0",""
"Morere Julia","K1D","258.81","-","435.0",""
"Marion Delorme","K1D","259.14","-","436.0",""
"Laure Udari","K1D","261.26","-","449.0",""
"Delorme Fanny","K1D","283.63","-","590.0",""
"Olivia Bertolotti","K1D","293.72","647.0","654.0",""
"Alicia Jourdier","K1D","309.39","-","753.0",""
"Ducrot Marine","K1D","438.46","-","1563.0",""
"Herbaut Stephanie","K1D","499.28","-","1946.0",""
"Benoit Fer","K1H","182.65","132.0","105.0",""
"Luc Doye","K1H","190.22","116.0","158.0",""
"Jeremy Wagner","K1H","194.11","140.0","187.0",""
"Ludovic Pinchon","K1H","198.25","254.0","216.0",""
"Bernhardt Christophe","K1H","200.62","254.0","232.0",""
"Paul Graton","K1H","208.77","285.0","290.0",""
"Cossou Antoine","K1H","209.06","283.0","292.0",""
"Lois Desroches","K1H","210.96","355.0","305.0",""
"Jeanluc Nitard","K1H","211.32","276.0","309.0",""
"Delphine Fabrice","K1H","214.13","327.0","328.0",""
"Lisbonne Francois","K1H","215.94","359.0","341.0",""
"Bernard Delorme","K1H","219.5","365.0","366.0",""
"Guillaume Wyart","K1H","229.18","371.0","435.0",""
"Barbosa Florent","K1H","232.56","-","459.0",""
"Wolfgang Schulz","K1H","234.12","420.0","470.0",""
"Theo Hascoet","K1H","237.96","-","497.0",""
"Thibault Gache","K1H","238.39","-","501.0",""
"Delorme Sebastien","K1H","243.44","-","536.0",""
"Thibaud Lacour","K1H","246.27","-","557.0",""
"Ronan Lecouturier","K1H","248.27","627.0","570.0",""
"Goujon Loïc","K1H","255.56","-","623.0",""
"Frasseto Romain","K1H","256.07","-","627.0",""
"Lorenzo Roccelli","K1H","265.74","-","695.0",""
"Sylvain Colonnier","K1H","267.63","-","709.0",""
"John Leger","K1H","275.97","1056.0","767.0",""
"Pierre Lagarde","K1H","277.03","-","775.0",""
"Guillaume Jacobe","K1H","287.5","-","849.0",""
"Gambirasio Laurent","K1H","290.93","-","874.0",""
"Damien Chammings","K1H","301.48","1896.0","948.0",""
"Adrien Quillet","K1H","304.31","-","969.0",""
"Nathanael Renia","K1H","305.94","-","980.0",""
"Ange Paul Micaelli","K1H","321.63","-","1091.0",""
"Florent Lagorio","K1H","328.07","-","1138.0",""
"Jordan Tim","K1H","341.67","1160.0","1234.0",""
"Grellet Raphael","K1H","503.41","-","2383.0",""
