"Slalom Régional - Championnat Départemental - Landeleau - 2005-10-16","Course 1","2005-10-16","Régional","60"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Francois Hemidy","C1H","202.90","-","304",""
"Julien Darcillon","C1H","206.65","330","328",""
"Lichou Thibault","C1H","209.42","274","345",""
"Gaetan Le Henaff","C1H","216.96","441","394",""
"Jerome Fouille","C1H","219.69","-","411",""
"Sebastien Fouille","C1H","228.99","426","471",""
"Marrec Pierre-Yves","C1H","233.77","426","502",""
"Gourmel Vincent","C1H","235.61","-","515",""
"Gireg Hamoniaux","C1H","239.44","543","539",""
"Bodere Paul","C1H","249.34","-","602",""
"Le Merrer Camille","C1H","251.00","-","614",""
"Rouet Didier","C1H","256.30","-","648",""
"Donias Yoann","C1H","257.41","-","655",""
"Maubert Jordan","C1H","281.47","-","809",""
"Darcillon Julien- Hemidy Francois","C2H","203.19","174","247",""
"Simier Alan- Le Breton Pierre-Yves","C2H","244.91","-","502",""
"Marrec Pascal- Fouille Jerome","C2H","250.18","-","535",""
"Marrec Pierre-Yves- Marrec Loic","C2H","259.56","-","593",""
"Merrien Mikael- Hamoniaux Gireg","C2H","268.96","-","651",""
"Bachaou Nordine- Donias Yoann","C2H","362.24","-","1223",""
"Fouille Aline","K1D","229.99","307","373",""
"Breton Enora","K1D","256.29","715","531",""
"L'helgoualc'h Lucie","K1D","268.19","-","602",""
"L'her Veronique","K1D","269.23","-","608",""
"Cadec Doriane","K1D","279.99","-","672",""
"Marc Amelie","K1D","312.73","-","868",""
"Le Seac'h Sophie","K1D","322.03","-","924",""
"Le Moulec Celine","K1D","409.82","-","1448",""
"Vincent Gourmel","K1H","188.32","215","270",""
"Valentin Brindeau","K1H","195.20","261","318",""
"Reveillere Pierrick","K1H","199.08","258","343",""
"Le Mouillour Gwenole","K1H","202.26","-","365",""
"Beyou Vincent","K1H","207.11","484","398",""
"Vincent Salmon","K1H","209.66","391","415",""
"Melaine Caurant","K1H","210.10","420","418",""
"Didier Rouet","K1H","210.77","405","423",""
"Marrec Loic","K1H","210.82","370","423",""
"David Despierres","K1H","211.80","322","429",""
"Hoel Carnot","K1H","211.92","399","430",""
"Yann Lardic","K1H","212.29","-","432",""
"Bercon Marc","K1H","212.58","-","434",""
"Erwan Beyou","K1H","212.92","-","437",""
"Descheres Erwan","K1H","214.29","437","447",""
"Ansquer Guy","K1H","216.75","699","463",""
"Sebastien Kerneis","K1H","217.31","-","466",""
"Pierre-yves Lebreton","K1H","219.28","335","480",""
"Cadiou Sylvain","K1H","219.94","-","485",""
"Merrien Mikael","K1H","223.35","-","507",""
"Thomas Le Berre","K1H","223.50","539","508",""
"Scaerou Joffrey","K1H","226.04","-","526",""
"Alan Reveillere","K1H","226.50","558","529",""
"Reveillere Alainpierre","K1H","233.10","-","573",""
"Jordan Maubert","K1H","236.68","877","597",""
"Sebastien Fouille","K1H","238.29","-","608",""
"Dupré Bertrand","K1H","244.78","-","652",""
"Corbisier Francois","K1H","246.28","-","662",""
"Broussine Malo","K1H","248.66","-","678",""
"Crozetiere Clément","K1H","255.93","-","727",""
"Victor Carrouer","K1H","259.85","-","754",""
"Gouez Hartur","K1H","375.29","-","1533",""
