"championnat régional slalom du limousin - Uzerche Course 1","Uzerche","Course 1","","2005-11-20","Régional","54"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marc Brossard","C1H","197.0","-","371.0",""
"Gadois Jacques","C1H","212.0","492.0","478.0",""
"Jean-philippe Rome","C1H","266.0","-","862.0",""
"Tuffery Baptiste","C1H","270.0","-","891.0",""
"Baudu Etienne- Borde Stephane","C2H","219.0","-","457.0",""
"Brossard Marc- Portais Pierre","C2H","254.0","-","695.0",""
"Mikulec Aurélien- Bastian Emilien","C2H","274.0","-","830.0",""
"Einsargueix Christophe- Geyl Loic","C2H","297.0","-","988.0",""
"Bouchiat Louis- Charliac Mathieu","C2H","334.0","-","1238.0",""
"Sophie Calmettes","K1D","222.0","-","438.0",""
"Justine Baudu","K1D","224.0","389.0","450.0",""
"Beige Cecile","K1D","284.0","-","847.0",""
"Delanette Ophélie","K1D","292.0","-","901.0",""
"Bugeat Justine","K1D","292.0","-","901.0",""
"Bussiere Agathe","K1D","360.0","-","1351.0",""
"Etienne Baudu","K1H","176.0","-","285.0",""
"Borde Stephane","K1H","178.0","246.0","300.0",""
"Tristan Gaboriau","K1H","180.0","273.0","315.0",""
"Gautier Jean Marc","K1H","186.0","-","359.0",""
"Damien Mareau","K1H","187.0","345.0","367.0",""
"Marc Brossard","K1H","188.0","-","374.0",""
"Pierre Dehaudt","K1H","188.0","-","374.0",""
"Julien Lafeuille","K1H","195.0","-","426.0",""
"Pierre Portais","K1H","198.0","-","448.0",""
"Paauw Thijs","K1H","203.0","-","486.0",""
"Bastian Emilien","K1H","204.0","-","494.0",""
"Mathieu Cheze","K1H","205.0","497.0","501.0",""
"Matthias Besse","K1H","206.0","-","509.0",""
"David Isere","K1H","210.0","-","539.0",""
"Mathieu Charliac","K1H","211.0","-","546.0",""
"Malnou Noe","K1H","213.0","512.0","561.0",""
"Geyl Loic","K1H","215.0","-","576.0",""
"Signarbieux Pascal","K1H","217.0","-","591.0",""
"Benoit Graffeuil","K1H","219.0","-","605.0",""
"Aurelien Mikulec","K1H","220.0","-","613.0",""
"Tuffery Clement","K1H","224.0","-","644.0",""
"Dejammes Jean","K1H","226.0","-","658.0",""
"Christophe Einsargueix","K1H","230.0","-","688.0",""
"Bayle Jean-Marc","K1H","236.0","-","733.0",""
"Delage Florent","K1H","240.0","-","763.0",""
"Maurie Sylvain","K1H","244.0","-","792.0",""
"Rougemont Romain","K1H","246.0","-","808.0",""
"Delorme Vincent","K1H","250.0","861.0","838.0",""
"Bost Luc","K1H","252.0","-","853.0",""
"Boisseuil Erwan","K1H","254.0","-","868.0",""
"Marchegay Philippe","K1H","256.0","-","882.0",""
"Archambault Guillaume","K1H","256.0","-","882.0",""
"Mathieu Ollier","K1H","258.0","-","897.0",""
"Kerbiquet Guillaume","K1H","263.0","-","934.0",""
"Stipon Vincent","K1H","280.0","-","1062.0",""
"Louis Bouchiat","K1H","305.0","-","1249.0",""
"Bertrand Benjamin","K1H","309.0","-","1278.0",""
"Fabien Coridon","K1H","377.0","-","1787.0",""
"Chafer Matthieu","K1H","433.0","-","2206.0",""
