"slalom régional de Picquigny - Picquigny - 2005-12-04 Course 1","Picquigny","Course 1","","2005-12-04","Régional","90"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Thibaud Vielliard","C1H","188.53","175.0","191.0",""
"Quentin Bove","C1H","205.87","226.0","297.0",""
"Yoann Hautecloche","C1H","210.71","289.0","327.0",""
"Teddy Poulard","C1H","218.87","331.0","376.0",""
"Delabarre Kevin","C1H","232.25","408.0","458.0",""
"Loic Bourgeois","C1H","240.25","65.0","507.0",""
"Antoine Harlaut","C1H","244.32","456.0","532.0",""
"Legrand Adrien","C1H","274.53","-","717.0",""
"Pierre Maillard","C1H","275.7","549.0","724.0",""
"Florian Lefebvre","C1H","296.81","1153.0","853.0",""
"Jean Marc Fossier","C1H","307.84","446.0","920.0",""
"Lacaille Morgan","C1H","365.19","-","1272.0",""
"Bernard Cerney","C1H","395.78","949.0","1458.0",""
"Lucas Ronan","C1H","493.96","-","2059.0",""
"Vermersch Elie","C1H","530.19","-","2280.0",""
"Harlaut Antoine- Bourgeois Loic","C2H","238.63","-","431.0",""
"Guillaume Fatras-Guillaume Doutreix","C2H","248.81","-","491.0",""
"Sergent Sylvain- Maupin Mikael","C2H","258.1","-","544.0",""
"Quentin Sirven-Pierre Defebvre","C2H","332.03","-","976.0",""
"Vermersch Elie- Firmin Louis","C2H","578.91","-","2417.0",""
"Caroline Loir","K1D","198.51","178.0","166.0",""
"Beuvin Camille","K1D","215.5","229.0","262.0",""
"Lea Feuillard","K1D","229.36","314.0","341.0",""
"Dachicourt Perrine","K1D","244.04","427.0","424.0",""
"Picart Carole","K1D","245.72","396.0","434.0",""
"Sophie Busson","K1D","275.25","613.0","602.0",""
"Simon Vanessa","K1D","396.94","-","1294.0",""
"Alize Bachelot","K1D","509.41","531.0","1933.0",""
"Julien Antide","K1H","175.97","152.0","168.0",""
"Yoann Hautecloche","K1H","176.84","116.0","173.0",""
"Ronan Lucas","K1H","181.37","123.0","203.0",""
"Sarazin Emmanuel","K1H","181.46","126.0","203.0",""
"Franck Dessaint","K1H","183.81","237.0","218.0",""
"Quentin Bove","K1H","183.93","87.0","219.0",""
"Mikael Maupin","K1H","186.23","173.0","233.0",""
"Thibault Bellembois","K1H","190.75","233.0","262.0",""
"Sebastien Racault","K1H","191.09","231.0","264.0",""
"Pierre Baux","K1H","195.5","242.0","293.0",""
"Romain Bove","K1H","197.47","164.0","306.0",""
"Thibaud Vielliard","K1H","198.24","269.0","311.0",""
"Soete Arnaud","K1H","199.06","-","316.0",""
"Arnaud Delattre","K1H","199.29","269.0","318.0",""
"Terryn Gilles","K1H","202.63","312.0","339.0",""
"Loic Monbel","K1H","203.27","268.0","343.0",""
"Sergent Sylvain","K1H","203.44","277.0","344.0",""
"Holleville Guillaume","K1H","206.04","416.0","361.0",""
"Didier Niel","K1H","206.29","254.0","363.0",""
"Gaetan Dheilly","K1H","208.19","332.0","374.0",""
"Mannier Quentin","K1H","210.13","414.0","387.0",""
"Legrand Adrien","K1H","211.25","332.0","394.0",""
"Paul Poulet","K1H","212.6","434.0","403.0",""
"Prevot Xavier","K1H","214.22","-","413.0",""
"Descatoire Christian","K1H","214.88","-","417.0",""
"Viellard Amaury","K1H","216.93","257.0","431.0",""
"Mickael Faure","K1H","226.94","472.0","495.0",""
"Parant Fabrice","K1H","229.15","-","509.0",""
"Lagache Jean Christophe","K1H","229.84","283.0","513.0",""
"Florian Lefebvre","K1H","232.57","591.0","531.0",""
"Martin Sacleux","K1H","233.79","721.0","539.0",""
"Depreck Josselin","K1H","234.15","460.0","541.0",""
"Monbel Romain","K1H","234.5","542.0","543.0",""
"Thomas Plomion","K1H","234.97","472.0","546.0",""
"Renard Guillaume","K1H","235.84","621.0","552.0",""
"Lacaille Morgan","K1H","236.4","613.0","556.0",""
"Jeremy Huguenin","K1H","245.12","579.0","612.0",""
"Mathieu Faure","K1H","245.78","533.0","616.0",""
"Sarazin Jean Benoit","K1H","246.41","-","620.0",""
"Coupin Olivier","K1H","256.0","643.0","681.0",""
"Jeremy Denis","K1H","257.34","-","690.0",""
"Eric Lamour","K1H","260.38","340.0","710.0",""
"Henry Théophile","K1H","263.13","765.0","728.0",""
"Guillaume Hermant","K1H","264.9","539.0","739.0",""
"Zawadzki Wilfried","K1H","265.74","400.0","745.0",""
"Gilles Lucas","K1H","268.78","440.0","764.0",""
"Berenger Bonnard","K1H","271.29","700.0","779.0",""
"Deffebvre Pierre","K1H","271.88","898.0","783.0",""
"Alexandre Peslin","K1H","277.81","591.0","822.0",""
"Vermersch Philippe","K1H","282.05","768.0","849.0",""
"Luc Wojtasiak","K1H","301.38","-","973.0",""
"Gaspard Vivien","K1H","320.37","-","1095.0",""
"Quentin Sirven","K1H","324.0","854.0","1118.0",""
"Delabarre Kevin","K1H","327.81","-","1143.0",""
"Hugo Francois","K1H","342.04","629.0","1234.0",""
"Lefebvre Richard","K1H","420.5","-","1738.0",""
"Olivier Alexandre","K1H","423.83","942.0","1759.0",""
"Baudry Pierre Luc","K1H","438.56","759.0","1854.0",""
"Remi Fossier","K1H","469.16","-","2051.0",""
"Kevin Pantofel","K1H","634.22","-","3111.0",""
"Denouille Arnaud","K1H","816.78","-","4283.0",""
"Maleze Tony","K1H","851.15","-","4505.0",""
