"SLALOM REGIONAL LATHUS - Lathus St Remy Course 1","Lathus St Remy","Course 1","","2005-12-18","Régional","123"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Cedric Forgit","C1H","192.3","-","188.0",""
"Brugvin Emmanuel","C1H","194.75","45.0","203.0",""
"Martin Thomas","C1H","198.62","220.0","224.0",""
"Frederic Boob","C1H","207.9","289.0","277.0",""
"Come Hebert","C1H","212.81","238.0","305.0",""
"Christian Boob","C1H","218.52","347.0","338.0",""
"Sylvain Brunet","C1H","220.24","361.0","348.0",""
"David Riffaud","C1H","220.38","380.0","349.0",""
"Marc Brossard","C1H","236.95","-","444.0",""
"Nogues Tony","C1H","239.28","-","457.0",""
"Gadois Jacques","C1H","241.82","480.0","471.0",""
"Riffaud Julien","C1H","247.26","-","503.0",""
"Herve Launay","C1H","253.87","-","541.0",""
"Jean Francois Villeger","C1H","283.3","611.0","709.0",""
"Di Nisi Ludovic","C1H","293.87","-","770.0",""
"Kevin Cardon","C1H","294.6","739.0","774.0",""
"Maxime Herve","C1H","305.35","483.0","835.0",""
"Jean-philippe Rome","C1H","437.65","-","1593.0",""
"Cedric Forgit-Martin Braud","C2H","194.28","6.0","149.0",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","210.72","78.0","238.0",""
"Clement Berger-Mathieu Villeger","C2H","211.51","214.0","243.0",""
"Thomas Rolando-Adrien Caillaud","C2H","251.88","412.0","464.0",""
"Pierre Herault-Abdelkrim Ali Zazou","C2H","263.74","360.0","529.0",""
"Lyphout Quentin- Perrin Maxime","C2H","268.57","720.0","555.0",""
"Ducom Thibault- Bardol Martin","C2H","368.56","-","1101.0",""
"Brossard Marc- Portais Pierre","C2H","402.1","-","1285.0",""
"Abebsi Marc- Stadler Jean Patrick","C2H","403.27","-","1292.0",""
"Praille Clement- Roselier Thomas","C2H","423.6","-","1402.0",""
"Laura Lyphout","K1D","200.2","190.0","153.0",""
"Christelle Macaire","K1D","215.55","170.0","234.0",""
"Lyphout Virginie","K1D","217.98","263.0","247.0",""
"Calypso Freichel","K1D","234.42","305.0","335.0",""
"Julie Blank","K1D","237.85","359.0","352.0",""
"Marion Villeger","K1D","240.58","390.0","367.0",""
"Blanloeuil Sandra","K1D","259.38","437.0","468.0",""
"Heroui Lynda","K1D","270.54","579.0","527.0",""
"Faure Anaelle","K1D","285.12","-","604.0",""
"Souchu Pauline","K1D","318.87","629.0","783.0",""
"Thomas Chloe","K1D","333.98","903.0","864.0",""
