"Sélectif régional - Roches Du Diable Course 1","Roches Du Diable","Course 1","","2005-12-18","Régional","251"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pascal Buck","C1H","241.39","33.0","108.0",""
"Edern Le Ruyet","C1H","247.16","47.0","136.0",""
"Jeremie Gouello","C1H","247.66","86.0","139.0",""
"Paul Gautier","C1H","254.05","139.0","170.0",""
"Sebastien Cardiet","C1H","257.7","204.0","187.0",""
"Medhi Deguil","C1H","258.18","188.0","189.0",""
"Yann Le Pennec","C1H","258.24","-","191.0",""
"Thibaud Vielliard","C1H","258.44","175.0","191.0",""
"Morgan Vourch","C1H","259.02","77.0","194.0",""
"Ronan Betrom","C1H","260.29","60.0","200.0",""
"Florian Helen","C1H","262.86","204.0","213.0",""
"Gegat Mathieu","C1H","266.54","222.0","230.0",""
"Potin Francois","C1H","269.42","191.0","244.0",""
"Didier Botrel","C1H","270.82","208.0","251.0",""
"Xavier Jourdain","C1H","272.59","291.0","260.0",""
"Ludovic Roye","C1H","274.09","240.0","268.0",""
"Paskal Cloarec","C1H","275.21","212.0","273.0",""
"Saucet Manuel","C1H","276.3","288.0","279.0",""
"Loic Brunel","C1H","276.52","214.0","280.0",""
"Olivier Gesbert","C1H","277.42","260.0","284.0",""
"Lichou Thibault","C1H","278.82","268.0","291.0",""
"Jeremie Jousseaume","C1H","280.02","300.0","296.0",""
"Gaetan Le Henaff","C1H","281.33","396.0","303.0",""
"Cedric Collet","C1H","284.79","273.0","319.0",""
"Hamonic Matthieu","C1H","288.42","219.0","337.0",""
"Thomas Bourhis","C1H","293.37","373.0","361.0",""
"Kevin Marquais","C1H","295.14","284.0","370.0",""
"Braud Mael","C1H","295.3","326.0","371.0",""
"Denis Voisin","C1H","296.88","274.0","379.0",""
"Marrec Pierre-Yves","C1H","301.3","426.0","401.0",""
"Lepage Clement","C1H","309.58","51.0","440.0",""
"Sebastien Fouille","C1H","313.78","454.0","461.0",""
"Brendan Croizer","C1H","314.58","363.0","464.0",""
"Yvan Raoult","C1H","316.05","401.0","472.0",""
"Julien Brouzes","C1H","316.86","194.0","476.0",""
"Le Teurnier Kevin","C1H","317.94","499.0","481.0",""
"Antoine Simon","C1H","328.19","571.0","531.0",""
"Nauraye Flavien","C1H","342.25","575.0","600.0",""
"Sergent Sylvain","C1H","344.39","579.0","611.0",""
"Brize Guillaume","C1H","348.68","568.0","631.0",""
"Le Merrer Camille","C1H","360.38","-","689.0",""
"Gireg Hamoniaux","C1H","361.94","524.0","696.0",""
"Debray Tony","C1H","372.1","466.0","746.0",""
"David Julou","C1H","405.35","770.0","908.0",""
"Loic Brunel-Medhi Deguil","C2H","255.58","51.0","120.0",""
"Darcillon Julien- Hemidy Francois","C2H","264.36","164.0","161.0",""
"Thierry Saidi-Emmanuel Del Rey","C2H","269.64","-","186.0",""
"Pichard Melaine- Rocaboy Julien","C2H","279.58","216.0","232.0",""
"Taburet Guillaume- Leclaire Pierre Louis","C2H","299.34","412.0","325.0",""
"Marrec Pascal- Fouille Jerome","C2H","301.64","350.0","335.0",""
"Simier Alan- Le Breton Pierre-Yves","C2H","350.01","660.0","560.0",""
"Merrien Mikael- Hamoniaux Gireg","C2H","351.2","-","566.0",""
"Claire Landrin","K1D","258.44","62.0","101.0",""
"Elisa Venet","K1D","260.8","59.0","112.0",""
"Elodie Le Nechet","K1D","277.08","232.0","186.0",""
"Valerie Sibioude","K1D","283.66","212.0","216.0",""
"Erell Chardon Vivier","K1D","284.68","215.0","220.0",""
"Goncalves Caroline","K1D","285.1","238.0","222.0",""
"Sarah Despres","K1D","287.94","215.0","236.0",""
"Fanny Kerambrun","K1D","292.29","233.0","255.0",""
"Annabelle Garnier","K1D","302.88","280.0","303.0",""
"Stephanie Le Mercier","K1D","306.89","228.0","321.0",""
"Arnaud Anais","K1D","307.44","272.0","324.0",""
"Charlene Le Corvaisier","K1D","308.77","400.0","330.0",""
"Laetitia Odermatt","K1D","310.86","320.0","339.0",""
"Collet Aurore","K1D","315.37","455.0","360.0",""
"Julie Arsento - Lefrancois","K1D","318.37","-","373.0",""
"Lucie Saucet","K1D","319.06","497.0","376.0",""
"Fiora Bourges","K1D","323.07","421.0","395.0",""
"Veronique Vourch","K1D","324.97","344.0","403.0",""
"Picart Carole","K1D","325.13","396.0","404.0",""
"Rocher Laura","K1D","326.6","317.0","410.0",""
"Aziliz Le Paih","K1D","331.0","431.0","430.0",""
"Bucar Masa","K1D","335.03","326.0","449.0",""
"Kristell Bervet","K1D","336.35","308.0","454.0",""
"Nolwen Jouan","K1D","340.62","-","474.0",""
"Vinzend Ingrid Thuy Vi","K1D","346.69","476.0","502.0",""
"Sabri Myriam","K1D","350.6","439.0","519.0",""
"Camille Le Coq","K1D","352.81","511.0","529.0",""
"Chloe Le Clezio","K1D","356.71","419.0","547.0",""
"Deborah Larsonneur","K1D","358.1","427.0","553.0",""
"Bertho Laura","K1D","358.76","474.0","557.0",""
"Chevalier Yvane","K1D","361.59","501.0","569.0",""
"Aurelie Le Fee","K1D","370.69","488.0","611.0",""
"Baradel Anne","K1D","386.77","466.0","683.0",""
"Claire Pichon","K1D","392.11","442.0","707.0",""
"L'helgoualc'h Lucie","K1D","407.5","-","778.0",""
"Lusven Anna","K1D","428.29","573.0","871.0",""
"Breton Enora","K1D","436.41","588.0","909.0",""
"Barbara Cavyn","K1D","457.56","650.0","1004.0",""
"Marie Landais","K1D","543.29","-","1392.0",""
"Droumaguet Morgane","K1D","585.71","-","1585.0",""
"Christophe Marechal","K1H","218.68","31.0","51.0",""
"Mathieu Le Gal","K1H","225.6","88.0","86.0",""
"Roger Jeremie","K1H","230.07","64.0","109.0",""
"Gregory Busson","K1H","230.77","128.0","112.0",""
"Pierre Marie Roussel","K1H","231.08","143.0","114.0",""
"Nicolas Veillard","K1H","232.21","93.0","120.0",""
"Adrien Ferec","K1H","232.44","102.0","121.0",""
"Benjamin Buys","K1H","233.54","107.0","127.0",""
"Laurent Le Touze","K1H","234.26","100.0","130.0",""
"Simon Despres","K1H","234.32","129.0","130.0",""
"Vivien Colober","K1H","235.79","176.0","138.0",""
"Laurent Rigaud","K1H","236.05","124.0","139.0",""
"Lionel Tinevez","K1H","236.11","163.0","140.0",""
"Xavier Jourdain","K1H","236.57","133.0","142.0",""
"Benjamin Thouvignon","K1H","236.62","111.0","142.0",""
"Louis Philippe Rigal","K1H","237.96","124.0","149.0",""
"Sarazin Emmanuel","K1H","239.05","126.0","154.0",""
"Tirel Paul","K1H","239.24","188.0","155.0",""
"Florian Gosselin","K1H","239.35","146.0","156.0",""
"Erwan Cadio","K1H","239.45","99.0","156.0",""
"Vincent Gourmel","K1H","240.9","201.0","164.0",""
"Guigo Luc","K1H","242.15","163.0","171.0",""
"Frederic Leclerc","K1H","242.65","138.0","173.0",""
"Franck Delachair","K1H","243.4","176.0","177.0",""
"Berthe Christophe","K1H","243.57","170.0","177.0",""
"Coiffe Florion","K1H","244.57","131.0","183.0",""
"Christophe Le Mercier","K1H","245.01","189.0","185.0",""
"Manuel Coquelin","K1H","246.04","205.0","191.0",""
"Alain Droniou","K1H","246.2","228.0","192.0",""
"Julien Dosse","K1H","246.55","129.0","193.0",""
"Gwenael Marquer","K1H","247.07","228.0","196.0",""
"Pierre Baux","K1H","248.0","242.0","200.0",""
"Debruyere Benjamin","K1H","248.37","268.0","203.0",""
"Erwan Le Pen","K1H","249.23","187.0","207.0",""
"Brieuc Cadic","K1H","249.7","199.0","209.0",""
"Francois Adam","K1H","250.1","400.0","211.0",""
